timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2,16884,28,3000,17148.48,24.91,-1.00,-1.0,2501
9,9,16924,-16,3096,17204.86,24.95,-1.00,-1.0,2449
11,11,16900,-136,2980,17161.26,25.05,-1.00,-1.0,2374
14,14,16948,-28,2968,17205.94,24.91,-1.00,-1.0,2369
17,17,16900,-28,3040,17171.27,25.00,-1.00,-1.0,2435
19,19,16924,-40,3076,17201.31,24.95,-1.00,-1.0,2370
22,22,16904,-32,3072,17180.90,25.00,-1.00,-1.0,2413
25,25,16916,-112,3028,17185.24,25.05,-1.00,-1.0,2369
27,27,16880,-88,3064,17156.05,25.09,-1.00,-1.0,2362
30,30,17008,-28,2984,17267.80,24.91,-1.00,-1.0,2424
33,33,16936,-12,2996,17198.96,24.95,-1.00,-1.0,2368
38,38,16836,-28,2996,17100.52,24.95,-1.00,-1.0,2429
40,40,16940,68,2844,17177.21,24.95,-1.00,-1.0,2365
43,43,16896,76,3080,17174.60,25.00,-1.00,-1.0,2365
46,46,16912,-60,3036,17182.45,24.95,-1.00,-1.0,2417
48,48,16936,-76,3080,17213.96,24.86,-1.00,-1.0,2367
51,51,16924,-28,3008,17189.26,24.95,-1.00,-1.0,2414
54,54,17004,-40,2876,17245.55,25.05,-1.00,-1.0,2370
56,56,16944,-8,3044,17215.26,25.05,-1.00,-1.0,2361
59,59,16916,-24,2972,17175.11,25.09,-1.00,-1.0,2427
62,62,16816,-84,2864,17058.35,25.00,-1.00,-1.0,2383
67,67,16836,36,2896,17083.30,25.00,-1.00,-1.0,2430
70,70,16800,-28,3004,17066.48,24.95,-1.00,-1.0,2369
72,72,16968,36,2764,17191.68,25.00,-1.00,-1.0,2359
75,75,16868,0,2960,17125.74,25.00,-1.00,-1.0,2417
78,78,16984,-40,2960,17240.05,24.95,-1.00,-1.0,2368
80,80,16956,36,2872,17197.55,25.05,-1.00,-1.0,2415
83,83,16856,-64,2996,17120.30,24.95,-1.00,-1.0,2369
86,86,16956,-8,2964,17213.11,24.95,-1.00,-1.0,2378
89,89,16924,12,2884,17167.97,24.95,-1.00,-1.0,2425
92,92,16888,-16,2888,17133.16,24.95,-1.00,-1.0,2371
97,97,16884,-16,2896,17130.57,25.00,-1.00,-1.0,2431
100,100,16864,0,2912,17113.57,25.09,-1.00,-1.0,2368
102,102,16920,8,2904,17167.40,25.00,-1.00,-1.0,2359
105,105,16956,-44,2876,17198.23,24.95,-1.00,-1.0,2430
108,108,16960,-28,3000,17223.31,25.09,-1.00,-1.0,2376
111,111,16952,-52,2852,17190.31,25.00,-1.00,-1.0,2412
113,113,16920,84,3064,17195.39,25.00,-1.00,-1.0,2369
116,116,16900,72,2880,17143.79,24.95,-1.00,-1.0,2416
119,119,17012,-52,3172,17305.27,25.05,-1.00,-1.0,2357
122,122,16908,-24,2988,17170.01,25.05,-1.00,-1.0,2351
127,127,16956,-56,2948,17210.46,25.00,-1.00,-1.0,2431
130,130,16928,-76,2964,17185.70,25.00,-1.00,-1.0,2366
133,133,16940,4,2964,17197.35,24.91,-1.00,-1.0,2414
135,135,16940,8,2944,17193.92,24.95,-1.00,-1.0,2369
138,138,16924,-72,2724,17141.97,25.00,-1.00,-1.0,2369
141,141,16888,72,3068,17164.57,25.09,-1.00,-1.0,2418
143,143,16996,4,2736,17214.81,25.00,-1.00,-1.0,2369
146,146,16836,-8,2888,17081.91,25.00,-1.00,-1.0,2418
149,149,16976,-48,2908,17223.34,24.95,-1.00,-1.0,2368
154,154,16984,60,2884,17227.23,24.95,-1.00,-1.0,2444
157,157,16932,132,2948,17187.23,24.95,-1.00,-1.0,2374
159,159,16816,136,2896,17064.09,25.05,-1.00,-1.0,2364
162,162,16956,32,3004,17220.07,25.00,-1.00,-1.0,2417
165,165,16724,72,2980,16987.58,24.95,-1.00,-1.0,2370
168,168,16948,64,2784,17175.26,24.95,-1.00,-1.0,2423
170,170,16932,100,2848,17170.14,25.05,-1.00,-1.0,2372
173,173,16896,-48,2916,17145.85,25.00,-1.00,-1.0,2362
176,176,16872,4,3064,17147.96,25.00,-1.00,-1.0,2418
179,179,16952,-4,2864,17192.23,25.00,-1.00,-1.0,2368
184,184,16900,68,2928,17151.90,25.00,-1.00,-1.0,2437
187,187,16952,120,2776,17178.21,25.05,-1.00,-1.0,2375
190,190,16848,-72,2952,17104.81,24.95,-1.00,-1.0,2422
192,192,16804,76,2916,17055.30,24.95,-1.00,-1.0,2369
195,195,17028,152,2956,17283.34,25.05,-1.00,-1.0,2364
198,198,16852,-16,2924,17103.80,25.00,-1.00,-1.0,2424
200,200,16920,24,2976,17179.74,25.05,-1.00,-1.0,2371
203,203,16928,52,2984,17189.07,25.05,-1.00,-1.0,2417
206,206,16968,0,2916,17216.74,24.91,-1.00,-1.0,2357
209,209,16896,64,2764,17120.71,25.00,-1.00,-1.0,2349
214,214,16932,52,2904,17179.31,25.00,-1.00,-1.0,2438
217,217,16924,16,2780,17150.81,25.05,-1.00,-1.0,2373
220,220,16892,140,2932,17145.14,25.00,-1.00,-1.0,2425
222,222,16868,84,2892,17114.33,25.05,-1.00,-1.0,2371
225,225,16900,44,2812,17132.40,24.86,-1.00,-1.0,2425
228,228,16916,132,2836,17152.59,24.95,-1.00,-1.0,2369
230,230,16932,24,2960,17188.80,25.05,-1.00,-1.0,2363
233,233,16976,128,2896,17221.72,24.95,-1.00,-1.0,2419
236,236,16976,12,2940,17228.71,25.05,-1.00,-1.0,2370
241,241,16952,24,2844,17188.93,25.05,-1.00,-1.0,2430
244,244,16924,64,2900,17170.79,25.05,-1.00,-1.0,2367
246,246,16928,24,2972,17186.93,25.05,-1.00,-1.0,2361
249,249,16948,132,2916,17197.54,25.00,-1.00,-1.0,2431
252,252,16956,80,2840,17192.38,25.05,-1.00,-1.0,2376
255,255,16988,32,2928,17238.51,25.05,-1.00,-1.0,2414
257,257,16940,72,2852,17178.55,24.95,-1.00,-1.0,2371
260,260,16864,140,2848,17103.37,24.77,-1.00,-1.0,2421
263,263,16816,152,2948,17073.13,25.05,-1.00,-1.0,2369
266,266,16980,48,2872,17221.24,25.05,-1.00,-1.0,2365
271,271,16968,68,2848,17205.49,25.05,-1.00,-1.0,2430
274,274,16864,88,2972,17124.11,24.95,-1.00,-1.0,2366
276,276,16880,128,2916,17130.49,25.05,-1.00,-1.0,2412
279,279,16896,52,2896,17142.47,25.00,-1.00,-1.0,2369
282,282,16952,100,2728,17170.39,24.95,-1.00,-1.0,2363
285,285,16868,52,2936,17121.69,25.05,-1.00,-1.0,2417
287,287,17036,16,2860,17274.41,25.05,-1.00,-1.0,2371
290,290,16940,96,2896,17186.03,25.00,-1.00,-1.0,2429
293,293,16808,28,2896,17055.69,25.05,-1.00,-1.0,2373
298,298,16960,24,2964,17217.07,25.05,-1.00,-1.0,2432
301,301,16828,72,2868,17070.80,25.00,-1.00,-1.0,2367
304,304,16880,160,2936,17134.18,24.95,-1.00,-1.0,2359
306,306,16844,112,2904,17092.87,24.95,-1.00,-1.0,2417
309,309,16956,56,2864,17196.27,24.95,-1.00,-1.0,2366
312,312,16888,-12,2960,17145.45,24.95,-1.00,-1.0,2415
315,315,16932,60,2892,17177.31,25.00,-1.00,-1.0,2379
317,317,16896,40,2884,17140.42,25.00,-1.00,-1.0,2362
320,320,16896,56,2856,17135.77,24.91,-1.00,-1.0,2427
323,323,16900,8,2884,17144.31,25.09,-1.00,-1.0,2380
328,328,16792,116,2916,17043.70,25.05,-1.00,-1.0,2432
331,331,16852,-28,2904,17100.41,24.95,-1.00,-1.0,2365
334,334,16952,-28,2928,17203.03,25.05,-1.00,-1.0,2419
336,336,16864,36,2932,17117.02,25.05,-1.00,-1.0,2377
339,339,16860,16,2752,17083.13,25.05,-1.00,-1.0,2359
342,342,16888,28,2824,17122.51,25.00,-1.00,-1.0,2423
344,344,16944,68,2844,17181.15,24.95,-1.00,-1.0,2356
347,347,16876,56,2848,17114.72,25.05,-1.00,-1.0,2425
350,350,16992,-40,2804,17221.85,24.86,-1.00,-1.0,2377
353,353,16992,56,2864,17231.76,25.05,-1.00,-1.0,2371
358,358,16860,60,2976,17120.74,25.09,-1.00,-1.0,2433
361,361,16936,12,2944,17189.98,24.95,-1.00,-1.0,2367
364,364,16928,36,2952,17183.50,25.00,-1.00,-1.0,2420
366,366,16916,156,2948,17171.67,24.95,-1.00,-1.0,2357
369,369,16896,76,2964,17154.18,25.05,-1.00,-1.0,2417
372,372,16896,-92,3068,17172.53,25.00,-1.00,-1.0,2356
374,374,16924,-84,2912,17172.90,24.95,-1.00,-1.0,2364
377,377,16924,-44,2940,17177.52,24.95,-1.00,-1.0,2420
380,380,16840,16,2836,17077.14,24.95,-1.00,-1.0,2372
385,385,16936,52,2948,17190.74,25.05,-1.00,-1.0,2440
388,388,16928,56,2792,17156.79,25.00,-1.00,-1.0,2366
391,391,16920,48,2880,17163.42,24.95,-1.00,-1.0,2357
393,393,16820,0,3044,17093.22,24.95,-1.00,-1.0,2427
396,396,16940,100,2792,17168.83,25.00,-1.00,-1.0,2367
399,399,16900,96,2928,17152.04,25.14,-1.00,-1.0,2422
401,401,16944,80,2836,17179.88,25.00,-1.00,-1.0,2368
404,404,16864,36,2976,17124.61,25.00,-1.00,-1.0,2417
407,407,16920,52,2984,17181.19,24.95,-1.00,-1.0,2368
410,410,16968,44,2948,17222.24,24.95,-1.00,-1.0,2362
415,415,16856,36,2880,17100.30,24.95,-1.00,-1.0,2440
418,418,17008,-12,2876,17249.45,25.00,-1.00,-1.0,2365
421,421,16896,92,2968,17154.95,25.05,-1.00,-1.0,2420
423,423,16844,-64,2912,17093.98,25.00,-1.00,-1.0,2369
426,426,16900,88,2800,17130.61,24.95,-1.00,-1.0,2371
429,429,16860,44,2712,17076.78,25.05,-1.00,-1.0,2424
431,431,16880,-12,2860,17120.58,24.91,-1.00,-1.0,2370
434,434,16992,52,2812,17223.19,25.00,-1.00,-1.0,2417
437,437,16964,-16,3116,17247.81,25.00,-1.00,-1.0,2370
442,442,16992,-4,2900,17237.69,24.95,-1.00,-1.0,2440
445,445,16972,64,2924,17222.16,24.95,-1.00,-1.0,2372
448,448,16908,-28,3068,17184.12,25.00,-1.00,-1.0,2362
450,450,16912,0,2948,17167.02,24.91,-1.00,-1.0,2417
453,453,16860,-116,3096,17142.29,25.05,-1.00,-1.0,2381
456,456,16820,-4,2948,17076.39,24.86,-1.00,-1.0,2402
459,459,16948,-100,3124,17233.81,24.95,-1.00,-1.0,2369
461,461,16940,-48,2868,17181.13,25.00,-1.00,-1.0,2362
465,465,16940,-28,2984,17200.83,25.05,-1.00,-1.0,2418
467,467,16864,8,3076,17142.24,25.00,-1.00,-1.0,2368
472,472,16876,24,3072,17153.34,24.95,-1.00,-1.0,2433
475,475,16816,84,3036,17088.07,25.00,-1.00,-1.0,2366
478,478,16872,4,3132,17160.24,25.00,-1.00,-1.0,2412
480,480,16896,-24,3104,17178.77,24.91,-1.00,-1.0,2377
483,483,16888,80,3036,17158.91,25.00,-1.00,-1.0,2362
486,486,16948,36,2940,17201.15,24.95,-1.00,-1.0,2423
488,488,16992,52,3036,17261.17,25.05,-1.00,-1.0,2369
492,492,16980,68,3124,17265.12,24.95,-1.00,-1.0,2418
494,494,16940,-56,2940,17193.32,25.05,-1.00,-1.0,2368
497,497,16940,60,2964,17197.46,24.95,-1.00,-1.0,2362
502,502,16860,48,3012,17127.00,24.95,-1.00,-1.0,2430
505,505,16928,-44,3072,17204.54,25.00,-1.00,-1.0,2367
508,508,16916,24,3000,17179.98,25.00,-1.00,-1.0,2412
510,510,16932,52,2932,17184.06,25.00,-1.00,-1.0,2377
513,513,16876,60,3032,17146.31,25.00,-1.00,-1.0,2416
516,516,16804,40,3076,17083.26,24.81,-1.00,-1.0,2378
519,519,17052,80,2832,17285.76,24.86,-1.00,-1.0,2362
522,522,16852,-12,2960,17109.99,25.00,-1.00,-1.0,2418
525,525,16988,92,2936,17240.09,25.05,-1.00,-1.0,2370
529,529,16936,88,3032,17205.49,24.95,-1.00,-1.0,2431
532,532,16868,48,2956,17125.12,24.91,-1.00,-1.0,2365
535,535,16884,88,2860,17124.74,25.05,-1.00,-1.0,2356
538,538,16928,36,2828,17162.63,25.05,-1.00,-1.0,2417
540,540,16868,36,2896,17114.83,24.91,-1.00,-1.0,2367
543,543,16956,-28,2936,17208.34,24.95,-1.00,-1.0,2402
546,546,16924,-28,2848,17161.98,24.91,-1.00,-1.0,2374
549,549,17064,120,3000,17326.12,24.91,-1.00,-1.0,2430
552,552,17028,68,2864,17267.31,25.00,-1.00,-1.0,2375
555,555,17028,-8,2936,17279.26,25.09,-1.00,-1.0,2367
559,559,16896,72,2748,17118.16,24.95,-1.00,-1.0,2418
562,562,16864,-148,2860,17105.44,25.05,-1.00,-1.0,2366
565,565,16816,-64,3076,17095.14,24.95,-1.00,-1.0,2417
568,568,16948,-64,2912,17196.47,25.00,-1.00,-1.0,2369
570,570,16872,-96,2940,17126.51,25.05,-1.00,-1.0,2358
573,573,16876,-60,2892,17122.11,25.05,-1.00,-1.0,2417
576,576,16932,-28,3044,17203.47,25.00,-1.00,-1.0,2370
579,579,16956,-20,2860,17195.52,25.00,-1.00,-1.0,2423
582,582,16924,-88,2924,17174.96,25.00,-1.00,-1.0,2373
587,587,17000,76,2996,17262.15,25.00,-1.00,-1.0,2430
589,589,16888,-116,3028,17157.70,25.05,-1.00,-1.0,2366
592,592,16876,-124,2948,17132.00,25.00,-1.00,-1.0,2366
595,595,16916,56,3032,17185.67,25.00,-1.00,-1.0,2427
597,597,16828,-100,2884,17073.64,24.91,-1.00,-1.0,2370
600,600,16836,-40,2940,17090.82,24.95,-1.00,-1.0,2414
603,603,16952,-8,3108,17234.56,24.95,-1.00,-1.0,2369
606,606,16980,12,3056,17252.82,25.05,-1.00,-1.0,2419
609,609,16828,-80,2976,17089.31,24.95,-1.00,-1.0,2368
612,612,16896,-84,2928,17148.03,24.95,-1.00,-1.0,2363
617,617,16976,48,2976,17234.95,25.00,-1.00,-1.0,2432
619,619,16852,-84,2940,17106.74,25.00,-1.00,-1.0,2366
622,622,16820,-88,2948,17076.62,24.95,-1.00,-1.0,2415
625,625,16956,28,2860,17195.53,25.05,-1.00,-1.0,2369
627,627,16832,36,2904,17080.71,25.00,-1.00,-1.0,2363
630,630,16948,-100,3020,17215.26,25.00,-1.00,-1.0,2417
633,633,17012,-76,3080,17288.73,25.05,-1.00,-1.0,2369
636,636,16980,-48,2992,17241.66,24.95,-1.00,-1.0,2419
639,639,16932,-96,3064,17207.26,24.95,-1.00,-1.0,2367
644,644,16984,-128,3076,17260.78,25.05,-1.00,-1.0,2436
646,646,17016,-52,3060,17289.03,24.91,-1.00,-1.0,2367
649,649,16852,-104,3060,17127.88,24.95,-1.00,-1.0,2360
652,652,16980,-52,3224,17283.44,25.05,-1.00,-1.0,2427
654,654,16984,-56,2896,17229.22,25.00,-1.00,-1.0,2369
657,657,16884,-88,3120,17170.08,24.95,-1.00,-1.0,2429
660,660,16936,-32,2976,17195.51,25.00,-1.00,-1.0,2375
663,663,16896,-108,3036,17166.94,25.00,-1.00,-1.0,2418
666,666,16884,-132,3032,17154.59,24.86,-1.00,-1.0,2367
669,669,16904,-40,3100,17185.95,25.05,-1.00,-1.0,2363
674,674,16872,-24,3072,17149.41,25.05,-1.00,-1.0,2431
676,676,16932,-96,3100,17213.71,25.09,-1.00,-1.0,2368
679,679,16928,-96,2960,17185.11,24.95,-1.00,-1.0,2430
682,682,16948,-64,3024,17215.79,25.09,-1.00,-1.0,2377
684,684,16928,-124,3032,17197.84,25.05,-1.00,-1.0,2366
687,687,16960,-64,3016,17226.20,24.95,-1.00,-1.0,2417
690,690,16928,-72,3016,17194.73,25.09,-1.00,-1.0,2379
693,693,16920,-80,3240,17227.61,25.00,-1.00,-1.0,2421
696,696,16868,-200,2924,17120.72,25.00,-1.00,-1.0,2367
700,700,16832,-108,2928,17085.11,25.00,-1.00,-1.0,2431
703,703,16964,-136,2940,17217.42,25.00,-1.00,-1.0,2365
706,706,16880,-88,3144,17170.52,25.00,-1.00,-1.0,2365
709,709,16976,-48,3156,17266.94,25.05,-1.00,-1.0,2417
711,711,16996,-180,2944,17250.03,25.00,-1.00,-1.0,2367
714,714,17012,-84,3168,17304.66,25.00,-1.00,-1.0,2414
717,717,16904,-44,3028,17173.12,25.00,-1.00,-1.0,2369
720,720,16868,-100,3172,17163.95,24.95,-1.00,-1.0,2426
723,723,16880,-216,2932,17134.11,25.00,-1.00,-1.0,2375
726,726,16956,-84,3176,17251.09,25.00,-1.00,-1.0,2363
730,730,16928,-128,2868,17169.71,25.00,-1.00,-1.0,2430
733,733,16896,-124,3136,17185.01,25.00,-1.00,-1.0,2364
736,736,16940,-72,2976,17199.57,25.00,-1.00,-1.0,2415
739,739,16968,-196,2920,17218.53,25.05,-1.00,-1.0,2375
741,741,16988,-164,3016,17254.43,25.00,-1.00,-1.0,2425
744,744,16920,-160,3088,17200.22,24.95,-1.00,-1.0,2376
747,747,17048,-216,3168,17341.20,24.95,-1.00,-1.0,2370
750,750,16884,-180,3080,17163.57,25.05,-1.00,-1.0,2425
753,753,16956,-144,3124,17241.98,25.05,-1.00,-1.0,2374
758,758,16880,-8,3108,17163.74,25.00,-1.00,-1.0,2432
761,761,16864,-84,3144,17154.78,24.95,-1.00,-1.0,2376
763,763,16924,-136,3020,17191.88,25.09,-1.00,-1.0,2423
766,766,16868,-36,3184,17165.91,25.05,-1.00,-1.0,2374
769,769,16920,-100,3020,17187.69,25.00,-1.00,-1.0,2359
771,771,16904,-80,3056,17178.21,25.00,-1.00,-1.0,2423
774,774,16928,12,2960,17184.85,25.05,-1.00,-1.0,2376
777,777,16976,-36,3008,17240.47,25.05,-1.00,-1.0,2422
780,780,16896,-48,3148,17186.83,24.95,-1.00,-1.0,2377
785,785,16992,4,3168,17284.80,24.95,-1.00,-1.0,2432
787,787,16836,-8,3024,17105.42,24.91,-1.00,-1.0,2370
790,790,16924,-48,3052,17197.06,24.95,-1.00,-1.0,2360
793,793,16916,-32,3124,17202.08,24.95,-1.00,-1.0,2422
795,795,16904,-112,3032,17174.13,25.09,-1.00,-1.0,2371
798,798,16896,-28,3176,17191.93,25.05,-1.00,-1.0,2418
801,801,16956,-60,3012,17221.55,25.00,-1.00,-1.0,2369
804,804,16920,-32,3036,17190.25,24.95,-1.00,-1.0,2369
807,807,16948,4,3072,17224.17,25.05,-1.00,-1.0,2407
810,810,16804,-44,3200,17106.03,25.05,-1.00,-1.0,2374
815,815,16876,-32,2984,17137.81,24.95,-1.00,-1.0,2438
817,817,16864,-80,3124,17151.10,25.05,-1.00,-1.0,2367
820,820,16836,32,3036,17107.58,25.05,-1.00,-1.0,2404
823,823,16932,-120,3128,17218.93,24.91,-1.00,-1.0,2369
825,825,17000,-12,3052,17271.79,25.05,-1.00,-1.0,2358
828,828,16984,20,3184,17279.89,24.95,-1.00,-1.0,2403
831,831,16888,-56,2952,17144.15,25.00,-1.00,-1.0,2368
834,834,17040,-64,3036,17308.47,25.00,-1.00,-1.0,2414
837,837,16880,-68,2996,17143.95,25.00,-1.00,-1.0,2373
840,840,16892,-72,3080,17170.65,25.09,-1.00,-1.0,2367
845,845,16836,8,3148,17127.78,25.05,-1.00,-1.0,2438
847,847,16792,12,2996,17057.18,25.05,-1.00,-1.0,2368
850,850,16892,8,3056,17166.21,25.05,-1.00,-1.0,2416
853,853,16968,-8,2976,17227.00,25.05,-1.00,-1.0,2370
856,856,16784,-76,2952,17041.79,25.05,-1.00,-1.0,2413
858,858,16900,48,3116,17184.93,25.09,-1.00,-1.0,2378
861,861,16988,-112,3100,17268.89,25.05,-1.00,-1.0,2362
864,864,16876,-68,3064,17152.03,25.05,-1.00,-1.0,2417
867,867,16968,-24,3092,17247.44,25.09,-1.00,-1.0,2371
872,872,17016,-84,2964,17272.42,25.09,-1.00,-1.0,2438
874,874,16988,-12,3044,17258.57,24.95,-1.00,-1.0,2367
877,877,16980,-164,3176,17275.25,25.09,-1.00,-1.0,2418
880,880,16960,-88,2984,17220.73,24.95,-1.00,-1.0,2367
882,882,16884,-72,3000,17148.61,25.00,-1.00,-1.0,2357
885,885,16792,-16,3060,17068.54,25.00,-1.00,-1.0,2420
888,888,16964,24,2908,17211.46,25.05,-1.00,-1.0,2369
891,891,16960,8,2764,17183.75,25.05,-1.00,-1.0,2414
894,894,16964,-100,2976,17223.35,24.95,-1.00,-1.0,2369
897,897,16876,36,2996,17139.92,25.05,-1.00,-1.0,2363
902,902,16956,-92,2780,17182.63,25.00,-1.00,-1.0,2437
904,904,16876,-60,2932,17128.91,25.00,-1.00,-1.0,2367
907,907,16908,-8,3068,17184.10,25.00,-1.00,-1.0,2417
910,910,16848,-148,2948,17104.61,25.05,-1.00,-1.0,2367
913,913,16948,-36,2996,17210.81,25.05,-1.00,-1.0,2419
915,915,16972,-52,2984,17232.40,24.95,-1.00,-1.0,2372
918,918,16872,-36,2924,17123.54,25.00,-1.00,-1.0,2362
921,921,16860,-8,2912,17109.63,25.09,-1.00,-1.0,2417
924,924,16908,-60,3012,17174.29,25.05,-1.00,-1.0,2369
929,929,16872,-132,3000,17137.15,25.05,-1.00,-1.0,2431
931,931,16988,-64,3048,17259.39,25.05,-1.00,-1.0,2376
934,934,16916,-52,2984,17177.25,25.05,-1.00,-1.0,2415
937,937,16912,-64,2984,17173.35,25.05,-1.00,-1.0,2374
939,939,16984,-36,3044,17254.67,25.05,-1.00,-1.0,2358
942,942,16936,-104,3012,17202.07,24.91,-1.00,-1.0,2416
945,945,16912,-84,2940,17165.85,25.00,-1.00,-1.0,2369
948,948,16968,-64,2936,17220.26,24.91,-1.00,-1.0,2412
951,951,16984,-68,2788,17211.45,25.00,-1.00,-1.0,2369
