timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2,17012,1412,2028,17190.54,28.48,-1.00,-1.0,2496
9,9,16888,1560,2000,17077.42,28.58,-1.00,-1.0,2457
11,11,16896,1576,2000,17086.79,28.48,-1.00,-1.0,2382
14,14,16816,1592,1900,16997.71,28.58,-1.00,-1.0,2362
17,17,16912,1664,2044,17116.15,28.62,-1.00,-1.0,2419
19,19,16912,1660,2036,17114.81,28.58,-1.00,-1.0,2367
22,22,16980,1624,2056,17180.95,28.58,-1.00,-1.0,2420
25,25,16960,1460,2056,17146.44,28.58,-1.00,-1.0,2353
27,27,17112,1544,2044,17302.67,28.48,-1.00,-1.0,2362
30,30,17072,1340,2152,17259.20,28.58,-1.00,-1.0,2421
33,33,17044,1432,2156,17239.40,28.58,-1.00,-1.0,2369
38,38,16956,1376,1940,17122.00,28.48,-1.00,-1.0,2432
40,40,16928,1420,2240,17134.50,28.58,-1.00,-1.0,2373
43,43,16884,1316,2272,17086.93,28.58,-1.00,-1.0,2427
46,46,16872,1416,2104,17061.54,28.62,-1.00,-1.0,2373
48,48,16940,1428,2188,17140.31,28.58,-1.00,-1.0,2366
51,51,16844,1496,2140,17045.17,28.58,-1.00,-1.0,2420
54,54,17020,1504,1956,17197.92,28.53,-1.00,-1.0,2367
57,57,16912,1532,2052,17104.78,28.58,-1.00,-1.0,2427
59,59,17000,1400,2016,17176.27,28.44,-1.00,-1.0,2367
62,62,16932,1468,2116,17126.74,28.58,-1.00,-1.0,2376
67,67,16900,1456,1896,17068.24,28.53,-1.00,-1.0,2432
70,70,16948,1512,2064,17140.04,28.53,-1.00,-1.0,2364
72,72,16956,1488,2064,17145.85,28.48,-1.00,-1.0,2415
75,75,16924,1480,1956,17100.82,28.58,-1.00,-1.0,2370
78,78,16960,1396,2008,17135.42,28.53,-1.00,-1.0,2362
81,81,17024,1512,2040,17212.33,28.53,-1.00,-1.0,2407
83,83,16948,1632,2192,17166.92,28.58,-1.00,-1.0,2367
