timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,17156,-476,436,17168.14,27.73,-1.00,-1.0,2481
5,2135005,17044,-488,640,17062.99,27.68,-1.00,-1.0,2364
8,2135008,17072,-416,504,17084.50,27.68,-1.00,-1.0,2371
11,2135011,17120,-492,564,17136.35,27.78,-1.00,-1.0,2363
14,2135014,17016,-448,604,17032.61,27.78,-1.00,-1.0,2371
17,2135017,17064,-412,620,17080.23,27.68,-1.00,-1.0,2366
20,2135020,17184,-464,468,17196.63,27.64,-1.00,-1.0,2370
23,2135023,17204,-460,620,17221.31,27.73,-1.00,-1.0,2363
26,2135026,17068,-368,600,17082.51,27.73,-1.00,-1.0,2369
29,2135029,17088,-564,528,17105.46,27.64,-1.00,-1.0,2363
32,2135032,17140,-500,580,17157.10,27.82,-1.00,-1.0,2369
35,2135035,17084,-444,556,17098.81,27.73,-1.00,-1.0,2363
38,2135038,17080,-480,460,17092.93,27.73,-1.00,-1.0,2369
41,2135041,17108,-464,548,17123.06,27.73,-1.00,-1.0,2364
44,2135044,17148,-484,564,17164.10,27.73,-1.00,-1.0,2364
47,2135047,17148,-444,616,17164.80,27.73,-1.00,-1.0,2363
50,2135050,17192,-536,664,17213.17,27.73,-1.00,-1.0,2369
53,2135053,17136,-448,648,17154.10,27.73,-1.00,-1.0,2363
56,2135056,17156,-340,452,17165.32,27.73,-1.00,-1.0,2364
59,2135059,17088,-520,404,17100.68,27.73,-1.00,-1.0,2359
62,2135062,17156,-440,516,17169.40,27.64,-1.00,-1.0,2364
65,2135065,17108,-360,512,17119.45,27.73,-1.00,-1.0,2358
68,2135068,17036,-432,556,17050.54,27.73,-1.00,-1.0,2349
71,2135071,17172,-412,604,17187.56,27.64,-1.00,-1.0,2343
74,2135074,17088,-396,500,17099.90,27.73,-1.00,-1.0,2364
77,2135077,17108,-420,424,17118.41,27.73,-1.00,-1.0,2358
80,2135080,17076,-464,524,17090.34,27.64,-1.00,-1.0,2364
83,2135083,17136,-404,624,17152.12,27.82,-1.00,-1.0,2359
86,2135086,17048,-468,660,17067.19,27.64,-1.00,-1.0,2361
89,2135089,17128,-468,564,17143.67,27.73,-1.00,-1.0,2356
92,2135092,17184,-508,536,17199.86,27.78,-1.00,-1.0,2362
95,2135095,17056,-384,568,17069.78,27.68,-1.00,-1.0,2355
