timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,305002,17032,-568,656,17054.09,30.27,-1.00,-1.0,2501
9,305009,17136,-524,676,17157.33,30.22,-1.00,-1.0,2458
11,305011,17020,-608,596,17041.28,30.22,-1.00,-1.0,2371
14,305014,17080,-684,644,17105.82,30.22,-1.00,-1.0,2366
17,305017,17040,-624,776,17069.07,30.18,-1.00,-1.0,2430
19,305019,17064,-656,668,17089.67,30.27,-1.00,-1.0,2364
22,305022,17104,-664,604,17127.54,30.18,-1.00,-1.0,2435
25,305025,17084,-624,608,17106.20,30.27,-1.00,-1.0,2365
28,305028,17084,-676,608,17108.18,30.27,-1.00,-1.0,2429
30,305030,17080,-556,724,17104.38,30.27,-1.00,-1.0,2365
35,305035,17060,-612,740,17087.01,30.32,-1.00,-1.0,2443
38,305038,17136,-612,696,17161.04,30.32,-1.00,-1.0,2362
40,305040,17060,-544,708,17083.35,30.18,-1.00,-1.0,2366
43,305043,17068,-488,660,17087.73,30.27,-1.00,-1.0,2434
46,305046,17060,-620,660,17084.02,30.18,-1.00,-1.0,2369
49,305049,17172,-612,592,17193.10,30.27,-1.00,-1.0,2429
51,305051,17148,-680,600,17171.96,30.18,-1.00,-1.0,2373
54,305054,17120,-636,676,17145.14,30.18,-1.00,-1.0,2432
57,305057,16992,-584,636,17013.92,30.27,-1.00,-1.0,2370
60,305060,17044,-708,676,17072.09,30.22,-1.00,-1.0,2368
65,305065,17128,-532,708,17150.88,30.22,-1.00,-1.0,2448
67,305067,17100,-676,684,17127.02,30.22,-1.00,-1.0,2374
70,305070,17132,-688,628,17157.31,30.22,-1.00,-1.0,2420
73,305073,17028,-668,612,17052.08,30.27,-1.00,-1.0,2356
76,305076,17008,-568,624,17028.92,30.22,-1.00,-1.0,2433
78,305078,17132,-712,676,17160.11,30.22,-1.00,-1.0,2378
81,305081,17068,-540,624,17087.94,30.32,-1.00,-1.0,2421
84,305084,17012,-652,636,17036.37,30.18,-1.00,-1.0,2357
86,305086,17004,-548,724,17028.23,30.22,-1.00,-1.0,2367
91,305091,17072,-628,672,17096.76,30.32,-1.00,-1.0,2445
94,305094,16968,-592,684,16992.10,30.22,-1.00,-1.0,2353
97,305097,17060,-520,784,17085.92,30.32,-1.00,-1.0,2420
100,305100,17068,-604,680,17092.21,30.22,-1.00,-1.0,2368
102,305102,17080,-628,756,17108.25,30.13,-1.00,-1.0,2423
105,305105,16996,-548,652,17017.33,30.22,-1.00,-1.0,2377
108,305108,17140,-456,732,17161.68,30.27,-1.00,-1.0,2367
110,305110,17104,-676,652,17129.77,30.27,-1.00,-1.0,2420
113,305113,17140,-660,668,17165.71,30.27,-1.00,-1.0,2370
118,305118,17060,-776,656,17090.23,30.18,-1.00,-1.0,2442
121,305121,17076,-584,732,17101.66,30.13,-1.00,-1.0,2355
124,305124,17028,-660,568,17050.25,30.37,-1.00,-1.0,2429
126,305126,17172,-560,840,17201.65,30.27,-1.00,-1.0,2365
129,305129,16984,-712,640,17010.96,30.27,-1.00,-1.0,2425
132,305132,16996,-640,656,17020.69,30.18,-1.00,-1.0,2369
134,305134,17080,-612,712,17105.79,30.27,-1.00,-1.0,2366
137,305137,17068,-628,716,17094.55,30.32,-1.00,-1.0,2437
140,305140,17088,-580,628,17109.37,30.22,-1.00,-1.0,2372
145,305145,17116,-692,684,17143.63,30.13,-1.00,-1.0,2452
148,305148,17100,-596,712,17125.19,30.32,-1.00,-1.0,2369
151,305151,17052,-704,624,17077.93,30.22,-1.00,-1.0,2429
