timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,610003,16960,-672,692,16987.41,32.58,-1.00,-1.0,2487
9,610009,17096,-720,680,17124.66,32.62,-1.00,-1.0,2454
12,610012,17124,-588,728,17149.55,32.53,-1.00,-1.0,2381
14,610014,17084,-644,644,17108.26,32.58,-1.00,-1.0,2371
17,610017,16984,-664,868,17019.12,32.58,-1.00,-1.0,2422
20,610020,16952,-656,752,16981.35,32.48,-1.00,-1.0,2369
23,610023,17124,-628,720,17150.63,32.58,-1.00,-1.0,2421
25,610025,17132,-580,780,17159.55,32.67,-1.00,-1.0,2375
28,610028,17028,-576,852,17059.03,32.58,-1.00,-1.0,2419
31,610031,17124,-620,732,17150.85,32.67,-1.00,-1.0,2371
36,610036,17108,-684,728,17137.14,32.53,-1.00,-1.0,2442
38,610038,17120,-668,676,17146.36,32.62,-1.00,-1.0,2365
41,610041,17088,-628,684,17113.21,32.58,-1.00,-1.0,2367
44,610044,17048,-568,632,17069.16,32.58,-1.00,-1.0,2423
46,610046,17056,-612,768,17084.25,32.67,-1.00,-1.0,2374
49,610049,17088,-612,708,17113.61,32.67,-1.00,-1.0,2422
52,610052,17056,-668,732,17084.77,32.58,-1.00,-1.0,2360
55,610055,17080,-612,584,17100.94,32.58,-1.00,-1.0,2424
57,610057,17012,-668,752,17041.71,32.58,-1.00,-1.0,2375
60,610060,17140,-688,764,17170.81,32.53,-1.00,-1.0,2366
65,610065,17048,-648,644,17072.46,32.58,-1.00,-1.0,2443
68,610068,17020,-612,836,17051.51,32.58,-1.00,-1.0,2368
71,610071,17128,-572,628,17149.05,32.53,-1.00,-1.0,2421
73,610073,17036,-636,672,17061.11,32.48,-1.00,-1.0,2370
76,610076,17072,-684,620,17096.94,32.62,-1.00,-1.0,2421
79,610079,17020,-580,680,17043.45,32.48,-1.00,-1.0,2370
82,610082,17056,-728,764,17088.62,32.62,-1.00,-1.0,2422
84,610084,17076,-616,836,17107.55,32.67,-1.00,-1.0,2370
87,610087,17096,-612,580,17116.78,32.53,-1.00,-1.0,2374
92,610092,17076,-664,884,17111.75,32.62,-1.00,-1.0,2450
95,610095,17076,-680,664,17102.43,32.53,-1.00,-1.0,2366
97,610097,17116,-564,696,17139.43,32.62,-1.00,-1.0,2425
100,610100,16960,-572,760,16986.65,32.62,-1.00,-1.0,2371
103,610103,17020,-696,708,17048.93,32.53,-1.00,-1.0,2428
