timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,915002,17088,-576,780,17115.49,32.67,-1.00,-1.0,2489
9,915009,17024,-632,680,17049.29,32.72,-1.00,-1.0,2452
11,915011,17088,-696,900,17125.83,32.62,-1.00,-1.0,2372
14,915014,17136,-648,876,17170.61,32.53,-1.00,-1.0,2368
17,915017,16964,-652,872,16998.91,32.58,-1.00,-1.0,2422
19,915019,16956,-572,868,16987.84,32.67,-1.00,-1.0,2381
22,915022,17064,-604,808,17093.79,32.67,-1.00,-1.0,2419
25,915025,17084,-680,848,17118.54,32.62,-1.00,-1.0,2376
28,915028,17052,-740,780,17085.86,32.48,-1.00,-1.0,2420
30,915030,16984,-696,688,17012.17,32.67,-1.00,-1.0,2377
35,915035,17084,-564,816,17112.77,32.67,-1.00,-1.0,2455
38,915038,17136,-688,744,17165.94,32.62,-1.00,-1.0,2378
41,915041,17024,-668,860,17058.79,32.67,-1.00,-1.0,2367
43,915043,17116,-572,904,17149.40,32.72,-1.00,-1.0,2417
46,915046,16972,-644,856,17005.77,32.58,-1.00,-1.0,2377
49,915049,17044,-560,780,17071.03,32.72,-1.00,-1.0,2425
52,915052,17108,-652,760,17137.28,32.58,-1.00,-1.0,2372
54,915054,17152,-608,852,17183.91,32.62,-1.00,-1.0,2418
57,915057,17020,-592,876,17052.81,32.58,-1.00,-1.0,2374
60,915060,17088,-632,740,17115.69,32.62,-1.00,-1.0,2367
65,915065,17064,-688,792,17096.22,32.72,-1.00,-1.0,2439
67,915067,16984,-632,748,17012.21,32.62,-1.00,-1.0,2369
70,915070,17060,-644,804,17091.07,32.72,-1.00,-1.0,2418
73,915073,17036,-680,752,17066.14,32.62,-1.00,-1.0,2372
76,915076,17072,-720,832,17107.42,32.72,-1.00,-1.0,2419
78,915078,17168,-712,764,17199.73,32.62,-1.00,-1.0,2372
81,915081,17052,-584,828,17082.08,32.62,-1.00,-1.0,2418
84,915084,17028,-592,780,17056.13,32.62,-1.00,-1.0,2373
86,915086,17024,-660,784,17054.82,32.67,-1.00,-1.0,2371
91,915091,17068,-716,852,17104.24,32.77,-1.00,-1.0,2440
94,915094,16972,-728,968,17015.16,32.72,-1.00,-1.0,2369
97,915097,17096,-684,660,17122.40,32.67,-1.00,-1.0,2425
100,915100,17000,-712,916,17039.54,32.72,-1.00,-1.0,2371
102,915102,17140,-556,720,17164.12,32.58,-1.00,-1.0,2434
105,915105,17092,-632,728,17119.17,32.67,-1.00,-1.0,2372
108,915108,17032,-644,676,17057.57,32.67,-1.00,-1.0,2370
