timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,1220002,17028,-544,868,17058.79,30.51,-1.00,-1.0,2497
9,1220009,17096,-584,820,17125.62,30.55,-1.00,-1.0,2450
11,1220011,16948,-572,952,16984.35,30.46,-1.00,-1.0,2373
14,1220014,17012,-768,864,17051.23,30.51,-1.00,-1.0,2366
17,1220017,17088,-516,932,17121.17,30.60,-1.00,-1.0,2421
19,1220019,17036,-668,784,17067.11,30.60,-1.00,-1.0,2368
22,1220022,17132,-532,860,17161.82,30.60,-1.00,-1.0,2419
25,1220025,17040,-540,976,17076.47,30.51,-1.00,-1.0,2371
28,1220028,17140,-640,928,17177.03,30.60,-1.00,-1.0,2422
30,1220030,17068,-568,924,17102.43,30.51,-1.00,-1.0,2373
35,1220035,16992,-600,924,17027.68,30.51,-1.00,-1.0,2454
38,1220038,17084,-552,904,17116.80,30.55,-1.00,-1.0,2377
41,1220041,17112,-516,1000,17148.96,30.51,-1.00,-1.0,2367
43,1220043,17044,-672,856,17078.71,30.55,-1.00,-1.0,2422
46,1220046,17016,-528,864,17046.10,30.60,-1.00,-1.0,2373
49,1220049,17056,-644,644,17080.30,30.55,-1.00,-1.0,2424
52,1220052,17024,-616,876,17057.65,30.60,-1.00,-1.0,2376
54,1220054,17048,-592,868,17080.35,30.55,-1.00,-1.0,2418
57,1220057,17000,-596,756,17027.24,30.60,-1.00,-1.0,2360
62,1220062,17004,-696,968,17045.75,30.60,-1.00,-1.0,2441
65,1220065,16960,-520,840,16988.75,30.51,-1.00,-1.0,2375
68,1220068,16984,-548,832,17013.20,30.55,-1.00,-1.0,2421
70,1220070,17016,-616,852,17048.45,30.51,-1.00,-1.0,2379
73,1220073,17048,-604,808,17077.82,30.46,-1.00,-1.0,2373
76,1220076,17036,-600,988,17075.17,30.55,-1.00,-1.0,2418
78,1220078,17000,-568,904,17033.49,30.55,-1.00,-1.0,2376
81,1220081,17108,-664,852,17142.07,30.51,-1.00,-1.0,2418
84,1220084,17060,-592,920,17095.04,30.65,-1.00,-1.0,2379
89,1220089,17096,-568,892,17128.68,30.55,-1.00,-1.0,2440
92,1220092,17024,-576,912,17058.14,30.55,-1.00,-1.0,2369
94,1220094,17060,-632,1028,17102.62,30.46,-1.00,-1.0,2418
97,1220097,17016,-600,912,17050.98,30.60,-1.00,-1.0,2436
100,1220100,17044,-608,972,17082.52,30.55,-1.00,-1.0,2375
103,1220103,16964,-560,876,16995.83,30.51,-1.00,-1.0,2417
105,1220105,17112,-728,1008,17157.12,30.55,-1.00,-1.0,2376
108,1220108,17036,-580,792,17064.26,30.51,-1.00,-1.0,2430
111,1220111,17036,-588,860,17067.82,30.60,-1.00,-1.0,2386
116,1220116,17060,-604,996,17099.72,30.60,-1.00,-1.0,2450
119,1220119,17104,-624,908,17139.45,30.55,-1.00,-1.0,2366
121,1220121,17108,-656,960,17147.47,30.60,-1.00,-1.0,2422
124,1220124,16992,-636,712,17018.80,30.55,-1.00,-1.0,2370
127,1220127,17040,-624,876,17073.91,30.51,-1.00,-1.0,2427
130,1220130,17052,-548,940,17086.68,30.46,-1.00,-1.0,2357
132,1220132,17056,-608,856,17088.29,30.51,-1.00,-1.0,2382
135,1220135,17068,-644,844,17100.98,30.55,-1.00,-1.0,2424
138,1220138,17032,-680,812,17064.90,30.51,-1.00,-1.0,2373
143,1220143,17068,-596,872,17100.65,30.60,-1.00,-1.0,2441
145,1220145,17084,-596,892,17117.65,30.51,-1.00,-1.0,2369
148,1220148,17016,-672,904,17053.24,30.55,-1.00,-1.0,2430
151,1220151,16984,-568,824,17013.46,30.51,-1.00,-1.0,2377
154,1220154,17076,-660,916,17113.28,30.46,-1.00,-1.0,2432
156,1220156,17068,-532,836,17096.74,30.51,-1.00,-1.0,2371
159,1220159,17076,-596,936,17112.02,30.46,-1.00,-1.0,2364
162,1220162,16924,-584,748,16950.59,30.51,-1.00,-1.0,2429
165,1220165,17080,-668,732,17108.72,30.55,-1.00,-1.0,2367
