timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,1525003,16936,-500,728,16959.01,30.18,-1.00,-1.0,2494
10,1525010,17148,-552,792,17175.15,30.22,-1.00,-1.0,2456
12,1525012,17112,-632,792,17141.97,30.13,-1.00,-1.0,2372
15,1525015,16976,-568,792,17003.96,30.18,-1.00,-1.0,2368
18,1525018,17044,-596,916,17079.00,30.18,-1.00,-1.0,2434
20,1525020,16992,-584,952,17028.66,30.18,-1.00,-1.0,2380
23,1525023,17056,-516,792,17082.17,30.22,-1.00,-1.0,2430
26,1525026,17020,-576,808,17048.90,30.18,-1.00,-1.0,2378
29,1525029,17036,-592,1016,17076.53,30.22,-1.00,-1.0,2431
31,1525031,17124,-584,884,17156.74,30.27,-1.00,-1.0,2379
36,1525036,17044,-536,788,17070.62,30.08,-1.00,-1.0,2439
39,1525039,17024,-608,916,17059.46,30.18,-1.00,-1.0,2375
42,1525042,17040,-560,860,17070.88,30.18,-1.00,-1.0,2420
45,1525045,16976,-632,792,17006.21,30.22,-1.00,-1.0,2438
47,1525047,16992,-636,800,17022.71,30.27,-1.00,-1.0,2381
50,1525050,17092,-540,876,17122.95,30.22,-1.00,-1.0,2418
53,1525053,17004,-544,812,17032.07,30.13,-1.00,-1.0,2373
56,1525056,16984,-576,836,17014.31,30.32,-1.00,-1.0,2418
58,1525058,17032,-632,876,17066.22,30.22,-1.00,-1.0,2375
63,1525063,17040,-652,928,17077.70,30.22,-1.00,-1.0,2455
66,1525066,17132,-552,856,17162.25,30.18,-1.00,-1.0,2374
69,1525069,17120,-652,916,17156.88,30.13,-1.00,-1.0,2430
71,1525071,16984,-524,980,17020.32,30.32,-1.00,-1.0,2374
74,1525074,17052,-684,992,17094.52,30.18,-1.00,-1.0,2365
77,1525077,17008,-644,972,17047.92,30.18,-1.00,-1.0,2430
80,1525080,17044,-620,784,17073.28,30.27,-1.00,-1.0,2362
82,1525082,17036,-512,860,17065.38,30.18,-1.00,-1.0,2424
85,1525085,17024,-552,844,17053.84,30.32,-1.00,-1.0,2443
90,1525090,17008,-568,952,17044.09,30.13,-1.00,-1.0,2445
93,1525093,17064,-712,844,17099.69,30.13,-1.00,-1.0,2370
96,1525096,17072,-592,864,17104.10,30.08,-1.00,-1.0,2420
98,1525098,17008,-620,976,17047.26,30.22,-1.00,-1.0,2376
101,1525101,17028,-564,944,17063.47,30.18,-1.00,-1.0,2366
104,1525104,17032,-688,804,17064.84,30.18,-1.00,-1.0,2426
107,1525107,17024,-572,880,17056.32,30.18,-1.00,-1.0,2370
109,1525109,17056,-604,924,17091.69,30.22,-1.00,-1.0,2424
