timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,1830002,17064,-608,996,17103.85,26.84,-1.00,-1.0,2491
9,1830009,17172,-632,876,17205.94,26.88,-1.00,-1.0,2460
12,1830012,16920,-624,940,16957.58,26.88,-1.00,-1.0,2365
14,1830014,17028,-520,1000,17065.26,26.93,-1.00,-1.0,2381
17,1830017,16996,-552,912,17029.40,26.84,-1.00,-1.0,2415
20,1830020,17008,-660,1016,17051.10,26.84,-1.00,-1.0,2375
23,1830023,16924,-580,928,16959.34,26.79,-1.00,-1.0,2437
25,1830025,17060,-460,916,17090.77,26.93,-1.00,-1.0,2374
28,1830028,17040,-564,1060,17082.25,26.88,-1.00,-1.0,2429
31,1830031,17020,-552,796,17047.54,26.79,-1.00,-1.0,2376
36,1830036,16960,-560,952,16995.93,26.84,-1.00,-1.0,2442
38,1830038,17036,-608,868,17068.93,26.84,-1.00,-1.0,2377
41,1830041,17088,-596,968,17125.77,26.88,-1.00,-1.0,2423
44,1830044,17016,-556,1008,17054.89,26.79,-1.00,-1.0,2392
46,1830046,17036,-640,1004,17077.56,26.84,-1.00,-1.0,2379
49,1830049,17020,-508,952,17054.17,26.84,-1.00,-1.0,2424
52,1830052,17012,-540,1016,17050.87,26.84,-1.00,-1.0,2381
55,1830055,17000,-604,912,17035.16,26.79,-1.00,-1.0,2433
58,1830058,17100,-564,876,17131.71,26.84,-1.00,-1.0,2384
63,1830063,17108,-556,952,17143.49,26.84,-1.00,-1.0,2454
65,1830065,16952,-520,900,16983.84,26.84,-1.00,-1.0,2374
68,1830068,17024,-504,968,17058.95,26.79,-1.00,-1.0,2428
71,1830071,17016,-572,1104,17061.37,26.79,-1.00,-1.0,2389
73,1830073,17016,-532,952,17050.91,26.93,-1.00,-1.0,2380
76,1830076,17068,-512,1000,17104.93,26.74,-1.00,-1.0,2427
79,1830079,17024,-496,984,17059.63,26.84,-1.00,-1.0,2380
82,1830082,17028,-588,964,17065.40,26.79,-1.00,-1.0,2430
85,1830085,17032,-544,904,17064.65,26.88,-1.00,-1.0,2380
90,1830090,16980,-620,960,17018.41,26.84,-1.00,-1.0,2441
92,1830092,17060,-568,916,17094.01,26.84,-1.00,-1.0,2376
95,1830095,17116,-568,944,17151.42,26.88,-1.00,-1.0,2427
98,1830098,17108,-504,848,17136.42,26.88,-1.00,-1.0,2378
100,1830100,17016,-572,976,17053.56,26.74,-1.00,-1.0,2371
103,1830103,17172,-500,920,17203.89,26.84,-1.00,-1.0,2434
106,1830106,17168,-580,944,17203.71,26.74,-1.00,-1.0,2386
109,1830109,17052,-500,948,17085.65,26.79,-1.00,-1.0,2430
111,1830111,16944,-576,864,16975.79,26.79,-1.00,-1.0,2387
117,1830117,16956,-652,1132,17006.25,26.88,-1.00,-1.0,2460
119,1830119,16964,-472,1040,17002.40,26.79,-1.00,-1.0,2378
122,1830122,17096,-588,1008,17135.78,26.79,-1.00,-1.0,2429
125,1830125,16988,-564,840,17018.10,26.88,-1.00,-1.0,2389
