timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,11908,1180,-17264,-1.00,-1.0
4,15356,1992,1028,-1.00,-1.0
5,25516,-7584,12908,-1.00,-1.0
11,16792,-5024,5824,-1.00,-1.0
13,19720,1500,4248,-1.00,-1.0
15,13552,3564,-7136,-1.00,-1.0
17,19556,3604,912,-1.00,-1.0
19,21552,-4164,7944,-1.00,-1.0
21,12112,1472,-3888,-1.00,-1.0
23,19056,1196,6776,-1.00,-1.0
25,19844,-2324,88,-1.00,-1.0
27,16052,-3896,-2636,-1.00,-1.0
29,20316,788,4188,-1.00,-1.0
31,9956,6856,-11180,-1.00,-1.0
33,18772,2088,6088,-1.00,-1.0
35,19592,-4808,1808,-1.00,-1.0
37,18080,-5056,8112,-1.00,-1.0
39,17720,1332,1992,-1.00,-1.0
40,14816,-308,-4736,-1.00,-1.0
42,19740,-3092,1060,-1.00,-1.0
46,11560,6300,-8736,-1.00,-1.0
48,15208,5252,1716,-1.00,-1.0
50,21036,-2924,7248,-1.00,-1.0
52,17736,-4632,6228,-1.00,-1.0
54,14208,1128,-2432,-1.00,-1.0
56,17240,96,2960,-1.00,-1.0
58,18996,-3460,2340,-1.00,-1.0
60,17372,-2612,-2148,-1.00,-1.0
62,14856,1452,-3244,-1.00,-1.0
64,14904,4748,-3448,-1.00,-1.0
66,21528,-2072,8520,-1.00,-1.0
68,17904,1404,-1636,-1.00,-1.0
70,18204,-3636,6828,-1.00,-1.0
72,13224,1320,1604,-1.00,-1.0
74,16864,2680,3676,-1.00,-1.0
76,15772,-3376,-6180,-1.00,-1.0
77,18144,-2196,2700,-1.00,-1.0
82,12608,7608,-4208,-1.00,-1.0
84,21096,7920,128,-1.00,-1.0
86,18392,-5216,5312,-1.00,-1.0
87,16304,-2292,6340,-1.00,-1.0
90,14660,2284,1652,-1.00,-1.0
91,12508,1572,-6228,-1.00,-1.0
93,18788,-4492,-636,-1.00,-1.0
95,19844,-2036,3960,-1.00,-1.0
97,10396,6264,-13504,-1.00,-1.0
99,17288,4048,5432,-1.00,-1.0
101,16932,516,-4228,-1.00,-1.0
103,22716,-7228,15124,-1.00,-1.0
105,14668,-5984,-5644,-1.00,-1.0
107,15276,4368,3180,-1.00,-1.0
109,21404,-4304,-2376,-1.00,-1.0
111,16332,-4384,-652,-1.00,-1.0
115,9184,6628,-7752,-1.00,-1.0
117,21196,-304,12996,-1.00,-1.0
119,23040,-1264,6716,-1.00,-1.0
121,13612,-5528,-1420,-1.00,-1.0
123,15656,-2668,-576,-1.00,-1.0
125,21624,-1480,9004,-1.00,-1.0
127,19708,-2468,1884,-1.00,-1.0
129,18124,-3428,2176,-1.00,-1.0
131,16080,3400,-7316,-1.00,-1.0
133,12928,5832,-3824,-1.00,-1.0
135,21100,7300,-324,-1.00,-1.0
137,19660,-6100,9144,-1.00,-1.0
139,19464,-5308,7960,-1.00,-1.0
141,12832,936,1884,-1.00,-1.0
142,11940,1148,-7188,-1.00,-1.0
144,22424,-4716,4692,-1.00,-1.0
149,12160,6308,-9716,-1.00,-1.0
151,13360,4656,716,-1.00,-1.0
152,22232,3112,2964,-1.00,-1.0
154,19748,-9220,8160,-1.00,-1.0
156,16808,-4620,2372,-1.00,-1.0
158,14008,4744,-1140,-1.00,-1.0
160,13348,-424,-8516,-1.00,-1.0
162,21900,-5228,7212,-1.00,-1.0
164,20316,528,960,-1.00,-1.0
166,6088,8820,-13676,-1.00,-1.0
168,22984,1180,13240,-1.00,-1.0
170,18360,-2080,-2312,-1.00,-1.0
172,17204,-2620,5316,-1.00,-1.0
174,19752,-3868,72,-1.00,-1.0
176,17420,-56,2296,-1.00,-1.0
178,19448,-2348,4396,-1.00,-1.0
182,13648,3768,-532,-1.00,-1.0
184,19176,5360,1904,-1.00,-1.0
186,14336,-788,-4480,-1.00,-1.0
188,25056,-4132,12772,-1.00,-1.0
190,14548,376,-500,-1.00,-1.0
192,14788,4812,-644,-1.00,-1.0
194,22408,-4244,3232,-1.00,-1.0
196,13088,-5024,-7808,-1.00,-1.0
198,17192,408,1732,-1.00,-1.0
200,16304,2836,-1360,-1.00,-1.0
201,7332,3680,-6568,-1.00,-1.0
203,28184,-2064,21564,-1.00,-1.0
205,16068,-1132,-8116,-1.00,-1.0
207,14016,948,-92,-1.00,-1.0
209,19472,-5912,2392,-1.00,-1.0
211,18968,880,7348,-1.00,-1.0
213,16292,-360,-9144,-1.00,-1.0
217,18652,928,5284,-1.00,-1.0
219,17052,5244,-260,-1.00,-1.0
221,21232,4800,-2536,-1.00,-1.0
223,20144,-9724,8668,-1.00,-1.0
225,12268,132,-1040,-1.00,-1.0
227,20352,2788,10672,-1.00,-1.0
229,10324,-4904,-13524,-1.00,-1.0
231,18064,1384,6624,-1.00,-1.0
233,16452,2504,-3108,-1.00,-1.0
235,20344,5836,264,-1.00,-1.0
237,13904,876,-7024,-1.00,-1.0
239,17600,-664,600,-1.00,-1.0
241,19096,-3948,4792,-1.00,-1.0
243,15552,-7000,-2444,-1.00,-1.0
245,19080,-2204,7864,-1.00,-1.0
246,18524,792,-3292,-1.00,-1.0
251,18500,3764,6128,-1.00,-1.0
253,14288,5644,-8824,-1.00,-1.0
255,23836,5716,2208,-1.00,-1.0
256,19120,-7124,2840,-1.00,-1.0
259,12516,-492,1740,-1.00,-1.0
261,18872,4136,8504,-1.00,-1.0
262,11896,-1688,-9780,-1.00,-1.0
264,16112,-2136,-3308,-1.00,-1.0
266,22656,-256,8080,-1.00,-1.0
268,9012,6040,-14444,-1.00,-1.0
270,19396,8744,5468,-1.00,-1.0
