timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,16880,92,424,-1.00,-1.0
4,16812,236,680,-1.00,-1.0
6,16952,156,760,-1.00,-1.0
12,16916,88,840,-1.00,-1.0
14,16952,84,892,-1.00,-1.0
16,17032,144,796,-1.00,-1.0
17,16984,312,568,-1.00,-1.0
19,17040,208,540,-1.00,-1.0
21,17008,236,780,-1.00,-1.0
23,16952,156,716,-1.00,-1.0
25,16876,192,608,-1.00,-1.0
27,16896,180,564,-1.00,-1.0
29,16980,160,484,-1.00,-1.0
31,17068,216,800,-1.00,-1.0
33,16940,268,916,-1.00,-1.0
35,16820,208,872,-1.00,-1.0
37,16960,88,776,-1.00,-1.0
39,16976,-64,960,-1.00,-1.0
41,17128,-20,896,-1.00,-1.0
43,16908,-56,680,-1.00,-1.0
45,16908,-48,664,-1.00,-1.0
47,16920,28,628,-1.00,-1.0
51,16956,-4,408,-1.00,-1.0
53,16956,-96,584,-1.00,-1.0
55,16880,-160,516,-1.00,-1.0
56,17000,-252,376,-1.00,-1.0
59,17004,-136,692,-1.00,-1.0
61,16916,-208,648,-1.00,-1.0
62,17100,-224,528,-1.00,-1.0
64,16940,-424,488,-1.00,-1.0
66,16988,-252,516,-1.00,-1.0
68,16976,-224,388,-1.00,-1.0
70,17012,-308,652,-1.00,-1.0
72,17004,-304,572,-1.00,-1.0
74,16972,-188,424,-1.00,-1.0
76,17036,-268,372,-1.00,-1.0
78,17132,-396,668,-1.00,-1.0
80,17060,-404,452,-1.00,-1.0
82,17036,-280,408,-1.00,-1.0
84,17012,-276,520,-1.00,-1.0
88,16964,-248,744,-1.00,-1.0
90,17104,-232,636,-1.00,-1.0
92,17020,-112,304,-1.00,-1.0
94,17108,-164,888,-1.00,-1.0
96,16972,-140,700,-1.00,-1.0
98,16964,-52,680,-1.00,-1.0
99,16976,-12,624,-1.00,-1.0
101,17088,-20,612,-1.00,-1.0
103,17020,32,620,-1.00,-1.0
105,17076,4,928,-1.00,-1.0
107,16972,184,744,-1.00,-1.0
109,17160,48,924,-1.00,-1.0
111,17000,92,688,-1.00,-1.0
113,17076,168,844,-1.00,-1.0
115,17092,96,832,-1.00,-1.0
117,17036,288,732,-1.00,-1.0
119,17064,184,1180,-1.00,-1.0
121,16948,288,600,-1.00,-1.0
125,17000,116,956,-1.00,-1.0
127,16992,36,948,-1.00,-1.0
129,16888,308,432,-1.00,-1.0
131,16892,72,356,-1.00,-1.0
133,17064,96,452,-1.00,-1.0
135,17008,48,820,-1.00,-1.0
137,16904,208,344,-1.00,-1.0
139,16884,148,500,-1.00,-1.0
141,16924,120,552,-1.00,-1.0
143,17020,156,728,-1.00,-1.0
144,16988,104,556,-1.00,-1.0
146,16940,160,408,-1.00,-1.0
148,16940,88,732,-1.00,-1.0
150,16948,48,516,-1.00,-1.0
152,17016,28,444,-1.00,-1.0
154,17072,56,320,-1.00,-1.0
156,17028,-176,736,-1.00,-1.0
160,16844,100,132,-1.00,-1.0
162,16944,-100,632,-1.00,-1.0
164,17148,-340,772,-1.00,-1.0
166,17012,72,620,-1.00,-1.0
168,17076,-116,988,-1.00,-1.0
170,17064,-268,652,-1.00,-1.0
172,16796,-56,380,-1.00,-1.0
174,16984,-120,128,-1.00,-1.0
176,17324,-564,1248,-1.00,-1.0
178,17156,-432,808,-1.00,-1.0
180,16740,-464,-20,-1.00,-1.0
182,16920,-336,508,-1.00,-1.0
183,17260,-184,284,-1.00,-1.0
186,17472,-872,2396,-1.00,-1.0
188,16936,212,-444,-1.00,-1.0
189,17164,-528,1328,-1.00,-1.0
191,17552,-1404,980,-1.00,-1.0
196,16740,-956,-296,-1.00,-1.0
198,17344,-1360,96,-1.00,-1.0
199,17104,-572,-108,-1.00,-1.0
201,16680,-672,-648,-1.00,-1.0
203,17160,-348,408,-1.00,-1.0
205,17220,-380,748,-1.00,-1.0
207,16928,-188,496,-1.00,-1.0
209,16764,-44,-164,-1.00,-1.0
211,16876,-56,376,-1.00,-1.0
213,16884,108,212,-1.00,-1.0
215,16808,488,196,-1.00,-1.0
217,16864,496,80,-1.00,-1.0
219,16736,640,512,-1.00,-1.0
221,16840,1084,660,-1.00,-1.0
223,16972,1144,1192,-1.00,-1.0
225,16848,1112,1064,-1.00,-1.0
227,16860,956,1300,-1.00,-1.0
228,16884,1016,1112,-1.00,-1.0
233,16740,768,868,-1.00,-1.0
235,16888,756,1044,-1.00,-1.0
237,17004,784,1016,-1.00,-1.0
238,16904,740,980,-1.00,-1.0
240,16920,652,1104,-1.00,-1.0
242,16820,452,968,-1.00,-1.0
244,16956,392,1168,-1.00,-1.0
246,17028,200,712,-1.00,-1.0
248,16972,-32,884,-1.00,-1.0
250,16936,-172,644,-1.00,-1.0
252,17028,-204,468,-1.00,-1.0
254,17004,-328,624,-1.00,-1.0
256,16948,-200,684,-1.00,-1.0
258,17124,-368,528,-1.00,-1.0
260,17132,-340,684,-1.00,-1.0
262,17060,-468,644,-1.00,-1.0
264,17152,-540,668,-1.00,-1.0
268,17064,-528,588,-1.00,-1.0
270,17004,-500,468,-1.00,-1.0
272,17152,-604,528,-1.00,-1.0
274,17112,-424,420,-1.00,-1.0
276,17088,-364,720,-1.00,-1.0
278,17072,-280,572,-1.00,-1.0
280,17132,-280,824,-1.00,-1.0
281,17068,-180,812,-1.00,-1.0
284,17080,-56,792,-1.00,-1.0
285,17064,-116,828,-1.00,-1.0
287,17056,-40,752,-1.00,-1.0
289,16960,124,812,-1.00,-1.0
291,16928,48,764,-1.00,-1.0
293,17072,184,736,-1.00,-1.0
295,16904,136,696,-1.00,-1.0
297,16988,120,804,-1.00,-1.0
299,17044,208,948,-1.00,-1.0
303,16908,96,664,-1.00,-1.0
305,16912,84,656,-1.00,-1.0
307,16984,140,492,-1.00,-1.0
309,16920,132,588,-1.00,-1.0
311,16900,92,552,-1.00,-1.0
313,17008,156,464,-1.00,-1.0
315,16896,48,500,-1.00,-1.0
317,16948,-12,456,-1.00,-1.0
318,16948,-40,552,-1.00,-1.0
320,16940,-8,536,-1.00,-1.0
322,16880,-124,420,-1.00,-1.0
324,16892,-140,336,-1.00,-1.0
326,16912,-164,504,-1.00,-1.0
328,16876,-180,344,-1.00,-1.0
330,16892,-96,268,-1.00,-1.0
332,16868,-240,424,-1.00,-1.0
334,17000,-196,504,-1.00,-1.0
336,17004,-236,484,-1.00,-1.0
340,16912,-100,548,-1.00,-1.0
342,17032,-136,668,-1.00,-1.0
344,16924,-44,568,-1.00,-1.0
346,16904,-48,640,-1.00,-1.0
348,16916,-4,604,-1.00,-1.0
350,16984,-76,524,-1.00,-1.0
352,17012,-16,648,-1.00,-1.0
354,16996,44,664,-1.00,-1.0
355,17104,12,688,-1.00,-1.0
358,16988,8,816,-1.00,-1.0
359,17036,8,884,-1.00,-1.0
361,17080,-8,844,-1.00,-1.0
363,16972,60,1020,-1.00,-1.0
365,17000,-12,928,-1.00,-1.0
367,16988,40,796,-1.00,-1.0
369,16968,4,760,-1.00,-1.0
371,17024,28,876,-1.00,-1.0
373,16984,-72,680,-1.00,-1.0
377,16952,-56,716,-1.00,-1.0
379,17012,-108,644,-1.00,-1.0
381,17008,-84,672,-1.00,-1.0
383,16988,-112,492,-1.00,-1.0
385,17048,-168,624,-1.00,-1.0
387,17040,-40,656,-1.00,-1.0
389,16948,-48,476,-1.00,-1.0
391,16988,4,416,-1.00,-1.0
393,16992,-176,468,-1.00,-1.0
395,16992,-132,408,-1.00,-1.0
397,17096,-124,388,-1.00,-1.0
399,17008,-196,608,-1.00,-1.0
400,16908,-124,452,-1.00,-1.0
402,16924,-100,444,-1.00,-1.0
404,16976,-140,516,-1.00,-1.0
406,16892,-56,572,-1.00,-1.0
408,17056,-28,592,-1.00,-1.0
412,17040,-60,600,-1.00,-1.0
414,17044,84,692,-1.00,-1.0
416,17052,36,832,-1.00,-1.0
418,17004,24,704,-1.00,-1.0
420,17000,80,684,-1.00,-1.0
422,17036,64,768,-1.00,-1.0
424,16920,144,864,-1.00,-1.0
426,16964,144,616,-1.00,-1.0
428,17052,136,840,-1.00,-1.0
430,17036,216,608,-1.00,-1.0
432,17096,160,624,-1.00,-1.0
434,16972,160,572,-1.00,-1.0
436,16948,144,608,-1.00,-1.0
438,16916,288,716,-1.00,-1.0
440,16968,120,616,-1.00,-1.0
442,16972,216,676,-1.00,-1.0
443,16832,152,624,-1.00,-1.0
445,16904,120,584,-1.00,-1.0
450,16956,68,432,-1.00,-1.0
452,16976,20,688,-1.00,-1.0
453,16924,124,552,-1.00,-1.0
455,16912,-48,672,-1.00,-1.0
457,16940,12,492,-1.00,-1.0
459,16996,-72,560,-1.00,-1.0
461,17052,-24,532,-1.00,-1.0
463,17048,-164,860,-1.00,-1.0
465,17076,-216,800,-1.00,-1.0
467,17056,-96,792,-1.00,-1.0
469,16984,-188,740,-1.00,-1.0
471,17108,-248,776,-1.00,-1.0
473,17100,-296,776,-1.00,-1.0
475,17116,-392,748,-1.00,-1.0
477,17068,-356,760,-1.00,-1.0
479,17100,-356,800,-1.00,-1.0
481,17124,-324,768,-1.00,-1.0
485,17104,-244,576,-1.00,-1.0
487,16960,-280,640,-1.00,-1.0
489,16996,-116,536,-1.00,-1.0
491,17064,-112,520,-1.00,-1.0
492,17012,-272,452,-1.00,-1.0
495,16904,-112,268,-1.00,-1.0
497,17016,-48,288,-1.00,-1.0
498,16944,-32,324,-1.00,-1.0
500,16940,-16,388,-1.00,-1.0
502,16932,8,500,-1.00,-1.0
504,16980,164,404,-1.00,-1.0
506,16904,176,484,-1.00,-1.0
508,17008,172,616,-1.00,-1.0
510,16956,28,536,-1.00,-1.0
512,16912,288,712,-1.00,-1.0
514,17040,192,600,-1.00,-1.0
516,16908,252,588,-1.00,-1.0
518,16860,164,524,-1.00,-1.0
522,16968,232,788,-1.00,-1.0
524,16948,216,604,-1.00,-1.0
526,17008,236,704,-1.00,-1.0
528,17048,268,784,-1.00,-1.0
530,16992,104,596,-1.00,-1.0
532,17072,32,844,-1.00,-1.0
534,17088,76,860,-1.00,-1.0
536,17068,-20,856,-1.00,-1.0
537,17004,44,764,-1.00,-1.0
540,16992,-32,768,-1.00,-1.0
542,17020,-92,676,-1.00,-1.0
543,17016,-108,792,-1.00,-1.0
545,17004,-124,860,-1.00,-1.0
547,17088,-96,824,-1.00,-1.0
549,17036,-116,768,-1.00,-1.0
551,17000,-180,792,-1.00,-1.0
553,17052,-188,748,-1.00,-1.0
555,16976,-212,608,-1.00,-1.0
559,16980,-120,644,-1.00,-1.0
561,17052,-188,556,-1.00,-1.0
563,17020,-172,572,-1.00,-1.0
565,16912,-144,620,-1.00,-1.0
567,16912,-116,668,-1.00,-1.0
569,16988,-56,536,-1.00,-1.0
571,17000,-172,492,-1.00,-1.0
573,16988,-120,536,-1.00,-1.0
575,17004,-136,512,-1.00,-1.0
577,16976,-72,480,-1.00,-1.0
579,16892,108,460,-1.00,-1.0
581,16984,-144,556,-1.00,-1.0
583,16956,-124,712,-1.00,-1.0
585,16996,-128,572,-1.00,-1.0
587,16956,-92,480,-1.00,-1.0
589,16980,-24,408,-1.00,-1.0
590,16980,-44,536,-1.00,-1.0
594,16920,40,500,-1.00,-1.0
596,16904,-48,380,-1.00,-1.0
598,16956,60,580,-1.00,-1.0
600,16992,-60,528,-1.00,-1.0
602,17004,-52,620,-1.00,-1.0
604,16948,-60,672,-1.00,-1.0
606,16928,4,580,-1.00,-1.0
608,16976,-40,712,-1.00,-1.0
610,16916,-48,692,-1.00,-1.0
612,16964,-60,624,-1.00,-1.0
614,17068,-52,496,-1.00,-1.0
616,16976,56,600,-1.00,-1.0
618,16992,4,636,-1.00,-1.0
620,16948,-76,640,-1.00,-1.0
622,16936,40,684,-1.00,-1.0
624,17024,-76,780,-1.00,-1.0
626,16996,-36,564,-1.00,-1.0
627,16864,-28,668,-1.00,-1.0
631,16880,48,676,-1.00,-1.0
633,17024,12,716,-1.00,-1.0
635,16928,24,684,-1.00,-1.0
637,16912,148,572,-1.00,-1.0
639,16964,52,684,-1.00,-1.0
641,16928,96,476,-1.00,-1.0
643,16924,120,636,-1.00,-1.0
645,16908,68,720,-1.00,-1.0
647,16924,68,684,-1.00,-1.0
649,16932,-8,688,-1.00,-1.0
651,16916,56,884,-1.00,-1.0
653,16996,244,728,-1.00,-1.0
655,17048,80,768,-1.00,-1.0
657,16984,104,740,-1.00,-1.0
659,17044,120,888,-1.00,-1.0
661,17104,28,972,-1.00,-1.0
663,17044,84,904,-1.00,-1.0
664,16992,12,884,-1.00,-1.0
669,17016,-40,696,-1.00,-1.0
671,17100,-124,660,-1.00,-1.0
673,16972,20,740,-1.00,-1.0
674,17112,-52,760,-1.00,-1.0
676,16980,-176,576,-1.00,-1.0
678,17088,-88,596,-1.00,-1.0
680,17020,-128,784,-1.00,-1.0
682,17096,-144,752,-1.00,-1.0
684,17032,-96,516,-1.00,-1.0
686,17044,-144,564,-1.00,-1.0
688,17076,-136,596,-1.00,-1.0
690,17024,-164,560,-1.00,-1.0
692,17088,-164,392,-1.00,-1.0
694,16980,-80,536,-1.00,-1.0
696,16912,-60,468,-1.00,-1.0
698,16872,-120,540,-1.00,-1.0
700,16932,68,588,-1.00,-1.0
704,16980,-64,548,-1.00,-1.0
706,16980,44,540,-1.00,-1.0
708,16984,40,528,-1.00,-1.0
710,16960,60,420,-1.00,-1.0
712,16964,108,652,-1.00,-1.0
714,16980,52,536,-1.00,-1.0
716,16868,-4,512,-1.00,-1.0
717,16912,-100,376,-1.00,-1.0
719,17020,-60,704,-1.00,-1.0
721,16948,120,620,-1.00,-1.0
723,16936,12,504,-1.00,-1.0
725,16896,-12,476,-1.00,-1.0
727,16984,8,592,-1.00,-1.0
729,17084,4,652,-1.00,-1.0
731,17056,-48,644,-1.00,-1.0
733,17092,-12,588,-1.00,-1.0
735,17008,-8,596,-1.00,-1.0
737,17004,-20,728,-1.00,-1.0
741,16928,16,736,-1.00,-1.0
743,17008,-68,740,-1.00,-1.0
745,16992,64,764,-1.00,-1.0
747,17084,-56,668,-1.00,-1.0
749,17088,-112,740,-1.00,-1.0
751,16988,16,700,-1.00,-1.0
753,17000,-32,668,-1.00,-1.0
755,17080,-24,616,-1.00,-1.0
756,16996,-76,636,-1.00,-1.0
759,16956,-24,548,-1.00,-1.0
761,17016,-28,536,-1.00,-1.0
762,17000,-44,496,-1.00,-1.0
764,16964,0,564,-1.00,-1.0
766,17012,-28,676,-1.00,-1.0
768,16956,-116,576,-1.00,-1.0
770,16956,8,656,-1.00,-1.0
772,17024,-80,620,-1.00,-1.0
774,17020,-56,500,-1.00,-1.0
778,17072,52,616,-1.00,-1.0
780,17076,-28,548,-1.00,-1.0
782,16872,-64,444,-1.00,-1.0
784,16972,-92,508,-1.00,-1.0
786,17000,-124,604,-1.00,-1.0
788,17048,-208,664,-1.00,-1.0
790,16980,-112,572,-1.00,-1.0
792,17032,-164,680,-1.00,-1.0
794,16988,-100,432,-1.00,-1.0
796,17008,-156,808,-1.00,-1.0
798,17024,-88,684,-1.00,-1.0
800,17052,-16,732,-1.00,-1.0
801,16916,-68,660,-1.00,-1.0
804,17064,-172,784,-1.00,-1.0
805,17016,-64,696,-1.00,-1.0
807,17052,-96,564,-1.00,-1.0
809,17024,-28,612,-1.00,-1.0
813,17004,-96,560,-1.00,-1.0
815,16940,-28,508,-1.00,-1.0
817,17000,-80,520,-1.00,-1.0
819,17004,60,520,-1.00,-1.0
821,16940,-12,532,-1.00,-1.0
823,16984,-60,624,-1.00,-1.0
825,16992,-12,580,-1.00,-1.0
827,16976,-76,612,-1.00,-1.0
829,17052,68,676,-1.00,-1.0
831,17000,-36,504,-1.00,-1.0
833,17096,-68,748,-1.00,-1.0
835,16984,40,628,-1.00,-1.0
837,17044,136,640,-1.00,-1.0
839,17056,156,592,-1.00,-1.0
841,16988,-4,772,-1.00,-1.0
843,17012,-84,628,-1.00,-1.0
844,16960,76,684,-1.00,-1.0
