timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,16960,-152,468,-1.00,-1.0
4,17040,28,516,-1.00,-1.0
6,17156,-92,632,-1.00,-1.0
11,17028,-104,548,-1.00,-1.0
13,16892,-24,512,-1.00,-1.0
15,17052,-136,564,-1.00,-1.0
17,16996,-36,572,-1.00,-1.0
19,16948,-120,428,-1.00,-1.0
21,17020,-68,400,-1.00,-1.0
23,17000,28,388,-1.00,-1.0
25,17008,-44,424,-1.00,-1.0
27,16940,-92,412,-1.00,-1.0
29,17084,-164,728,-1.00,-1.0
31,16964,-76,524,-1.00,-1.0
33,17052,-28,540,-1.00,-1.0
35,17020,-160,596,-1.00,-1.0
36,17068,0,468,-1.00,-1.0
38,17036,0,524,-1.00,-1.0
40,17032,-24,568,-1.00,-1.0
42,16940,-76,508,-1.00,-1.0
44,17012,-32,420,-1.00,-1.0
46,16968,-24,616,-1.00,-1.0
50,17032,-12,480,-1.00,-1.0
52,17036,-12,580,-1.00,-1.0
54,17064,-136,660,-1.00,-1.0
56,16980,-100,572,-1.00,-1.0
58,17012,-92,604,-1.00,-1.0
60,17028,-72,580,-1.00,-1.0
62,17096,-68,540,-1.00,-1.0
64,17132,-88,484,-1.00,-1.0
66,16988,-124,564,-1.00,-1.0
68,17048,-92,528,-1.00,-1.0
70,16996,-56,620,-1.00,-1.0
72,16944,-96,660,-1.00,-1.0
73,16996,-88,512,-1.00,-1.0
75,16988,-32,668,-1.00,-1.0
77,17028,-36,616,-1.00,-1.0
79,16972,-76,516,-1.00,-1.0
81,16928,-88,696,-1.00,-1.0
83,17020,-116,564,-1.00,-1.0
87,17028,-20,584,-1.00,-1.0
89,17052,-40,400,-1.00,-1.0
91,17056,-108,592,-1.00,-1.0
93,17084,-100,548,-1.00,-1.0
95,17080,-76,444,-1.00,-1.0
97,17052,-36,512,-1.00,-1.0
99,17104,-28,504,-1.00,-1.0
101,17012,-44,512,-1.00,-1.0
103,17064,-120,528,-1.00,-1.0
105,17092,-112,468,-1.00,-1.0
107,16984,-52,432,-1.00,-1.0
109,17060,-80,468,-1.00,-1.0
111,17104,-112,584,-1.00,-1.0
113,17108,-164,656,-1.00,-1.0
115,17020,-68,532,-1.00,-1.0
117,16972,-108,568,-1.00,-1.0
118,16936,-64,424,-1.00,-1.0
123,17012,-84,468,-1.00,-1.0
125,17028,-68,600,-1.00,-1.0
127,16944,-120,496,-1.00,-1.0
128,17072,-28,548,-1.00,-1.0
130,17044,-184,580,-1.00,-1.0
132,17028,28,380,-1.00,-1.0
134,17108,-104,516,-1.00,-1.0
136,16952,48,492,-1.00,-1.0
138,17108,-40,428,-1.00,-1.0
140,16996,-56,452,-1.00,-1.0
142,17088,-108,488,-1.00,-1.0
144,17032,-48,500,-1.00,-1.0
146,16968,-112,512,-1.00,-1.0
148,17016,-116,552,-1.00,-1.0
150,17080,-76,680,-1.00,-1.0
152,16956,-60,488,-1.00,-1.0
154,17140,-4,536,-1.00,-1.0
156,16888,-44,512,-1.00,-1.0
160,16972,-12,628,-1.00,-1.0
162,17036,-120,528,-1.00,-1.0
164,17028,-160,452,-1.00,-1.0
166,17056,-12,456,-1.00,-1.0
168,16900,-92,452,-1.00,-1.0
170,17024,-64,500,-1.00,-1.0
172,17020,-60,400,-1.00,-1.0
173,17116,-152,428,-1.00,-1.0
175,17080,-84,548,-1.00,-1.0
177,16972,-4,628,-1.00,-1.0
179,16864,-88,528,-1.00,-1.0
181,17008,-64,676,-1.00,-1.0
183,17032,-28,368,-1.00,-1.0
185,16980,-116,492,-1.00,-1.0
187,16996,-64,508,-1.00,-1.0
189,17088,-56,624,-1.00,-1.0
191,16952,-84,504,-1.00,-1.0
193,17024,24,484,-1.00,-1.0
197,17016,-44,424,-1.00,-1.0
199,16984,-36,496,-1.00,-1.0
201,17044,-120,404,-1.00,-1.0
203,16948,-44,424,-1.00,-1.0
205,17024,-148,572,-1.00,-1.0
207,17052,-8,488,-1.00,-1.0
209,17092,-116,400,-1.00,-1.0
211,16908,-136,316,-1.00,-1.0
213,17044,16,472,-1.00,-1.0
215,17068,-24,356,-1.00,-1.0
216,17084,-92,388,-1.00,-1.0
218,17040,12,532,-1.00,-1.0
220,16980,-36,592,-1.00,-1.0
222,16932,-68,556,-1.00,-1.0
224,17052,-64,452,-1.00,-1.0
226,17012,-116,588,-1.00,-1.0
228,16952,-24,524,-1.00,-1.0
232,16924,20,568,-1.00,-1.0
234,16976,-72,460,-1.00,-1.0
236,17024,-16,544,-1.00,-1.0
238,17132,-84,536,-1.00,-1.0
240,16960,-100,512,-1.00,-1.0
242,16976,0,400,-1.00,-1.0
244,17020,-140,548,-1.00,-1.0
246,17080,-36,324,-1.00,-1.0
248,16984,-124,492,-1.00,-1.0
250,17172,-116,432,-1.00,-1.0
252,16984,-48,464,-1.00,-1.0
254,16960,-16,596,-1.00,-1.0
256,17072,-112,452,-1.00,-1.0
258,16968,-32,628,-1.00,-1.0
260,17060,-52,576,-1.00,-1.0
261,16996,-116,476,-1.00,-1.0
263,17044,-60,608,-1.00,-1.0
265,17096,-116,564,-1.00,-1.0
269,17028,-40,356,-1.00,-1.0
271,17016,-92,604,-1.00,-1.0
273,17028,-12,404,-1.00,-1.0
275,17004,-64,560,-1.00,-1.0
277,17092,-124,468,-1.00,-1.0
279,17060,12,600,-1.00,-1.0
281,17020,-56,396,-1.00,-1.0
283,17068,-4,552,-1.00,-1.0
285,16984,-52,588,-1.00,-1.0
287,16900,28,516,-1.00,-1.0
289,16956,-112,424,-1.00,-1.0
291,17008,-64,400,-1.00,-1.0
293,17112,-24,616,-1.00,-1.0
295,16964,-100,480,-1.00,-1.0
297,16964,-20,468,-1.00,-1.0
299,17008,-4,504,-1.00,-1.0
301,17076,-84,436,-1.00,-1.0
305,17020,-8,388,-1.00,-1.0
307,17116,-16,596,-1.00,-1.0
308,17048,-60,524,-1.00,-1.0
310,16988,-68,500,-1.00,-1.0
312,16980,-100,396,-1.00,-1.0
314,17104,-28,520,-1.00,-1.0
316,17040,-72,496,-1.00,-1.0
318,17136,-132,580,-1.00,-1.0
320,17076,-56,476,-1.00,-1.0
322,17012,-52,556,-1.00,-1.0
324,16976,-24,588,-1.00,-1.0
326,16968,-172,536,-1.00,-1.0
328,17028,-100,536,-1.00,-1.0
330,17068,-48,428,-1.00,-1.0
332,17024,-8,424,-1.00,-1.0
334,17036,20,612,-1.00,-1.0
336,17044,-96,528,-1.00,-1.0
338,16976,-64,484,-1.00,-1.0
342,17104,-88,492,-1.00,-1.0
344,17124,-80,548,-1.00,-1.0
345,16952,-60,612,-1.00,-1.0
347,16972,-84,512,-1.00,-1.0
349,17020,-144,388,-1.00,-1.0
351,16976,-116,444,-1.00,-1.0
353,17128,-12,380,-1.00,-1.0
355,16976,-168,588,-1.00,-1.0
357,17000,-8,440,-1.00,-1.0
359,17096,-44,564,-1.00,-1.0
361,17024,-28,548,-1.00,-1.0
363,16924,-16,468,-1.00,-1.0
365,17028,-80,464,-1.00,-1.0
367,17064,-88,480,-1.00,-1.0
369,17120,24,568,-1.00,-1.0
371,16996,-140,580,-1.00,-1.0
373,16968,-148,588,-1.00,-1.0
375,16932,-112,548,-1.00,-1.0
379,17056,-120,500,-1.00,-1.0
381,17036,-64,452,-1.00,-1.0
383,17112,-52,472,-1.00,-1.0
384,17028,12,548,-1.00,-1.0
387,17108,-48,428,-1.00,-1.0
389,16884,-40,648,-1.00,-1.0
390,17120,-12,700,-1.00,-1.0
392,17080,-64,576,-1.00,-1.0
394,16956,-32,384,-1.00,-1.0
396,16996,-36,644,-1.00,-1.0
398,17048,-116,464,-1.00,-1.0
400,16996,-104,608,-1.00,-1.0
402,17012,-28,444,-1.00,-1.0
404,16972,-56,464,-1.00,-1.0
406,17000,-16,540,-1.00,-1.0
408,17036,-44,556,-1.00,-1.0
410,16928,-88,544,-1.00,-1.0
414,17012,-92,404,-1.00,-1.0
416,17028,-148,484,-1.00,-1.0
418,17128,-108,516,-1.00,-1.0
420,17032,-68,588,-1.00,-1.0
422,17100,-88,576,-1.00,-1.0
424,16900,-68,492,-1.00,-1.0
426,16984,4,508,-1.00,-1.0
428,17032,-32,392,-1.00,-1.0
429,17128,-124,432,-1.00,-1.0
431,17028,-76,552,-1.00,-1.0
433,17024,-120,508,-1.00,-1.0
435,17048,-44,372,-1.00,-1.0
