timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,18416,216,1652,18491.21,24.67,-1.00,-1.0,2487
9,2135009,20280,-1596,-296,20344.86,24.67,-1.00,-1.0,2457
12,2135012,15828,996,-2092,15996.69,24.67,-1.00,-1.0,2369
15,2135015,18504,1480,-668,18575.11,24.58,-1.00,-1.0,2447
17,2135017,21616,336,3176,21850.66,24.67,-1.00,-1.0,2360
20,2135020,12732,-2140,3220,13306.08,24.72,-1.00,-1.0,2360
23,2135023,21604,-2076,1876,21784.44,24.53,-1.00,-1.0,2447
25,2135025,11288,1448,-744,11404.79,24.72,-1.00,-1.0,2362
28,2135028,21756,2752,-124,21929.71,24.62,-1.00,-1.0,2443
31,2135031,12432,-864,936,12497.09,24.58,-1.00,-1.0,2360
36,2135036,19600,-2364,2408,19888.36,24.62,-1.00,-1.0,2452
39,2135039,13656,844,-1868,13808.99,24.53,-1.00,-1.0,2374
41,2135041,22208,3632,612,22511.36,24.58,-1.00,-1.0,2446
44,2135044,12036,292,2352,12267.13,24.62,-1.00,-1.0,2369
47,2135047,21192,-3308,3284,21698.58,24.67,-1.00,-1.0,2361
49,2135049,16700,-3100,1264,17032.25,24.67,-1.00,-1.0,2432
52,2135052,18652,440,-2108,18775.90,24.48,-1.00,-1.0,2369
55,2135055,15992,2172,-1348,16195.02,24.67,-1.00,-1.0,2439
58,2135058,17760,-588,-92,17769.97,24.53,-1.00,-1.0,2363
63,2135063,12944,-3232,396,13347.28,24.67,-1.00,-1.0,2446
65,2135065,20984,1308,696,21036.24,24.58,-1.00,-1.0,2365
68,2135068,12912,2584,800,13192.30,24.62,-1.00,-1.0,2441
71,2135071,20264,-48,312,20266.46,24.58,-1.00,-1.0,2361
74,2135074,12628,-2448,1344,12933.11,24.58,-1.00,-1.0,2445
76,2135076,17412,-2056,264,17534.95,24.58,-1.00,-1.0,2363
79,2135079,17680,572,1088,17722.68,24.62,-1.00,-1.0,2362
82,2135082,15792,908,-968,15847.67,24.62,-1.00,-1.0,2445
84,2135084,19716,-628,1036,19753.19,24.72,-1.00,-1.0,2348
89,2135089,21756,-2232,-1804,21944.47,24.58,-1.00,-1.0,2443
92,2135092,14484,-408,740,14508.63,24.67,-1.00,-1.0,2364
95,2135095,18212,1284,-268,18259.17,24.67,-1.00,-1.0,2437
98,2135098,17024,-916,-232,17050.20,24.67,-1.00,-1.0,2366
100,2135100,11436,-992,1136,11535.02,24.77,-1.00,-1.0,2432
103,2135103,22488,-116,3568,22769.59,24.58,-1.00,-1.0,2370
106,2135106,11244,-816,1124,11329.46,24.58,-1.00,-1.0,2439
109,2135109,22088,200,1584,22145.63,24.67,-1.00,-1.0,2367
111,2135111,12832,300,452,12843.46,24.58,-1.00,-1.0,2361
116,2135116,19448,-624,1324,19503.00,24.58,-1.00,-1.0,2454
119,2135119,14956,-2460,820,15179.13,24.67,-1.00,-1.0,2366
122,2135122,18848,-200,1496,18908.33,24.67,-1.00,-1.0,2448
124,2135124,13360,564,-1336,13438.47,24.67,-1.00,-1.0,2368
127,2135127,21140,784,728,21167.05,24.58,-1.00,-1.0,2447
130,2135130,12752,-1512,2336,13052.07,24.67,-1.00,-1.0,2363
133,2135133,20288,-2028,2296,20517.98,24.67,-1.00,-1.0,2451
135,2135135,16708,-148,1216,16752.85,24.67,-1.00,-1.0,2364
140,2135140,20700,892,-612,20728.25,24.62,-1.00,-1.0,2444
143,2135143,15660,-1960,348,15786.02,24.72,-1.00,-1.0,2364
146,2135146,19208,-1692,2996,19513.74,24.67,-1.00,-1.0,2449
148,2135148,13952,60,-1164,14000.60,24.62,-1.00,-1.0,2360
151,2135151,20848,1852,460,20935.15,24.58,-1.00,-1.0,2361
