timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,16216,1832,3236,16636.90,24.72,-1.00,-1.0,2492
9,2135009,17560,1972,-5660,18554.73,24.62,-1.00,-1.0,2467
11,2135011,27920,-7752,6700,29740.71,24.67,-1.00,-1.0,2364
14,2135014,1004,6528,280,6610.69,24.77,-1.00,-1.0,2442
17,2135017,23880,3020,-4632,24511.84,24.67,-1.00,-1.0,2360
20,2135020,20608,-10472,8300,24560.99,24.67,-1.00,-1.0,2363
22,2135022,11180,9456,-3556,15068.29,24.72,-1.00,-1.0,2444
25,2135025,18120,-752,-824,18154.31,24.67,-1.00,-1.0,2366
28,2135028,20232,-7332,3952,21879.45,24.53,-1.00,-1.0,2448
30,2135030,15088,10960,-4404,19161.54,24.67,-1.00,-1.0,2361
35,2135035,23540,-8208,4324,25302.17,24.72,-1.00,-1.0,2457
38,2135038,9884,7484,-3232,12812.09,24.67,-1.00,-1.0,2369
41,2135041,17728,-2044,600,17855.53,24.62,-1.00,-1.0,2440
43,2135043,17620,-4596,5680,19074.85,24.67,-1.00,-1.0,2360
46,2135046,7048,11984,-10236,17264.60,24.62,-1.00,-1.0,2450
49,2135049,20044,-7396,5576,22080.64,24.67,-1.00,-1.0,2361
52,2135052,18752,-4940,2120,19507.32,24.72,-1.00,-1.0,2366
54,2135054,6560,15956,-12512,21311.45,24.53,-1.00,-1.0,2435
57,2135057,20108,-8688,7008,22998.37,24.72,-1.00,-1.0,2376
62,2135062,6512,13696,-6472,16488.58,24.72,-1.00,-1.0,2460
65,2135065,22424,-2768,1328,22633.19,24.62,-1.00,-1.0,2369
68,2135068,26180,-2920,4812,26778.24,24.62,-1.00,-1.0,2449
70,2135070,9492,4832,-1048,10702.55,24.62,-1.00,-1.0,2367
73,2135073,25796,3500,-4892,26488.02,24.72,-1.00,-1.0,2448
76,2135076,17388,-4416,10788,20933.81,24.62,-1.00,-1.0,2368
79,2135079,8392,9816,-1896,13052.75,24.62,-1.00,-1.0,2447
81,2135081,22280,884,-2484,22435.46,24.72,-1.00,-1.0,2380
86,2135086,21916,3960,-7024,23352.29,24.62,-1.00,-1.0,2438
89,2135089,20608,-540,5340,21295.46,24.67,-1.00,-1.0,2368
92,2135092,16260,2260,-2596,16620.30,24.62,-1.00,-1.0,2368
94,2135094,20884,-536,-3536,21188.02,24.62,-1.00,-1.0,2434
97,2135097,25012,1216,200,25042.34,24.72,-1.00,-1.0,2382
100,2135100,9976,644,4224,10852.53,24.62,-1.00,-1.0,2418
102,2135102,7400,3200,1176,8147.57,24.53,-1.00,-1.0,2367
105,2135105,20872,2788,-6656,22084.29,24.72,-1.00,-1.0,2445
108,2135108,8660,-5656,8056,13110.50,24.62,-1.00,-1.0,2369
113,2135113,15276,6148,-6120,17567.26,24.72,-1.00,-1.0,2438
116,2135116,16304,-7236,8360,19699.48,24.58,-1.00,-1.0,2373
118,2135118,14408,7072,-3464,16419.59,24.62,-1.00,-1.0,2425
121,2135121,17724,5512,-4256,19043.00,24.58,-1.00,-1.0,2374
124,2135124,19392,-2292,6676,20636.66,24.62,-1.00,-1.0,2424
127,2135127,6148,3880,780,7311.68,24.67,-1.00,-1.0,2374
129,2135129,19752,5184,-5356,21111.66,24.62,-1.00,-1.0,2355
132,2135132,11644,-6604,5724,14558.84,24.62,-1.00,-1.0,2430
135,2135135,13680,4892,-1672,14624.28,24.67,-1.00,-1.0,2365
140,2135140,12896,-8696,9892,18433.09,24.58,-1.00,-1.0,2460
142,2135142,17932,6276,-7352,20371.47,24.67,-1.00,-1.0,2361
145,2135145,11624,5820,-5016,13933.77,24.72,-1.00,-1.0,2439
148,2135148,13800,-5088,8500,16987.58,24.67,-1.00,-1.0,2348
151,2135151,16564,5196,-5072,18085.62,24.58,-1.00,-1.0,2434
153,2135153,23480,-1444,2068,23615.08,24.77,-1.00,-1.0,2363
156,2135156,12736,-1624,4504,13606.21,24.67,-1.00,-1.0,2438
159,2135159,17072,3900,-872,17533.50,24.67,-1.00,-1.0,2349
164,2135164,13928,-1292,2852,14275.59,24.62,-1.00,-1.0,2449
167,2135167,15916,4540,-1984,16669.34,24.72,-1.00,-1.0,2375
170,2135170,23508,-416,280,23513.35,24.72,-1.00,-1.0,2432
172,2135172,15796,-2816,7912,17889.75,24.62,-1.00,-1.0,2367
175,2135175,15340,5448,-2596,16484.40,24.67,-1.00,-1.0,2378
178,2135178,21468,-724,-1116,21509.18,24.67,-1.00,-1.0,2458
180,2135180,20876,-3116,2860,21300.15,24.67,-1.00,-1.0,2370
183,2135183,12896,4508,-384,13666.61,24.67,-1.00,-1.0,2446
186,2135186,22488,1128,-2176,22621.17,24.67,-1.00,-1.0,2356
191,2135191,11960,2708,2536,12522.23,24.72,-1.00,-1.0,2460
193,2135193,24536,3508,-3460,25025.85,24.62,-1.00,-1.0,2364
196,2135196,18664,-6948,3544,20228.19,24.58,-1.00,-1.0,2445
199,2135199,13480,5764,184,14661.79,24.62,-1.00,-1.0,2361
202,2135202,21108,3804,-1020,21472.27,24.67,-1.00,-1.0,2443
204,2135204,18976,-9324,4864,21695.25,24.62,-1.00,-1.0,2363
207,2135207,12240,5760,-2160,13698.93,24.62,-1.00,-1.0,2438
210,2135210,19656,816,-2872,19881.46,24.62,-1.00,-1.0,2377
213,2135213,25120,-5772,4100,26098.67,24.67,-1.00,-1.0,2370
217,2135217,23228,3092,-4560,23872.45,24.67,-1.00,-1.0,2449
220,2135220,15340,-6728,2432,16926.20,24.67,-1.00,-1.0,2369
223,2135223,13740,3032,2532,14296.56,24.72,-1.00,-1.0,2438
226,2135226,23524,5872,-8332,25637.50,24.58,-1.00,-1.0,2368
228,2135228,19124,-8536,13960,25168.88,24.72,-1.00,-1.0,2428
