timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,17200,2288,7988,-1.00,-1.0
4,17988,-3140,-3732,-1.00,-1.0
6,16296,872,620,-1.00,-1.0
12,17016,72,5200,-1.00,-1.0
14,15136,344,1960,-1.00,-1.0
16,18000,-1412,-3068,-1.00,-1.0
17,15912,776,-3256,-1.00,-1.0
20,15000,-2268,164,-1.00,-1.0
21,16404,-4464,-4276,-1.00,-1.0
23,18044,2024,2752,-1.00,-1.0
25,16128,2924,1512,-1.00,-1.0
27,16256,-3872,-5776,-1.00,-1.0
29,16884,340,8156,-1.00,-1.0
31,14156,-4232,-3460,-1.00,-1.0
33,14652,-5220,-2044,-1.00,-1.0
35,15068,-912,3396,-1.00,-1.0
37,17812,-1168,4256,-1.00,-1.0
39,18272,1384,-6248,-1.00,-1.0
41,17024,5324,3584,-1.00,-1.0
43,20196,1316,-3492,-1.00,-1.0
47,17000,1892,2928,-1.00,-1.0
49,15728,-2980,-3528,-1.00,-1.0
51,16388,-1480,6344,-1.00,-1.0
53,15356,-4564,-916,-1.00,-1.0
55,15956,-5448,-3988,-1.00,-1.0
57,15180,-1732,2464,-1.00,-1.0
58,16616,-2184,2388,-1.00,-1.0
60,18156,-3300,-4836,-1.00,-1.0
62,16136,-728,4076,-1.00,-1.0
64,15340,-4084,2384,-1.00,-1.0
66,13152,-4512,-4880,-1.00,-1.0
68,14880,-312,2844,-1.00,-1.0
70,17440,-2232,-1880,-1.00,-1.0
72,16944,-1480,-2676,-1.00,-1.0
74,16604,3272,-212,-1.00,-1.0
76,17540,748,-1272,-1.00,-1.0
80,15716,2540,1188,-1.00,-1.0
82,18556,2048,-1440,-1.00,-1.0
84,19232,3028,8040,-1.00,-1.0
86,18000,-240,3376,-1.00,-1.0
88,16388,-1756,-7808,-1.00,-1.0
90,16744,640,5064,-1.00,-1.0
92,17972,-3612,-1076,-1.00,-1.0
94,15764,-1452,-3988,-1.00,-1.0
96,15568,3376,-88,-1.00,-1.0
98,17772,-2020,-244,-1.00,-1.0
100,17656,668,6832,-1.00,-1.0
102,15304,504,-24,-1.00,-1.0
104,17428,-3380,-1368,-1.00,-1.0
106,17156,1188,4800,-1.00,-1.0
108,17156,-2416,-720,-1.00,-1.0
110,16468,-2492,-7120,-1.00,-1.0
111,15912,2572,1116,-1.00,-1.0
116,16888,816,3776,-1.00,-1.0
118,15352,2684,1900,-1.00,-1.0
120,18456,452,-920,-1.00,-1.0
121,18280,2512,4668,-1.00,-1.0
123,18752,584,3384,-1.00,-1.0
125,17048,-1356,-11220,-1.00,-1.0
127,17908,880,4376,-1.00,-1.0
129,15752,1212,840,-1.00,-1.0
131,18796,-1180,184,-1.00,-1.0
133,17452,2404,5292,-1.00,-1.0
135,17712,-296,3064,-1.00,-1.0
137,17852,-784,-9500,-1.00,-1.0
139,17300,3516,6940,-1.00,-1.0
141,18744,-3120,-3312,-1.00,-1.0
143,16480,2664,832,-1.00,-1.0
145,16692,2096,3528,-1.00,-1.0
147,17460,-6288,-4076,-1.00,-1.0
151,15012,-2476,-2520,-1.00,-1.0
153,16472,-3756,-3644,-1.00,-1.0
155,17128,1824,5272,-1.00,-1.0
157,16480,-1260,-5576,-1.00,-1.0
159,17164,624,-1076,-1.00,-1.0
161,16544,1532,5892,-1.00,-1.0
163,16820,-5896,-1956,-1.00,-1.0
165,15488,796,5360,-1.00,-1.0
167,14340,-2464,-3324,-1.00,-1.0
169,17452,-6032,-120,-1.00,-1.0
170,15508,1464,1428,-1.00,-1.0
172,17440,1756,4652,-1.00,-1.0
174,19072,2936,-5228,-1.00,-1.0
176,15056,-276,6908,-1.00,-1.0
178,14476,-2996,-4296,-1.00,-1.0
180,16836,-4360,-1052,-1.00,-1.0
184,17908,-368,1008,-1.00,-1.0
186,18656,3852,512,-1.00,-1.0
188,17420,3380,5244,-1.00,-1.0
190,19644,516,-944,-1.00,-1.0
192,18092,4260,4976,-1.00,-1.0
194,16940,200,1976,-1.00,-1.0
196,18072,-2668,-4856,-1.00,-1.0
198,17504,2380,2316,-1.00,-1.0
200,17876,-2688,-3264,-1.00,-1.0
202,16640,404,1824,-1.00,-1.0
204,15604,1432,5292,-1.00,-1.0
206,17856,-416,-1360,-1.00,-1.0
208,17024,3804,944,-1.00,-1.0
210,17840,-732,4560,-1.00,-1.0
212,16564,-2856,-6684,-1.00,-1.0
213,16468,-4,5228,-1.00,-1.0
218,15352,-2640,-2084,-1.00,-1.0
220,15904,2004,1260,-1.00,-1.0
222,17820,-1436,-2420,-1.00,-1.0
223,17956,396,5040,-1.00,-1.0
226,15680,1212,2188,-1.00,-1.0
228,17208,-2428,-2328,-1.00,-1.0
229,17188,1976,4308,-1.00,-1.0
231,17836,-2576,876,-1.00,-1.0
233,16964,324,-2752,-1.00,-1.0
235,16636,3280,2252,-1.00,-1.0
237,16284,-1460,328,-1.00,-1.0
239,16848,-1504,-3360,-1.00,-1.0
241,16588,3012,1776,-1.00,-1.0
243,17944,-2436,-2336,-1.00,-1.0
245,16616,2308,848,-1.00,-1.0
247,16300,2240,3936,-1.00,-1.0
251,17908,2616,5064,-1.00,-1.0
253,17972,-136,-3808,-1.00,-1.0
255,18192,628,220,-1.00,-1.0
257,16824,4384,1312,-1.00,-1.0
259,17332,-1380,-2268,-1.00,-1.0
261,18360,3092,2972,-1.00,-1.0
263,16044,928,-328,-1.00,-1.0
265,17008,-3260,568,-1.00,-1.0
267,15272,-76,4524,-1.00,-1.0
269,16504,-3484,2284,-1.00,-1.0
271,17484,-920,-3780,-1.00,-1.0
272,16496,3120,2244,-1.00,-1.0
274,18628,-2428,-628,-1.00,-1.0
276,17084,2916,2472,-1.00,-1.0
278,17448,-404,3892,-1.00,-1.0
280,17500,-2596,-2272,-1.00,-1.0
282,17444,1724,448,-1.00,-1.0
286,17948,1324,-712,-1.00,-1.0
288,15884,1984,3336,-1.00,-1.0
290,16788,-2532,-3124,-1.00,-1.0
292,17432,-1432,-76,-1.00,-1.0
294,16312,2168,1748,-1.00,-1.0
296,16228,-3068,-4016,-1.00,-1.0
298,18280,1780,4932,-1.00,-1.0
300,16164,-768,-2092,-1.00,-1.0
302,16592,-3544,580,-1.00,-1.0
304,15732,2260,-148,-1.00,-1.0
306,17448,-3072,428,-1.00,-1.0
308,17836,48,1200,-1.00,-1.0
310,15196,2528,428,-1.00,-1.0
312,18120,-3120,440,-1.00,-1.0
314,16952,2888,2736,-1.00,-1.0
315,18052,-1372,2612,-1.00,-1.0
320,15988,3904,1532,-1.00,-1.0
322,17648,-2896,-352,-1.00,-1.0
323,17044,2068,3172,-1.00,-1.0
325,16836,-144,3912,-1.00,-1.0
327,18132,-1232,-2188,-1.00,-1.0
329,17436,4904,-540,-1.00,-1.0
331,15412,-740,3964,-1.00,-1.0
333,15228,-3080,-3372,-1.00,-1.0
335,15900,1376,3160,-1.00,-1.0
337,18300,-2492,-1960,-1.00,-1.0
339,18560,652,-668,-1.00,-1.0
341,16528,4120,-492,-1.00,-1.0
343,16280,-2184,-4020,-1.00,-1.0
345,18264,2092,8204,-1.00,-1.0
347,16284,-968,-604,-1.00,-1.0
349,16400,-3052,-1180,-1.00,-1.0
353,17388,-3600,-2436,-1.00,-1.0
355,17220,-756,3552,-1.00,-1.0
357,15328,-368,992,-1.00,-1.0
359,15856,-4620,-1004,-1.00,-1.0
361,15828,1392,1192,-1.00,-1.0
363,17940,-3364,780,-1.00,-1.0
365,17884,112,180,-1.00,-1.0
366,15572,2824,-1608,-1.00,-1.0
368,18008,-4756,236,-1.00,-1.0
370,16732,1848,4188,-1.00,-1.0
372,16484,-1516,-480,-1.00,-1.0
374,16756,-216,-828,-1.00,-1.0
376,16404,2128,2356,-1.00,-1.0
378,18056,-3448,-3812,-1.00,-1.0
380,16840,-1184,-1164,-1.00,-1.0
382,16384,3080,2328,-1.00,-1.0
384,19408,-484,-1108,-1.00,-1.0
388,17544,2044,4492,-1.00,-1.0
390,17244,-2148,-5080,-1.00,-1.0
392,17216,3436,5660,-1.00,-1.0
394,18036,-2748,-2192,-1.00,-1.0
396,16144,1804,-568,-1.00,-1.0
398,16392,2764,3652,-1.00,-1.0
400,17516,-3372,-3272,-1.00,-1.0
402,17836,3448,3868,-1.00,-1.0
404,18052,-548,-2424,-1.00,-1.0
406,17100,676,-1544,-1.00,-1.0
408,16816,4252,2660,-1.00,-1.0
410,16696,-3456,-3108,-1.00,-1.0
412,16812,2496,4268,-1.00,-1.0
414,16160,-144,172,-1.00,-1.0
415,17164,-1556,-1164,-1.00,-1.0
417,17216,4624,3000,-1.00,-1.0
422,17312,3676,612,-1.00,-1.0
424,17652,620,4592,-1.00,-1.0
425,17168,-3148,-3260,-1.00,-1.0
427,15556,3096,3428,-1.00,-1.0
429,18316,-1100,-1552,-1.00,-1.0
431,18544,2924,292,-1.00,-1.0
433,17684,4548,3384,-1.00,-1.0
435,16976,-4924,1988,-1.00,-1.0
437,17592,4660,6520,-1.00,-1.0
439,17848,-2812,-2020,-1.00,-1.0
441,18732,-4472,324,-1.00,-1.0
443,17632,3408,2888,-1.00,-1.0
445,17716,-2664,48,-1.00,-1.0
447,18136,-156,-168,-1.00,-1.0
449,15108,3708,28,-1.00,-1.0
451,17352,-4900,-472,-1.00,-1.0
455,17156,-2332,1892,-1.00,-1.0
457,17472,-1184,892,-1.00,-1.0
459,16052,4156,2044,-1.00,-1.0
461,18456,-4124,-2560,-1.00,-1.0
463,18052,2512,5404,-1.00,-1.0
465,16004,-1400,-2708,-1.00,-1.0
467,16424,-4636,1048,-1.00,-1.0
468,15692,2448,-336,-1.00,-1.0
471,16384,-6412,2024,-1.00,-1.0
473,16920,-536,4000,-1.00,-1.0
474,14220,1604,-2228,-1.00,-1.0
476,18132,-4636,436,-1.00,-1.0
478,16636,2528,2548,-1.00,-1.0
480,17664,-4868,1104,-1.00,-1.0
482,16000,-900,1760,-1.00,-1.0
484,18532,4932,5084,-1.00,-1.0
488,16464,1796,3028,-1.00,-1.0
490,17256,-3900,116,-1.00,-1.0
492,18076,-80,68,-1.00,-1.0
494,16684,4232,5820,-1.00,-1.0
496,16668,-836,-3788,-1.00,-1.0
498,16736,4,-868,-1.00,-1.0
500,17052,3060,3240,-1.00,-1.0
502,18012,-4904,-1864,-1.00,-1.0
504,16108,3096,2096,-1.00,-1.0
506,16136,-620,1252,-1.00,-1.0
508,17308,-692,-1820,-1.00,-1.0
510,16736,3580,3236,-1.00,-1.0
