timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2,12412,-10632,3076,16630.06,24.62,-1.00,-1.0,2502
5,5,12196,-10676,3060,16494.94,24.67,-1.00,-1.0,2346
8,8,12164,-10916,2816,16584.69,24.67,-1.00,-1.0,2361
11,11,11980,-11008,2540,16466.57,24.77,-1.00,-1.0,2342
14,14,12076,-11164,2640,16656.36,24.67,-1.00,-1.0,2363
17,17,12140,-11460,2352,16859.51,24.77,-1.00,-1.0,2344
20,20,12240,-12232,2244,17449.21,24.77,-1.00,-1.0,2360
23,23,12252,-12936,2464,17986.74,24.67,-1.00,-1.0,2344
26,26,12456,-13472,2416,18506.32,24.58,-1.00,-1.0,2360
29,29,12508,-13800,2436,18783.61,24.77,-1.00,-1.0,2345
32,32,12712,-13832,1916,18883.60,24.67,-1.00,-1.0,2363
35,35,12840,-13328,1244,18548.55,24.67,-1.00,-1.0,2343
38,38,12728,-12400,548,17778.14,24.77,-1.00,-1.0,2363
41,41,12740,-11204,-308,16968.56,24.77,-1.00,-1.0,2344
44,44,12308,-10648,-764,16292.65,24.77,-1.00,-1.0,2359
47,47,11328,-11052,-1124,15866.12,24.77,-1.00,-1.0,2342
50,50,11620,-10808,-1264,15919.64,24.72,-1.00,-1.0,2368
53,53,11624,-10652,-976,15796.68,24.77,-1.00,-1.0,2343
56,56,11884,-10448,-492,15831.37,24.72,-1.00,-1.0,2370
59,59,11988,-10552,196,15971.70,24.72,-1.00,-1.0,2343
62,62,11936,-10716,704,16056.04,24.81,-1.00,-1.0,2368
65,65,11952,-11232,1044,16434.66,24.72,-1.00,-1.0,2352
68,68,12024,-11584,1024,16727.65,24.62,-1.00,-1.0,2370
71,71,11976,-11632,836,16716.07,24.62,-1.00,-1.0,2352
74,74,12056,-11848,328,16906.50,24.81,-1.00,-1.0,2367
77,77,12152,-11712,260,16879.27,24.72,-1.00,-1.0,2351
80,80,12020,-11624,-104,16721.50,24.72,-1.00,-1.0,2366
83,83,11844,-11764,-216,16694.87,24.72,-1.00,-1.0,2350
86,86,11744,-11872,-272,16701.49,24.72,-1.00,-1.0,2367
89,89,11596,-11744,-464,16510.72,24.72,-1.00,-1.0,2349
92,92,11392,-11364,-880,16114.98,24.62,-1.00,-1.0,2367
95,95,10624,-11672,-184,15784.13,24.72,-1.00,-1.0,2350
98,98,10376,-11084,-808,15204.25,24.62,-1.00,-1.0,2367
101,101,8456,-11152,-660,14010.95,24.72,-1.00,-1.0,2350
104,104,5628,-12080,-472,13335.05,24.72,-1.00,-1.0,2362
107,107,9208,-11456,480,14705.70,24.62,-1.00,-1.0,2349
110,110,11696,-10340,-752,15629.38,24.72,-1.00,-1.0,2361
113,113,11608,-10456,408,15628.18,24.72,-1.00,-1.0,2349
116,116,12684,-10108,632,16231.29,24.67,-1.00,-1.0,2361
119,119,13008,-9896,1420,16405.95,24.72,-1.00,-1.0,2349
122,122,11108,-10940,1544,15667.01,24.67,-1.00,-1.0,2348
125,125,8160,-10864,320,13590.97,24.67,-1.00,-1.0,2349
128,128,6936,-11740,2864,13933.35,24.67,-1.00,-1.0,2361
131,131,17008,-10956,6276,21182.40,24.67,-1.00,-1.0,2345
134,134,14816,-10392,3840,18500.08,24.86,-1.00,-1.0,2360
137,137,12732,-11552,4448,17757.74,24.67,-1.00,-1.0,2344
140,140,12808,-11456,4240,17699.22,24.77,-1.00,-1.0,2359
143,143,12912,-11644,4840,18047.94,24.77,-1.00,-1.0,2329
146,146,12532,-11672,4656,17747.25,24.67,-1.00,-1.0,2359
149,149,11740,-12504,4304,17683.38,24.67,-1.00,-1.0,2344
152,152,11164,-13052,3496,17527.45,24.67,-1.00,-1.0,2359
155,155,11508,-12696,2840,17369.17,24.67,-1.00,-1.0,2345
158,158,11100,-12452,2696,16897.65,24.77,-1.00,-1.0,2359
161,161,11768,-12532,2400,17357.90,24.67,-1.00,-1.0,2342
164,164,12324,-12844,3124,18072.32,24.67,-1.00,-1.0,2359
167,167,13216,-13216,3528,19020.31,24.67,-1.00,-1.0,2342
170,170,13108,-13688,4036,19377.06,24.77,-1.00,-1.0,2358
173,173,12532,-14148,3064,19146.93,24.67,-1.00,-1.0,2342
176,176,12004,-14672,3284,19239.24,24.67,-1.00,-1.0,2359
179,179,11484,-14612,3136,18847.47,24.67,-1.00,-1.0,2341
182,182,12516,-15044,3036,19803.78,24.77,-1.00,-1.0,2359
185,185,13036,-15448,3772,20562.25,24.77,-1.00,-1.0,2342
188,188,12708,-15512,3716,20394.22,24.67,-1.00,-1.0,2358
191,191,11004,-14956,4132,19022.18,24.77,-1.00,-1.0,2342
194,194,9456,-16048,1620,18697.02,24.67,-1.00,-1.0,2358
197,197,12212,-15880,2848,20234.09,24.67,-1.00,-1.0,2342
200,200,13172,-16312,5160,21591.86,24.67,-1.00,-1.0,2359
203,203,13084,-16224,3380,21114.77,24.67,-1.00,-1.0,2342
206,206,12740,-16236,4160,21052.81,24.72,-1.00,-1.0,2359
209,209,14252,-16076,4044,21861.18,24.77,-1.00,-1.0,2342
212,212,12008,-15712,3684,20115.44,24.72,-1.00,-1.0,2345
215,215,10304,-15824,1716,18960.91,24.72,-1.00,-1.0,2342
231,231,12088,-12144,1680,17216.82,24.77,-1.00,-1.0,2460
234,234,10956,-11508,2444,16076.10,24.72,-1.00,-1.0,2365
236,236,10872,-11524,1744,15938.77,24.77,-1.00,-1.0,2369
239,239,13108,-10980,1384,17155.04,24.72,-1.00,-1.0,2356
241,241,13004,-10668,2364,16985.25,24.72,-1.00,-1.0,2361
244,244,12292,-10536,3028,16470.26,24.67,-1.00,-1.0,2364
246,246,12172,-10656,3148,16480.83,24.77,-1.00,-1.0,2369
249,249,12188,-11048,2940,16710.75,24.72,-1.00,-1.0,2356
252,252,12532,-10700,3092,16766.08,24.62,-1.00,-1.0,2363
254,254,12400,-10652,3908,16807.66,24.67,-1.00,-1.0,2370
257,257,13388,-11164,4316,17958.32,24.72,-1.00,-1.0,2362
259,259,12900,-11192,4328,17618.24,24.72,-1.00,-1.0,2356
262,262,12648,-11500,4420,17656.68,24.67,-1.00,-1.0,2370
264,264,12740,-11820,4372,17920.22,24.77,-1.00,-1.0,2363
267,267,12800,-11808,4320,17942.44,24.62,-1.00,-1.0,2349
269,269,12736,-11820,4316,17903.80,24.72,-1.00,-1.0,2356
272,272,12652,-12092,4100,17974.97,24.67,-1.00,-1.0,2368
275,275,13036,-12284,3804,18311.32,24.72,-1.00,-1.0,2359
277,277,12908,-12236,4124,18257.70,24.72,-1.00,-1.0,2362
280,280,12816,-12360,3708,18187.05,24.77,-1.00,-1.0,2362
282,282,13068,-12456,3580,18404.92,24.67,-1.00,-1.0,2363
285,285,13344,-12484,3272,18563.90,24.81,-1.00,-1.0,2357
287,287,13484,-12592,3504,18779.10,24.72,-1.00,-1.0,2361
290,290,13616,-12624,3228,18846.24,24.77,-1.00,-1.0,2355
293,293,13452,-12544,3088,18650.58,24.67,-1.00,-1.0,2365
295,295,13408,-12580,2788,18595.80,24.72,-1.00,-1.0,2356
298,298,13304,-12276,2924,18337.02,24.81,-1.00,-1.0,2361
300,300,13196,-11704,2732,17848.86,24.77,-1.00,-1.0,2358
303,303,13252,-11532,2432,17734.63,24.72,-1.00,-1.0,2364
306,306,13100,-11496,2452,17600.58,24.67,-1.00,-1.0,2356
309,309,13324,-11212,2244,17557.72,24.72,-1.00,-1.0,2364
312,312,13060,-10748,2252,17063.25,24.77,-1.00,-1.0,2356
315,315,12560,-10216,1732,16282.51,24.72,-1.00,-1.0,2363
318,318,12352,-10012,1516,15972.17,24.72,-1.00,-1.0,2357
321,321,12492,-9888,1504,16002.64,24.72,-1.00,-1.0,2362
324,324,12464,-10804,2604,16699.06,24.72,-1.00,-1.0,2359
327,327,12936,-10764,3384,17165.53,24.72,-1.00,-1.0,2364
330,330,13116,-9668,2644,16507.28,24.72,-1.00,-1.0,2359
333,333,14084,-10020,3652,17666.25,24.72,-1.00,-1.0,2363
336,336,14460,-12080,6224,19843.29,24.72,-1.00,-1.0,2358
339,339,14720,-12408,7424,20633.77,24.72,-1.00,-1.0,2361
342,342,13544,-11524,6288,18862.17,24.81,-1.00,-1.0,2357
345,345,13060,-10844,7584,18592.28,24.81,-1.00,-1.0,2363
348,348,15720,-11604,2804,19739.14,24.72,-1.00,-1.0,2357
351,351,16000,-12920,6412,21541.59,24.81,-1.00,-1.0,2363
354,354,13052,-10732,10544,19917.49,24.81,-1.00,-1.0,2356
357,357,10724,-9020,8748,16519.45,24.72,-1.00,-1.0,2364
360,360,10184,-8652,6808,14997.33,24.62,-1.00,-1.0,2357
363,363,10352,-8984,5388,14727.75,24.62,-1.00,-1.0,2361
366,366,10276,-8724,4320,14155.10,24.72,-1.00,-1.0,2358
369,369,10672,-10512,3112,15299.62,24.72,-1.00,-1.0,2361
372,372,11080,-9852,3160,15159.61,24.62,-1.00,-1.0,2356
375,375,11480,-9844,2920,15401.98,24.77,-1.00,-1.0,2362
378,378,11672,-9720,2380,15374.60,24.72,-1.00,-1.0,2356
381,381,12556,-10676,2256,16634.89,24.67,-1.00,-1.0,2361
384,384,12944,-11200,2184,17255.64,24.67,-1.00,-1.0,2356
387,387,12928,-11416,2572,17437.70,24.67,-1.00,-1.0,2362
390,390,12712,-11664,2908,17495.72,24.77,-1.00,-1.0,2356
393,393,12164,-11896,3312,17333.41,24.67,-1.00,-1.0,2362
396,396,11880,-12140,3320,17307.12,24.67,-1.00,-1.0,2356
399,399,11420,-12312,3256,17105.65,24.77,-1.00,-1.0,2361
402,402,11448,-12312,2824,17047.49,24.67,-1.00,-1.0,2355
405,405,11520,-11944,2288,16751.25,24.67,-1.00,-1.0,2361
408,408,11520,-11692,1984,16533.29,24.77,-1.00,-1.0,2355
411,411,11572,-11392,1652,16322.31,24.77,-1.00,-1.0,2362
414,414,11700,-11084,1340,16172.22,24.77,-1.00,-1.0,2355
417,417,11652,-10740,1668,15934.21,24.77,-1.00,-1.0,2362
420,420,11740,-11212,1932,16348.37,24.77,-1.00,-1.0,2355
423,423,11960,-11584,2372,16818.35,24.86,-1.00,-1.0,2362
426,426,11868,-11748,2576,16896.77,24.67,-1.00,-1.0,2355
429,429,11656,-11792,2760,16808.66,24.77,-1.00,-1.0,2361
432,432,11384,-11748,2844,16604.20,24.77,-1.00,-1.0,2355
444,444,11620,-11476,4184,16859.09,24.67,-1.00,-1.0,2434
446,446,11680,-11140,4180,16673.16,24.62,-1.00,-1.0,2370
449,449,11796,-11320,4344,16916.21,24.77,-1.00,-1.0,2359
451,451,11948,-11024,4568,16886.38,24.72,-1.00,-1.0,2353
454,454,11736,-10592,4636,16474.73,24.62,-1.00,-1.0,2359
457,457,11716,-10484,4780,16432.51,24.77,-1.00,-1.0,2359
459,459,11932,-10568,4940,16687.09,24.77,-1.00,-1.0,2361
462,462,11952,-10432,4852,16589.72,24.81,-1.00,-1.0,2354
464,464,12140,-10352,4900,16689.92,24.62,-1.00,-1.0,2361
467,467,12452,-11480,5092,17685.34,24.67,-1.00,-1.0,2343
469,469,12108,-9748,4772,16260.36,24.86,-1.00,-1.0,2366
472,472,12192,-8644,4168,15515.66,24.62,-1.00,-1.0,2353
474,474,12252,-9684,4416,16229.37,24.72,-1.00,-1.0,2358
477,477,12588,-10160,4644,16830.04,24.67,-1.00,-1.0,2360
480,480,12760,-10472,4600,17135.94,24.67,-1.00,-1.0,2360
482,482,12812,-10560,4396,17175.15,24.67,-1.00,-1.0,2353
485,485,12836,-10648,4556,17288.72,24.72,-1.00,-1.0,2366
487,487,12756,-10808,4176,17232.74,24.77,-1.00,-1.0,2363
490,490,12780,-10728,4100,17182.21,24.67,-1.00,-1.0,2361
492,492,12692,-10664,3936,17038.19,24.72,-1.00,-1.0,2354
495,495,12604,-10392,3784,16768.22,24.72,-1.00,-1.0,2359
498,498,12512,-9960,3672,16408.39,24.72,-1.00,-1.0,2362
501,501,12236,-9364,3332,15764.09,24.72,-1.00,-1.0,2360
504,504,12184,-9160,3144,15564.07,24.62,-1.00,-1.0,2357
507,507,12044,-8828,2680,15171.48,24.67,-1.00,-1.0,2369
510,510,11708,-8740,2520,14826.17,24.77,-1.00,-1.0,2365
513,513,11800,-8660,2360,14825.83,24.77,-1.00,-1.0,2364
516,516,11812,-8756,2296,14881.62,24.67,-1.00,-1.0,2364
519,519,11784,-8808,2292,14889.49,24.86,-1.00,-1.0,2367
522,522,11780,-9136,2056,15048.66,24.58,-1.00,-1.0,2363
525,525,11924,-9356,2008,15288.84,24.67,-1.00,-1.0,2366
528,528,11972,-9776,1980,15582.66,24.67,-1.00,-1.0,2362
531,531,12008,-10016,1880,15749.50,24.67,-1.00,-1.0,2365
534,534,12096,-10408,1872,16066.86,24.86,-1.00,-1.0,2362
537,537,12348,-10504,1912,16323.69,24.67,-1.00,-1.0,2366
540,540,12324,-10800,1800,16485.17,24.67,-1.00,-1.0,2362
543,543,12544,-10900,2028,16741.41,24.67,-1.00,-1.0,2367
546,546,12604,-10980,2300,16873.39,24.67,-1.00,-1.0,2358
549,549,12820,-11136,2524,17167.80,24.67,-1.00,-1.0,2361
552,552,12868,-11052,2904,17209.46,24.67,-1.00,-1.0,2357
555,555,13108,-11008,3424,17456.22,24.67,-1.00,-1.0,2361
558,558,13088,-11096,3748,17563.16,24.77,-1.00,-1.0,2357
561,561,12328,-8944,4644,15922.99,24.77,-1.00,-1.0,2347
564,564,12124,-8452,5188,15663.43,24.67,-1.00,-1.0,2344
567,567,12152,-8176,6020,15835.36,24.77,-1.00,-1.0,2363
570,570,12224,-8460,6800,16347.41,24.77,-1.00,-1.0,2360
573,573,12892,-9368,2128,16077.67,24.62,-1.00,-1.0,2363
576,576,11924,-10568,2100,16070.92,24.81,-1.00,-1.0,2360
579,579,11892,-10912,3348,16483.34,24.72,-1.00,-1.0,2362
582,582,13020,-11948,4612,18263.23,24.72,-1.00,-1.0,2357
585,585,14472,-13120,5324,20246.44,24.72,-1.00,-1.0,2360
588,588,15496,-13576,5148,21235.25,24.72,-1.00,-1.0,2354
591,591,15364,-15708,5772,22718.05,24.72,-1.00,-1.0,2346
594,594,15100,-15424,4616,22073.00,24.72,-1.00,-1.0,2354
597,597,13916,-13776,4360,20060.98,24.81,-1.00,-1.0,2347
600,600,12808,-12812,4524,18672.41,24.72,-1.00,-1.0,2341
