timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,3,18088,2080,5056,18896.17,25.89,-1.00,-1.0,2496
9,9,18584,-6336,-2136,19750.25,26.04,-1.00,-1.0,2460
12,12,15788,3292,-660,16141.06,25.99,-1.00,-1.0,2366
15,15,19692,-7284,6308,21923.10,26.04,-1.00,-1.0,2358
18,18,14128,2312,-4580,15030.71,26.04,-1.00,-1.0,2421
20,20,19732,-5556,-3520,20799.31,25.99,-1.00,-1.0,2363
23,23,19556,-4772,-6612,21187.91,25.94,-1.00,-1.0,2406
26,26,12300,2000,-5708,13706.61,25.89,-1.00,-1.0,2375
28,28,20764,-8792,4496,22992.54,26.04,-1.00,-1.0,2430
31,31,13868,3140,-5576,15273.27,25.99,-1.00,-1.0,2372
34,34,14316,4236,2180,15087.87,26.04,-1.00,-1.0,2363
38,38,10520,9996,-4468,15183.99,25.94,-1.00,-1.0,2432
41,41,21032,-11040,8180,25122.48,26.08,-1.00,-1.0,2365
44,44,16208,-416,-12100,20230.73,26.04,-1.00,-1.0,2420
47,47,14988,2372,-3292,15527.52,25.99,-1.00,-1.0,2374
49,49,20364,-10448,380,22890.99,25.99,-1.00,-1.0,2362
52,52,12992,7024,1372,14832.77,25.94,-1.00,-1.0,2422
55,55,15616,4072,6372,17350.59,25.99,-1.00,-1.0,2375
57,57,18612,-644,3316,18916.05,26.04,-1.00,-1.0,2430
60,60,15688,868,-4292,16287.67,25.99,-1.00,-1.0,2371
65,65,13856,-76,-3036,14184.92,26.08,-1.00,-1.0,2433
68,68,15216,5796,4044,16777.19,25.94,-1.00,-1.0,2364
70,70,19684,-976,11836,22989.20,25.99,-1.00,-1.0,2354
73,73,12348,7168,2320,14464.98,25.99,-1.00,-1.0,2420
76,76,15584,2636,9724,18557.09,25.94,-1.00,-1.0,2364
78,78,19948,-1228,8072,21554.30,26.04,-1.00,-1.0,2418
81,81,16380,4500,-2688,17198.25,25.89,-1.00,-1.0,2369
84,84,18936,-3992,7076,20605.29,25.99,-1.00,-1.0,2356
87,87,14524,5212,-720,15447.65,25.94,-1.00,-1.0,2422
90,90,15468,416,3348,15831.65,25.99,-1.00,-1.0,2352
95,95,12476,8528,520,15121.10,25.99,-1.00,-1.0,2437
97,97,19520,-6456,4472,21040.65,26.04,-1.00,-1.0,2362
100,100,13984,80,-2968,14295.72,25.99,-1.00,-1.0,2421
103,103,16184,480,5508,17102.35,25.94,-1.00,-1.0,2364
105,105,21424,-5176,284,22042.22,26.08,-1.00,-1.0,2357
108,108,13048,5616,-2112,14361.42,26.08,-1.00,-1.0,2423
111,111,22196,-9676,908,24230.39,26.04,-1.00,-1.0,2367
114,114,13084,1216,-8016,15392.40,25.94,-1.00,-1.0,2419
117,117,18288,-20,9420,20571.53,25.94,-1.00,-1.0,2366
122,122,14048,-1212,-4284,14736.62,25.94,-1.00,-1.0,2441
124,124,17712,-396,6908,19015.58,25.99,-1.00,-1.0,2364
127,127,17348,-2684,148,17555.02,25.99,-1.00,-1.0,2368
130,130,16984,-1688,-7104,18487.09,26.04,-1.00,-1.0,2425
132,132,19348,-7684,7164,22016.17,25.89,-1.00,-1.0,2359
135,135,15556,-3660,-9128,18403.94,25.99,-1.00,-1.0,2424
138,138,16860,-1756,1792,17045.66,25.99,-1.00,-1.0,2364
141,141,16936,-7636,-816,18595.76,25.99,-1.00,-1.0,2420
144,144,15784,860,-3280,16144.12,25.94,-1.00,-1.0,2365
147,147,21468,-4152,2160,21972.25,25.94,-1.00,-1.0,2364
152,152,16444,1492,5792,17497.96,25.94,-1.00,-1.0,2438
155,155,18560,-2788,5664,19604.27,25.99,-1.00,-1.0,2365
157,157,16076,7240,6220,18696.09,26.13,-1.00,-1.0,2425
160,160,19804,-2868,2904,20220.21,25.99,-1.00,-1.0,2365
163,163,17036,-6192,1612,18197.93,25.99,-1.00,-1.0,2425
165,165,14776,2272,-3724,15406.50,25.99,-1.00,-1.0,2366
168,168,20516,-3968,3852,21248.28,26.08,-1.00,-1.0,2421
171,171,14360,5728,1944,15582.00,25.99,-1.00,-1.0,2353
174,174,19812,-4500,3984,20703.56,25.99,-1.00,-1.0,2349
179,179,14484,2104,-1432,14705.91,25.94,-1.00,-1.0,2425
182,182,19864,-7288,7392,22412.83,26.04,-1.00,-1.0,2365
184,184,14612,4304,-2424,15424.36,26.04,-1.00,-1.0,2433
187,187,19200,-2248,4448,19836.29,25.99,-1.00,-1.0,2364
190,190,14936,-656,2724,15196.53,26.04,-1.00,-1.0,2425
192,192,14536,7672,1476,16502.53,25.99,-1.00,-1.0,2364
195,195,20136,-3608,10508,22997.70,25.99,-1.00,-1.0,2362
198,198,14864,2988,-2636,15388.80,25.99,-1.00,-1.0,2422
201,201,17536,-332,5232,18302.88,25.89,-1.00,-1.0,2365
206,206,14004,8288,2024,16398.16,25.89,-1.00,-1.0,2437
209,209,19056,452,7856,20616.79,26.04,-1.00,-1.0,2377
211,211,16144,932,4760,16856.90,25.99,-1.00,-1.0,2429
214,214,13796,492,1016,13842.11,26.04,-1.00,-1.0,2371
217,217,20528,-4472,9660,23123.87,25.99,-1.00,-1.0,2361
219,219,15460,5420,-80,16382.75,25.99,-1.00,-1.0,2425
222,222,18808,-1892,2180,19028.21,25.99,-1.00,-1.0,2378
225,225,14120,-4236,-560,14752.35,26.04,-1.00,-1.0,2420
228,228,14468,-1660,136,14563.55,25.99,-1.00,-1.0,2365
233,233,13768,5524,-3044,15143.92,26.04,-1.00,-1.0,2437
235,235,14084,-2920,2472,14594.39,25.99,-1.00,-1.0,2365
238,238,19004,-3512,8156,20976.33,25.94,-1.00,-1.0,2361
241,241,14692,8752,2160,17237.11,26.04,-1.00,-1.0,2424
243,243,20092,-3276,8652,22119.62,26.04,-1.00,-1.0,2366
246,246,15448,708,-3060,15764.06,26.04,-1.00,-1.0,2422
249,249,14956,568,5996,16123.17,26.04,-1.00,-1.0,2367
252,252,21108,-3744,5124,22041.34,26.04,-1.00,-1.0,2421
255,255,13600,7244,1996,15537.68,26.04,-1.00,-1.0,2365
260,260,14684,3960,2612,15431.27,26.04,-1.00,-1.0,2438
262,262,14764,4112,1440,15393.43,25.94,-1.00,-1.0,2364
265,265,21472,-5332,7584,23387.90,25.94,-1.00,-1.0,2361
268,268,13220,10452,-1568,16925.46,25.99,-1.00,-1.0,2424
270,270,15400,-2716,388,15642.48,26.04,-1.00,-1.0,2365
273,273,20492,-4460,-252,20973.25,25.94,-1.00,-1.0,2425
276,276,15356,1828,920,15491.76,26.04,-1.00,-1.0,2365
279,279,20352,-3384,6728,21700.72,26.08,-1.00,-1.0,2438
282,282,14228,3164,-1648,14668.43,26.04,-1.00,-1.0,2365
285,285,22812,-2328,6824,23924.34,26.04,-1.00,-1.0,2370
290,290,14480,4684,-464,15225.82,26.04,-1.00,-1.0,2434
293,293,20020,-2748,9664,22399.66,26.04,-1.00,-1.0,2365
295,295,13788,1556,-2348,14072.78,26.04,-1.00,-1.0,2416
298,298,15640,-2152,5364,16673.73,25.99,-1.00,-1.0,2367
301,301,18124,-3992,1428,18613.29,26.08,-1.00,-1.0,2424
304,304,13972,8336,1724,16360.86,26.08,-1.00,-1.0,2367
306,306,21396,-4232,10660,24276.21,25.94,-1.00,-1.0,2362
309,309,14900,6372,-332,16208.72,26.08,-1.00,-1.0,2433
312,312,16664,-2936,4480,17503.70,25.99,-1.00,-1.0,2371
317,317,13008,8200,4296,15965.70,26.08,-1.00,-1.0,2434
320,320,20276,-7332,804,21575.93,25.94,-1.00,-1.0,2364
322,322,19736,-1476,4400,20274.33,26.04,-1.00,-1.0,2404
325,325,14204,3628,-1384,14725.20,26.04,-1.00,-1.0,2366
328,328,21196,-5388,9740,23940.94,26.04,-1.00,-1.0,2421
331,331,13044,5212,-1584,14135.77,25.99,-1.00,-1.0,2376
333,333,17948,-2272,5768,18988.48,26.04,-1.00,-1.0,2362
336,336,17736,-3956,-4860,18810.51,25.94,-1.00,-1.0,2430
339,339,14304,-2852,-5560,15609.35,25.99,-1.00,-1.0,2380
344,344,15892,4744,-940,16611.59,25.99,-1.00,-1.0,2450
347,347,16956,-216,7796,18663.61,25.99,-1.00,-1.0,2371
350,350,19048,-920,10084,21572.20,25.99,-1.00,-1.0,2418
352,352,13220,8240,5000,16360.50,25.94,-1.00,-1.0,2365
355,355,22668,-4684,6152,23950.47,25.99,-1.00,-1.0,2370
358,358,14960,-1272,-1388,15078.00,25.99,-1.00,-1.0,2430
360,360,14268,-1484,1976,14480.42,25.99,-1.00,-1.0,2364
363,363,19484,-1540,11176,22514.46,25.94,-1.00,-1.0,2422
366,366,12712,7896,1208,15013.36,26.04,-1.00,-1.0,2368
371,371,17020,-1736,-3600,17482.97,25.89,-1.00,-1.0,2435
374,374,15412,-712,852,15451.94,26.04,-1.00,-1.0,2366
377,377,20120,-220,9668,22323.37,25.99,-1.00,-1.0,2423
379,379,16164,1176,-868,16229.95,26.04,-1.00,-1.0,2359
382,382,13980,276,5372,14979.15,25.89,-1.00,-1.0,2362
385,385,17352,-6736,-2044,18725.48,25.99,-1.00,-1.0,2429
387,387,13716,11652,4888,18649.14,26.04,-1.00,-1.0,2365
390,390,22632,-6380,5160,24073.58,25.89,-1.00,-1.0,2422
393,393,15324,-152,-3244,15664.34,25.94,-1.00,-1.0,2364
398,398,22484,248,8584,24068.17,26.04,-1.00,-1.0,2450
401,401,14144,12132,9124,20748.14,26.08,-1.00,-1.0,2372
403,403,15824,-1836,4540,16564.46,25.94,-1.00,-1.0,2366
406,406,14948,-4576,-3392,15996.50,25.94,-1.00,-1.0,2420
409,409,14952,-2268,-1660,15213.87,25.99,-1.00,-1.0,2373
412,412,23596,-3952,5556,24561.32,26.04,-1.00,-1.0,2422
414,414,15244,2132,-2320,15566.22,25.99,-1.00,-1.0,2366
417,417,17748,1612,6764,19061.53,25.99,-1.00,-1.0,2408
420,420,14556,-1152,1908,14725.65,25.99,-1.00,-1.0,2366
423,423,12404,-6196,-1144,13912.53,25.99,-1.00,-1.0,2362
428,428,16388,-3992,-8752,19002.63,26.04,-1.00,-1.0,2445
431,431,16364,-1432,1912,16537.44,25.99,-1.00,-1.0,2374
434,434,16616,-3216,1884,17028.90,26.04,-1.00,-1.0,2430
436,436,14552,9552,5192,18164.75,25.99,-1.00,-1.0,2368
439,439,21268,-1212,10732,23853.15,26.04,-1.00,-1.0,2423
442,442,13892,400,-3504,14332.68,25.89,-1.00,-1.0,2365
444,444,13396,4948,32,14280.64,25.99,-1.00,-1.0,2422
