timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2,16872,1540,2028,17063.08,28.34,-1.00,-1.0,2490
9,9,16944,1516,2052,17135.00,28.39,-1.00,-1.0,2457
12,12,16928,1416,2044,17109.65,28.39,-1.00,-1.0,2378
14,14,17016,1496,2104,17210.73,28.39,-1.00,-1.0,2363
17,17,16928,1464,2060,17115.61,28.34,-1.00,-1.0,2411
20,20,16568,1748,2356,16825.72,28.39,-1.00,-1.0,2368
23,23,14192,1532,2116,14430.43,28.39,-1.00,-1.0,2414
25,25,19672,5396,1884,20485.46,28.34,-1.00,-1.0,2367
28,28,16480,-2664,7920,18477.38,28.29,-1.00,-1.0,2369
31,31,8164,7524,-12640,16823.53,28.20,-1.00,-1.0,2426
33,33,20152,8688,11372,24716.53,28.39,-1.00,-1.0,2367
38,38,18508,2304,4788,19255.63,28.39,-1.00,-1.0,2432
41,41,19504,9916,-5496,22559.68,28.44,-1.00,-1.0,2364
44,44,16452,6144,-4164,18048.71,28.34,-1.00,-1.0,2417
46,46,15448,3216,14040,21121.20,28.34,-1.00,-1.0,2373
49,49,19452,-6236,3080,20658.04,28.25,-1.00,-1.0,2363
52,52,19028,-1524,-3412,19391.47,28.39,-1.00,-1.0,2428
54,54,23084,1468,692,23140.98,28.34,-1.00,-1.0,2374
57,57,12832,168,7748,14990.66,28.44,-1.00,-1.0,2420
60,60,13624,4184,6520,15672.58,28.25,-1.00,-1.0,2353
62,62,14872,3300,124,15234.23,28.34,-1.00,-1.0,2361
67,67,19308,5604,2024,20206.44,28.34,-1.00,-1.0,2443
70,70,13524,3580,844,14015.25,28.39,-1.00,-1.0,2362
73,73,15272,3408,1692,15738.85,28.34,-1.00,-1.0,2425
75,75,17840,352,3848,18253.67,28.39,-1.00,-1.0,2366
78,78,17776,-908,2768,18013.12,28.39,-1.00,-1.0,2420
81,81,17244,2456,-1464,17479.44,28.34,-1.00,-1.0,2366
84,84,19516,-1332,8944,21509.15,28.29,-1.00,-1.0,2362
87,87,14456,2020,-5576,15625.24,28.29,-1.00,-1.0,2421
89,89,18608,2108,5912,19638.05,28.39,-1.00,-1.0,2366
94,94,17000,896,1484,17088.16,28.44,-1.00,-1.0,2441
97,97,16904,1612,4196,17491.43,28.34,-1.00,-1.0,2378
100,100,16184,3244,-908,16530.88,28.34,-1.00,-1.0,2355
103,103,18420,716,7092,19751.09,28.39,-1.00,-1.0,2452
105,105,17512,828,3692,17916.10,28.48,-1.00,-1.0,2368
108,108,16048,2476,-844,16259.80,28.34,-1.00,-1.0,2417
111,111,17124,1204,1644,17244.82,28.39,-1.00,-1.0,2365
114,114,16912,1084,2584,17142.57,28.29,-1.00,-1.0,2420
116,116,17664,2360,3388,18140.15,28.39,-1.00,-1.0,2365
119,119,16964,1168,1400,17061.70,28.29,-1.00,-1.0,2362
124,124,16672,1716,1320,16811.98,28.29,-1.00,-1.0,2415
127,127,17312,2072,3876,17861.18,28.34,-1.00,-1.0,2368
130,130,16864,1316,2720,17132.56,28.34,-1.00,-1.0,2411
133,133,16212,1684,268,16301.43,28.39,-1.00,-1.0,2367
135,135,16320,1912,1700,16519.33,28.34,-1.00,-1.0,2422
138,138,16768,1952,2168,17019.88,28.39,-1.00,-1.0,2364
141,141,17540,1212,3652,17957.11,28.29,-1.00,-1.0,2362
144,144,17144,1348,2304,17350.57,28.44,-1.00,-1.0,2422
147,147,16584,1348,652,16651.46,28.29,-1.00,-1.0,2365
151,151,17348,1480,2920,17654.18,28.39,-1.00,-1.0,2426
154,154,17364,1640,1976,17552.85,28.29,-1.00,-1.0,2370
157,157,17236,1056,2352,17427.76,28.39,-1.00,-1.0,2422
160,160,16712,684,1512,16794.19,28.34,-1.00,-1.0,2371
162,162,17264,1272,3004,17569.51,28.39,-1.00,-1.0,2361
165,165,16708,1644,2460,16967.96,28.29,-1.00,-1.0,2421
168,168,16376,1848,1660,16563.34,28.34,-1.00,-1.0,2368
171,171,17096,1308,3052,17415.47,28.34,-1.00,-1.0,2428
174,174,16508,1956,816,16643.49,28.34,-1.00,-1.0,2364
178,178,16904,1500,2588,17166.62,28.29,-1.00,-1.0,2427
181,181,16756,1616,1460,16896.94,28.29,-1.00,-1.0,2364
184,184,17312,1728,2264,17544.71,28.39,-1.00,-1.0,2357
187,187,17192,1536,2744,17477.23,28.39,-1.00,-1.0,2422
189,189,16928,1440,1320,17040.34,28.29,-1.00,-1.0,2366
192,192,17200,1044,2184,17369.51,28.29,-1.00,-1.0,2417
195,195,17012,960,2452,17214.59,28.39,-1.00,-1.0,2365
198,198,16544,1476,1572,16683.94,28.39,-1.00,-1.0,2427
201,201,16804,1292,2928,17106.05,28.44,-1.00,-1.0,2371
204,204,16816,1564,1696,16973.52,28.44,-1.00,-1.0,2363
209,209,16968,1144,2340,17166.75,28.39,-1.00,-1.0,2414
211,211,16924,1340,1824,17074.67,28.39,-1.00,-1.0,2363
214,214,16888,1716,1664,17056.32,28.34,-1.00,-1.0,2424
217,217,16816,1796,2136,17046.00,28.48,-1.00,-1.0,2368
219,219,17012,1880,2096,17243.43,28.29,-1.00,-1.0,2420
222,222,17148,1772,2080,17364.34,28.39,-1.00,-1.0,2372
225,225,16988,1368,1712,17128.76,28.39,-1.00,-1.0,2362
228,228,16772,1236,1656,16898.82,28.29,-1.00,-1.0,2431
231,231,16984,1308,2612,17233.39,28.39,-1.00,-1.0,2375
235,235,16952,1724,2376,17204.30,28.39,-1.00,-1.0,2434
238,238,16752,1348,2020,16927.11,28.39,-1.00,-1.0,2367
241,241,16880,1212,1844,17023.62,28.39,-1.00,-1.0,2427
244,244,17028,1224,1956,17183.62,28.34,-1.00,-1.0,2367
246,246,17016,1448,1944,17187.79,28.29,-1.00,-1.0,2368
249,249,17080,1428,2532,17325.61,28.29,-1.00,-1.0,2423
252,252,16992,1552,2192,17202.96,28.39,-1.00,-1.0,2366
255,255,16952,1508,1856,17119.85,28.39,-1.00,-1.0,2415
258,258,16912,1504,2032,17099.91,28.39,-1.00,-1.0,2365
262,262,16976,1688,2012,17177.95,28.39,-1.00,-1.0,2434
265,265,16900,1644,2356,17142.45,28.29,-1.00,-1.0,2370
268,268,16776,1552,2244,16996.42,28.39,-1.00,-1.0,2358
270,270,17008,1300,2424,17228.98,28.39,-1.00,-1.0,2409
273,273,16920,1332,2228,17117.96,28.39,-1.00,-1.0,2374
276,276,16844,1388,1780,16994.57,28.39,-1.00,-1.0,2419
279,279,17036,1492,2548,17289.99,28.34,-1.00,-1.0,2365
282,282,16956,1464,2240,17165.86,28.34,-1.00,-1.0,2420
285,285,16944,1588,1808,17114.02,28.34,-1.00,-1.0,2365
288,288,17024,1436,2180,17222.98,28.44,-1.00,-1.0,2362
293,293,16748,1452,1980,16927.03,28.39,-1.00,-1.0,2433
295,295,16812,1448,2080,17001.96,28.39,-1.00,-1.0,2362
298,298,16888,1600,2108,17094.10,28.29,-1.00,-1.0,2430
301,301,17004,1696,1924,17196.34,28.34,-1.00,-1.0,2374
