timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,17112,-376,712,17130.93,28.20,-1.00,-1.0,2487
6,2135006,17144,-496,476,17157.78,28.06,-1.00,-1.0,2351
9,2135009,17180,-484,528,17194.93,28.06,-1.00,-1.0,2361
12,2135012,17136,-380,632,17151.86,28.06,-1.00,-1.0,2354
15,2135015,17004,-456,536,17018.56,28.06,-1.00,-1.0,2361
18,2135018,17068,-392,680,17086.04,28.15,-1.00,-1.0,2354
21,2135021,16984,-456,576,16999.88,28.06,-1.00,-1.0,2360
24,2135024,17120,-492,564,17136.35,28.06,-1.00,-1.0,2355
27,2135027,17180,-492,512,17194.67,28.11,-1.00,-1.0,2367
30,2135030,17180,-564,620,17200.43,28.11,-1.00,-1.0,2362
33,2135033,17080,-300,532,17090.92,28.11,-1.00,-1.0,2367
36,2135036,17148,-500,604,17165.92,28.11,-1.00,-1.0,2362
39,2135039,17052,-344,500,17062.80,28.11,-1.00,-1.0,2367
42,2135042,17096,-392,508,17108.04,28.01,-1.00,-1.0,2361
45,2135045,17100,-492,676,17120.43,28.11,-1.00,-1.0,2368
48,2135048,17168,-432,644,17185.51,28.11,-1.00,-1.0,2363
51,2135051,17108,-348,716,17126.51,28.11,-1.00,-1.0,2368
54,2135054,17084,-472,388,17094.92,28.01,-1.00,-1.0,2362
57,2135057,17044,-408,544,17057.56,28.11,-1.00,-1.0,2368
60,2135060,17072,-508,572,17089.13,28.11,-1.00,-1.0,2362
63,2135063,17088,-496,528,17103.35,28.11,-1.00,-1.0,2368
66,2135066,17088,-428,544,17102.01,28.11,-1.00,-1.0,2363
69,2135069,17076,-508,532,17091.84,28.11,-1.00,-1.0,2363
72,2135072,17088,-396,516,17100.38,28.11,-1.00,-1.0,2357
75,2135075,17124,-480,556,17139.75,28.06,-1.00,-1.0,2408
78,2135078,17080,-508,520,17095.46,28.11,-1.00,-1.0,2349
81,2135081,17100,-428,588,17115.46,28.01,-1.00,-1.0,2369
84,2135084,17140,-432,676,17158.76,28.11,-1.00,-1.0,2364
87,2135087,17084,-484,540,17099.38,28.11,-1.00,-1.0,2369
90,2135090,17004,-444,460,17016.01,28.11,-1.00,-1.0,2361
93,2135093,17152,-408,616,17167.91,28.06,-1.00,-1.0,2367
96,2135096,17076,-520,520,17091.83,28.15,-1.00,-1.0,2360
99,2135099,17040,-380,600,17054.79,28.15,-1.00,-1.0,2366
102,2135102,17132,-404,580,17146.57,28.15,-1.00,-1.0,2360
105,2135105,17192,-488,648,17211.13,27.97,-1.00,-1.0,2367
108,2135108,17104,-476,588,17120.72,28.06,-1.00,-1.0,2361
111,2135111,17104,-396,580,17118.41,28.06,-1.00,-1.0,2367
114,2135114,17132,-440,492,17144.71,28.15,-1.00,-1.0,2360
117,2135117,17040,-492,500,17054.43,28.15,-1.00,-1.0,2367
120,2135120,17224,-412,520,17236.77,28.06,-1.00,-1.0,2362
123,2135123,17000,-428,588,17015.55,28.06,-1.00,-1.0,2362
126,2135126,17044,-416,804,17068.02,28.06,-1.00,-1.0,2356
129,2135129,17100,-364,496,17111.06,28.15,-1.00,-1.0,2362
132,2135132,17148,-452,608,17164.73,28.15,-1.00,-1.0,2356
135,2135135,16972,-472,504,16986.04,28.15,-1.00,-1.0,2348
138,2135138,17028,-428,528,17041.56,28.06,-1.00,-1.0,2341
141,2135141,17176,-508,464,17189.77,28.06,-1.00,-1.0,2363
144,2135144,17208,-408,704,17227.23,27.97,-1.00,-1.0,2358
147,2135147,17112,-444,580,17127.58,28.06,-1.00,-1.0,2360
150,2135150,17088,-444,560,17102.94,28.06,-1.00,-1.0,2353
153,2135153,17140,-436,560,17154.69,28.06,-1.00,-1.0,2359
156,2135156,17080,-464,584,17096.28,28.15,-1.00,-1.0,2354
159,2135159,17068,-488,512,17082.65,28.06,-1.00,-1.0,2360
162,2135162,17108,-436,548,17122.33,28.06,-1.00,-1.0,2353
165,2135165,17104,-428,704,17123.83,28.01,-1.00,-1.0,2346
168,2135168,17076,-380,484,17087.08,28.11,-1.00,-1.0,2354
171,2135171,17176,-504,512,17191.02,28.11,-1.00,-1.0,2361
174,2135174,17156,-352,592,17169.82,28.11,-1.00,-1.0,2357
177,2135177,16988,-504,512,17003.19,28.01,-1.00,-1.0,2362
180,2135180,17016,-472,676,17035.96,28.11,-1.00,-1.0,2355
183,2135183,17088,-484,604,17105.52,28.01,-1.00,-1.0,2362
186,2135186,17104,-552,684,17126.57,28.11,-1.00,-1.0,2356
189,2135189,17120,-468,460,17132.57,28.01,-1.00,-1.0,2361
192,2135192,17168,-408,716,17187.77,28.11,-1.00,-1.0,2358
195,2135195,17016,-432,576,17031.23,28.01,-1.00,-1.0,2359
198,2135198,17068,-568,560,17086.63,28.11,-1.00,-1.0,2354
201,2135201,17120,-564,628,17140.79,28.11,-1.00,-1.0,2360
204,2135204,17120,-400,532,17132.93,28.11,-1.00,-1.0,2355
207,2135207,17012,-388,580,17026.31,28.01,-1.00,-1.0,2361
210,2135210,17124,-396,700,17142.88,28.11,-1.00,-1.0,2356
225,2135225,17116,-372,556,17129.07,28.15,-1.00,-1.0,2468
228,2135228,17080,-480,476,17093.37,28.06,-1.00,-1.0,2360
231,2135231,17100,-392,476,17111.12,28.06,-1.00,-1.0,2369
233,2135233,17132,-472,528,17146.63,28.20,-1.00,-1.0,2359
236,2135236,17200,-500,544,17215.86,28.11,-1.00,-1.0,2362
238,2135238,17032,-372,568,17045.53,28.06,-1.00,-1.0,2352
241,2135241,17056,-444,636,17073.63,28.06,-1.00,-1.0,2360
244,2135244,17136,-396,612,17151.50,28.01,-1.00,-1.0,2360
246,2135246,17092,-468,616,17109.50,28.01,-1.00,-1.0,2361
249,2135249,17080,-432,628,17097.00,28.06,-1.00,-1.0,2352
251,2135251,17168,-404,532,17180.99,28.15,-1.00,-1.0,2360
254,2135254,17192,-408,456,17202.88,28.20,-1.00,-1.0,2359
256,2135256,17052,-444,640,17069.78,28.11,-1.00,-1.0,2367
259,2135259,17148,-528,760,17172.95,28.01,-1.00,-1.0,2339
261,2135261,17012,-516,436,17025.41,28.06,-1.00,-1.0,2360
264,2135264,17208,-444,520,17221.58,28.06,-1.00,-1.0,2352
267,2135267,17060,-444,644,17077.92,28.01,-1.00,-1.0,2367
269,2135269,17044,-436,504,17057.02,28.01,-1.00,-1.0,2339
272,2135272,17124,-444,496,17136.94,28.06,-1.00,-1.0,2360
274,2135274,17140,-448,556,17154.87,28.15,-1.00,-1.0,2352
277,2135277,17204,-500,548,17219.99,28.11,-1.00,-1.0,2363
279,2135279,17084,-432,556,17098.50,28.11,-1.00,-1.0,2361
282,2135282,17056,-504,472,17069.97,28.11,-1.00,-1.0,2362
284,2135284,17064,-508,520,17079.48,28.06,-1.00,-1.0,2352
287,2135287,17144,-436,564,17158.81,28.15,-1.00,-1.0,2360
290,2135290,17148,-464,536,17162.65,28.11,-1.00,-1.0,2355
292,2135292,17132,-436,508,17145.07,28.11,-1.00,-1.0,2368
295,2135295,17068,-308,572,17080.36,28.06,-1.00,-1.0,2358
297,2135297,17044,-404,584,17058.79,28.06,-1.00,-1.0,2354
300,2135300,17064,-432,464,17075.77,28.11,-1.00,-1.0,2358
303,2135303,17116,-432,552,17130.35,28.01,-1.00,-1.0,2356
306,2135306,17080,-508,568,17096.99,28.11,-1.00,-1.0,2359
309,2135309,17132,-368,596,17146.31,28.11,-1.00,-1.0,2356
312,2135312,17032,-652,620,17055.75,28.11,-1.00,-1.0,2358
315,2135315,17112,-368,436,17121.51,28.01,-1.00,-1.0,2355
318,2135318,16972,-404,640,16988.87,28.01,-1.00,-1.0,2358
321,2135321,17096,-488,672,17116.16,28.11,-1.00,-1.0,2355
324,2135324,17136,-484,612,17153.75,28.11,-1.00,-1.0,2358
327,2135327,16952,-428,688,16971.35,28.11,-1.00,-1.0,2356
330,2135330,17060,-376,600,17074.69,28.11,-1.00,-1.0,2358
333,2135333,17148,-520,608,17166.65,28.11,-1.00,-1.0,2355
336,2135336,17168,-484,520,17182.69,28.01,-1.00,-1.0,2366
339,2135339,17072,-540,608,17091.36,28.11,-1.00,-1.0,2364
342,2135342,17232,-472,484,17245.26,28.01,-1.00,-1.0,2360
345,2135345,17072,-464,476,17084.94,28.20,-1.00,-1.0,2368
348,2135348,17104,-412,580,17118.79,28.11,-1.00,-1.0,2365
351,2135351,17104,-480,712,17125.54,28.11,-1.00,-1.0,2368
354,2135354,17092,-416,688,17110.90,28.11,-1.00,-1.0,2365
357,2135357,17112,-488,616,17130.04,28.11,-1.00,-1.0,2366
360,2135360,17152,-360,544,17164.40,28.11,-1.00,-1.0,2366
363,2135363,17104,-356,284,17110.06,28.06,-1.00,-1.0,2367
366,2135366,17116,-568,592,17135.65,28.06,-1.00,-1.0,2374
369,2135369,17060,-468,624,17077.82,28.06,-1.00,-1.0,2375
372,2135372,17144,-532,552,17161.13,28.06,-1.00,-1.0,2372
375,2135375,17168,-520,656,17188.40,28.06,-1.00,-1.0,2374
378,2135378,17116,-460,652,17134.59,28.06,-1.00,-1.0,2372
381,2135381,17152,-472,536,17166.86,28.15,-1.00,-1.0,2375
384,2135384,17204,-428,564,17218.56,28.15,-1.00,-1.0,2365
387,2135387,17092,-396,536,17104.99,28.15,-1.00,-1.0,2367
390,2135390,17136,-400,608,17151.45,28.15,-1.00,-1.0,2365
393,2135393,17084,-420,496,17096.36,28.06,-1.00,-1.0,2368
396,2135396,17112,-548,440,17126.43,28.06,-1.00,-1.0,2365
399,2135399,17048,-372,580,17061.92,28.06,-1.00,-1.0,2368
402,2135402,17092,-432,664,17110.35,27.97,-1.00,-1.0,2364
405,2135405,17108,-416,720,17128.20,28.06,-1.00,-1.0,2368
408,2135408,17168,-448,628,17185.32,28.15,-1.00,-1.0,2365
411,2135411,17040,-504,684,17061.17,28.06,-1.00,-1.0,2362
414,2135414,17076,-460,516,17089.99,28.06,-1.00,-1.0,2360
417,2135417,17076,-388,572,17089.98,28.06,-1.00,-1.0,2363
420,2135420,17088,-464,448,17100.17,28.06,-1.00,-1.0,2360
423,2135423,17120,-432,520,17133.34,28.15,-1.00,-1.0,2348
435,2135435,17124,-440,544,17138.29,28.15,-1.00,-1.0,2460
438,2135438,17048,-404,484,17059.65,28.15,-1.00,-1.0,2367
440,2135440,17168,-420,624,17184.47,28.06,-1.00,-1.0,2363
443,2135443,17124,-552,548,17141.66,28.11,-1.00,-1.0,2342
445,2135445,17092,-444,632,17109.44,28.11,-1.00,-1.0,2354
448,2135448,17064,-432,564,17078.78,28.06,-1.00,-1.0,2355
451,2135451,17028,-492,632,17046.83,28.06,-1.00,-1.0,2360
453,2135453,17208,-384,520,17220.14,28.11,-1.00,-1.0,2354
456,2135456,17272,-484,516,17286.48,28.11,-1.00,-1.0,2360
458,2135458,17176,-456,452,17188.00,28.15,-1.00,-1.0,2350
461,2135461,17152,-504,572,17168.93,28.06,-1.00,-1.0,2368
463,2135463,17120,-292,548,17131.26,28.11,-1.00,-1.0,2357
466,2135466,17072,-440,476,17084.30,28.01,-1.00,-1.0,2347
468,2135468,17128,-472,596,17144.87,28.01,-1.00,-1.0,2349
471,2135471,17124,-424,548,17138.01,28.06,-1.00,-1.0,2360
474,2135474,17084,-488,628,17102.50,28.15,-1.00,-1.0,2356
476,2135476,17080,-396,496,17091.79,28.11,-1.00,-1.0,2363
479,2135479,17036,-488,576,17052.72,28.11,-1.00,-1.0,2355
481,2135481,17156,-476,456,17168.66,28.06,-1.00,-1.0,2356
484,2135484,17076,-436,528,17089.72,28.06,-1.00,-1.0,2362
486,2135486,17176,-396,500,17187.84,28.01,-1.00,-1.0,2362
489,2135489,16980,-448,540,16994.49,28.11,-1.00,-1.0,2355
492,2135492,17056,-444,716,17076.79,28.11,-1.00,-1.0,2355
495,2135495,17064,-376,504,17075.58,28.11,-1.00,-1.0,2355
498,2135498,16996,-512,588,17013.87,28.11,-1.00,-1.0,2354
501,2135501,17208,-388,604,17222.97,28.20,-1.00,-1.0,2355
504,2135504,17148,-528,688,17169.92,28.15,-1.00,-1.0,2355
507,2135507,17060,-464,696,17080.49,28.15,-1.00,-1.0,2355
510,2135510,17112,-464,620,17129.51,28.15,-1.00,-1.0,2354
513,2135513,17092,-408,560,17106.04,28.06,-1.00,-1.0,2341
516,2135516,17044,-416,452,17055.07,28.06,-1.00,-1.0,2342
519,2135519,17152,-372,560,17165.17,28.06,-1.00,-1.0,2342
522,2135522,17200,-428,472,17211.80,28.06,-1.00,-1.0,2354
525,2135525,16984,-472,596,17001.01,28.06,-1.00,-1.0,2355
528,2135528,17168,-432,592,17183.63,28.15,-1.00,-1.0,2355
531,2135531,17060,-420,632,17076.87,28.06,-1.00,-1.0,2355
534,2135534,17084,-448,548,17098.66,28.06,-1.00,-1.0,2354
537,2135537,17036,-544,520,17052.61,28.06,-1.00,-1.0,2356
