timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,17000,840,1540,17090.27,25.42,-1.00,-1.0,2490
9,2135009,16968,300,1412,17029.29,25.47,-1.00,-1.0,2468
12,2135012,16932,-64,1484,16997.03,25.38,-1.00,-1.0,2364
15,2135015,16924,384,1436,16989.15,25.38,-1.00,-1.0,2369
18,2135018,16940,776,1484,17022.57,25.42,-1.00,-1.0,2432
20,2135020,17092,372,1412,17154.26,25.57,-1.00,-1.0,2366
23,2135023,17024,248,1304,17075.67,25.47,-1.00,-1.0,2433
26,2135026,17200,284,1384,17257.93,25.47,-1.00,-1.0,2363
28,2135028,17108,-44,1356,17161.71,25.38,-1.00,-1.0,2434
31,2135031,17064,-264,1408,17124.03,25.38,-1.00,-1.0,2366
36,2135036,16968,656,1612,17057.02,25.38,-1.00,-1.0,2454
39,2135039,17032,652,1396,17101.55,25.42,-1.00,-1.0,2360
42,2135042,17032,564,1264,17088.15,25.38,-1.00,-1.0,2454
44,2135044,17020,516,1408,17085.93,25.42,-1.00,-1.0,2367
47,2135047,16936,348,1280,16987.87,25.47,-1.00,-1.0,2362
50,2135050,17068,160,1324,17120.02,25.38,-1.00,-1.0,2437
52,2135052,16904,172,1272,16952.66,25.38,-1.00,-1.0,2360
55,2135055,17068,340,1468,17134.39,25.38,-1.00,-1.0,2441
58,2135058,17100,296,1404,17160.09,25.47,-1.00,-1.0,2346
63,2135063,16980,260,1544,17052.04,25.52,-1.00,-1.0,2453
65,2135065,17072,168,1488,17137.55,25.42,-1.00,-1.0,2357
68,2135068,16992,216,1680,17076.21,25.47,-1.00,-1.0,2454
71,2135071,17036,4,1540,17105.46,25.42,-1.00,-1.0,2358
74,2135074,17096,-16,1628,17173.35,25.42,-1.00,-1.0,2365
76,2135076,17068,160,1416,17127.38,25.38,-1.00,-1.0,2437
79,2135079,17052,384,1348,17109.51,25.42,-1.00,-1.0,2378
82,2135082,17120,312,1312,17173.03,25.47,-1.00,-1.0,2444
85,2135085,16904,312,1476,16971.19,25.52,-1.00,-1.0,2364
90,2135090,16932,380,1436,16997.03,25.52,-1.00,-1.0,2447
92,2135092,16940,228,1500,17007.81,25.42,-1.00,-1.0,2359
95,2135095,16956,116,1660,17037.46,25.52,-1.00,-1.0,2441
98,2135098,16984,228,1532,17054.48,25.42,-1.00,-1.0,2363
100,2135100,17080,264,1656,17162.12,25.52,-1.00,-1.0,2360
103,2135103,17020,36,1568,17092.11,25.47,-1.00,-1.0,2456
106,2135106,17072,-88,1504,17138.35,25.42,-1.00,-1.0,2368
109,2135109,16988,-44,1452,17050.00,25.38,-1.00,-1.0,2451
111,2135111,17052,88,1592,17126.38,25.33,-1.00,-1.0,2358
116,2135116,17040,392,1560,17115.75,25.42,-1.00,-1.0,2450
119,2135119,17048,592,1516,17125.51,25.38,-1.00,-1.0,2358
122,2135122,16944,480,1608,17026.90,25.33,-1.00,-1.0,2447
124,2135124,16884,548,1468,16956.56,25.52,-1.00,-1.0,2359
127,2135127,16888,456,1408,16952.73,25.42,-1.00,-1.0,2361
130,2135130,17140,332,1460,17205.27,25.38,-1.00,-1.0,2446
132,2135132,17048,136,1360,17102.70,25.33,-1.00,-1.0,2347
135,2135135,17080,252,1492,17146.89,25.42,-1.00,-1.0,2441
138,2135138,17096,356,1504,17165.72,25.42,-1.00,-1.0,2358
143,2135143,17052,120,1488,17117.22,25.47,-1.00,-1.0,2448
146,2135146,16992,184,1380,17048.94,25.33,-1.00,-1.0,2363
148,2135148,16900,168,1504,16967.62,25.42,-1.00,-1.0,2433
151,2135151,16928,196,1320,16980.52,25.47,-1.00,-1.0,2365
154,2135154,17076,160,1244,17122.00,25.47,-1.00,-1.0,2440
157,2135157,16996,292,1276,17046.33,25.38,-1.00,-1.0,2365
159,2135159,17060,336,1356,17117.10,25.42,-1.00,-1.0,2356
162,2135162,17016,444,1444,17082.93,25.52,-1.00,-1.0,2438
165,2135165,17044,428,1636,17127.69,25.38,-1.00,-1.0,2365
170,2135170,17004,560,1736,17101.56,25.38,-1.00,-1.0,2435
173,2135173,17000,504,1740,17096.25,25.38,-1.00,-1.0,2365
175,2135175,17104,292,1424,17165.66,25.42,-1.00,-1.0,2450
178,2135178,17044,188,1544,17114.82,25.47,-1.00,-1.0,2365
181,2135181,17108,68,1304,17157.76,25.47,-1.00,-1.0,2428
183,2135183,17004,0,1412,17062.53,25.47,-1.00,-1.0,2359
186,2135186,16976,140,1396,17033.88,25.38,-1.00,-1.0,2368
189,2135189,16940,308,1180,16983.84,25.52,-1.00,-1.0,2443
192,2135192,16988,320,1260,17037.67,25.52,-1.00,-1.0,2363
197,2135197,17012,272,1224,17058.14,25.42,-1.00,-1.0,2449
200,2135200,16988,196,1436,17049.71,25.42,-1.00,-1.0,2357
202,2135202,16992,400,1492,17062.07,25.42,-1.00,-1.0,2440
205,2135205,17036,504,1572,17115.80,25.52,-1.00,-1.0,2367
208,2135208,17028,540,1688,17119.98,25.42,-1.00,-1.0,2439
211,2135211,17080,396,1596,17158.97,25.42,-1.00,-1.0,2367
213,2135213,17004,448,1624,17087.25,25.52,-1.00,-1.0,2446
216,2135216,17104,256,1592,17179.84,25.42,-1.00,-1.0,2374
219,2135219,17016,232,1576,17090.40,25.42,-1.00,-1.0,2361
224,2135224,17056,392,1536,17129.51,25.47,-1.00,-1.0,2455
226,2135226,17052,468,1516,17125.65,25.47,-1.00,-1.0,2360
229,2135229,16912,296,1360,16969.18,25.47,-1.00,-1.0,2441
232,2135232,16904,172,1348,16958.54,25.38,-1.00,-1.0,2359
235,2135235,17036,80,1384,17092.31,25.38,-1.00,-1.0,2447
237,2135237,16940,204,1188,16982.83,25.52,-1.00,-1.0,2359
240,2135240,16992,256,1460,17056.53,25.47,-1.00,-1.0,2440
243,2135243,17080,304,1420,17141.62,25.47,-1.00,-1.0,2358
248,2135248,17116,164,1548,17186.64,25.38,-1.00,-1.0,2455
250,2135250,17004,104,1724,17091.49,25.47,-1.00,-1.0,2360
253,2135253,17152,188,1624,17229.74,25.38,-1.00,-1.0,2362
256,2135256,17044,248,1652,17125.67,25.47,-1.00,-1.0,2446
258,2135258,17028,448,1620,17110.75,25.47,-1.00,-1.0,2360
261,2135261,17060,412,1548,17135.04,25.52,-1.00,-1.0,2445
264,2135264,16972,368,1448,17037.63,25.38,-1.00,-1.0,2360
267,2135267,16976,164,1428,17036.74,25.52,-1.00,-1.0,2439
270,2135270,16948,200,1480,17013.67,25.47,-1.00,-1.0,2363
275,2135275,16896,256,1256,16944.55,25.47,-1.00,-1.0,2451
278,2135278,16924,416,1584,17003.05,25.47,-1.00,-1.0,2364
280,2135280,17092,440,1520,17165.09,25.47,-1.00,-1.0,2434
283,2135283,17036,364,1488,17104.73,25.38,-1.00,-1.0,2363
286,2135286,17124,412,1476,17192.43,25.38,-1.00,-1.0,2363
289,2135289,17036,360,1516,17107.11,25.52,-1.00,-1.0,2441
291,2135291,17060,476,1336,17118.85,25.47,-1.00,-1.0,2359
294,2135294,17036,372,1480,17104.21,25.33,-1.00,-1.0,2456
297,2135297,16928,292,1380,16986.67,25.52,-1.00,-1.0,2357
302,2135302,16944,288,1340,16999.34,25.38,-1.00,-1.0,2448
305,2135305,17072,288,1380,17130.11,25.47,-1.00,-1.0,2364
