timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,17032,812,-468,17057.77,31.26,-1.00,-1.0,2478
9,2135009,17124,352,-632,17139.27,31.31,-1.00,-1.0,2461
11,2135011,16892,572,-1004,16931.47,31.21,-1.00,-1.0,2367
14,2135014,17164,520,-360,17175.65,31.21,-1.00,-1.0,2361
17,2135017,17132,404,304,17139.46,31.21,-1.00,-1.0,2442
19,2135019,17100,716,-244,17116.72,31.31,-1.00,-1.0,2347
22,2135022,17036,356,-620,17050.99,31.26,-1.00,-1.0,2439
25,2135025,17028,312,-640,17042.88,31.31,-1.00,-1.0,2360
28,2135028,17104,512,-444,17117.42,31.21,-1.00,-1.0,2445
30,2135030,17108,380,44,17112.28,31.21,-1.00,-1.0,2360
35,2135035,16860,632,-484,16878.78,31.35,-1.00,-1.0,2446
38,2135038,17136,336,-244,17141.03,31.31,-1.00,-1.0,2361
41,2135041,17228,152,-8,17228.67,31.26,-1.00,-1.0,2361
43,2135043,17148,356,36,17151.73,31.26,-1.00,-1.0,2443
46,2135046,17116,736,-668,17144.84,31.26,-1.00,-1.0,2366
49,2135049,17056,360,-132,17060.31,31.26,-1.00,-1.0,2445
52,2135052,17068,304,-272,17072.87,31.26,-1.00,-1.0,2360
54,2135054,17164,376,-368,17172.06,31.26,-1.00,-1.0,2455
57,2135057,17144,456,-316,17152.97,31.26,-1.00,-1.0,2361
62,2135062,17088,296,-372,17094.61,31.21,-1.00,-1.0,2450
65,2135065,16972,560,-684,16995.01,31.21,-1.00,-1.0,2365
67,2135067,17112,372,-336,17119.34,31.26,-1.00,-1.0,2358
70,2135070,17052,336,-124,17055.76,31.26,-1.00,-1.0,2438
73,2135073,16996,684,-192,17010.84,31.31,-1.00,-1.0,2373
76,2135076,17076,504,-308,17086.21,31.26,-1.00,-1.0,2431
78,2135078,17008,356,-556,17020.81,31.21,-1.00,-1.0,2352
81,2135081,17176,220,20,17177.42,31.35,-1.00,-1.0,2432
84,2135084,17148,416,-336,17156.34,31.31,-1.00,-1.0,2366
89,2135089,16984,424,-348,16992.86,31.31,-1.00,-1.0,2450
91,2135091,16932,648,-640,16956.48,31.21,-1.00,-1.0,2367
94,2135094,17032,396,-172,17037.47,31.31,-1.00,-1.0,2361
97,2135097,17204,544,-56,17212.69,31.21,-1.00,-1.0,2443
99,2135099,17076,612,-324,17090.04,31.31,-1.00,-1.0,2363
102,2135102,17040,120,-40,17040.47,31.35,-1.00,-1.0,2439
105,2135105,17088,556,-632,17108.72,31.21,-1.00,-1.0,2361
108,2135108,17176,332,-348,17182.73,31.31,-1.00,-1.0,2441
110,2135110,17208,348,52,17211.60,31.31,-1.00,-1.0,2368
115,2135115,17016,268,-148,17018.75,31.31,-1.00,-1.0,2454
118,2135118,17008,260,-280,17012.29,31.31,-1.00,-1.0,2367
121,2135121,17008,556,-468,17023.52,31.21,-1.00,-1.0,2362
123,2135123,16992,416,-420,17002.28,31.26,-1.00,-1.0,2432
126,2135126,17100,476,-400,17111.30,31.21,-1.00,-1.0,2369
129,2135129,17120,484,-200,17128.01,31.21,-1.00,-1.0,2439
132,2135132,17192,492,-236,17200.66,31.21,-1.00,-1.0,2364
134,2135134,17184,396,0,17188.56,31.21,-1.00,-1.0,2426
137,2135137,17068,408,-276,17075.11,31.31,-1.00,-1.0,2361
142,2135142,17036,412,-280,17043.28,31.31,-1.00,-1.0,2454
145,2135145,17052,336,-488,17062.29,31.21,-1.00,-1.0,2362
148,2135148,17080,404,-336,17088.08,31.31,-1.00,-1.0,2454
150,2135150,17072,508,-548,17088.35,31.31,-1.00,-1.0,2365
153,2135153,17140,368,-164,17144.73,31.21,-1.00,-1.0,2362
156,2135156,17132,560,-328,17144.29,31.21,-1.00,-1.0,2430
158,2135158,16968,588,-376,16982.35,31.21,-1.00,-1.0,2372
161,2135161,16952,528,-416,16965.32,31.26,-1.00,-1.0,2431
164,2135164,17060,516,-572,17077.38,31.26,-1.00,-1.0,2366
169,2135169,17072,348,-140,17076.12,31.26,-1.00,-1.0,2451
172,2135172,17084,252,-300,17088.49,31.31,-1.00,-1.0,2363
175,2135175,17156,436,-480,17168.25,31.21,-1.00,-1.0,2449
177,2135177,17040,500,-456,17053.43,31.31,-1.00,-1.0,2372
180,2135180,17072,444,-312,17080.62,31.26,-1.00,-1.0,2445
183,2135183,17068,428,-408,17078.24,31.21,-1.00,-1.0,2363
185,2135185,17052,484,-356,17062.58,31.26,-1.00,-1.0,2355
188,2135188,17028,552,-276,17039.18,31.26,-1.00,-1.0,2431
191,2135191,17144,408,-376,17152.98,31.26,-1.00,-1.0,2367
196,2135196,17192,472,-336,17201.76,31.26,-1.00,-1.0,2445
199,2135199,17120,452,-204,17127.18,31.17,-1.00,-1.0,2362
202,2135202,17096,392,-352,17104.12,31.26,-1.00,-1.0,2431
204,2135204,17048,368,-200,17053.14,31.35,-1.00,-1.0,2373
207,2135207,17056,652,-384,17072.78,31.26,-1.00,-1.0,2432
210,2135210,16984,408,-300,16991.55,31.31,-1.00,-1.0,2353
212,2135212,17008,480,-328,17017.93,31.26,-1.00,-1.0,2345
215,2135215,17000,532,-404,17013.12,31.21,-1.00,-1.0,2440
218,2135218,17060,344,-148,17064.11,31.26,-1.00,-1.0,2361
223,2135223,16980,304,-364,16986.62,31.26,-1.00,-1.0,2445
226,2135226,17052,420,-432,17062.64,31.26,-1.00,-1.0,2347
229,2135229,17180,428,-356,17189.02,31.26,-1.00,-1.0,2444
231,2135231,17104,384,-344,17111.77,31.26,-1.00,-1.0,2350
234,2135234,17108,456,-168,17114.90,31.26,-1.00,-1.0,2438
237,2135237,17112,460,-148,17118.82,31.35,-1.00,-1.0,2360
240,2135240,16972,492,-320,16982.14,31.26,-1.00,-1.0,2448
242,2135242,17056,396,-308,17063.38,31.35,-1.00,-1.0,2371
245,2135245,17008,408,-332,17016.13,31.21,-1.00,-1.0,2362
250,2135250,17012,552,-384,17025.29,31.12,-1.00,-1.0,2445
253,2135253,17032,504,-272,17041.63,31.31,-1.00,-1.0,2362
256,2135256,17084,380,-452,17094.20,31.31,-1.00,-1.0,2438
258,2135258,17144,500,-408,17156.14,31.21,-1.00,-1.0,2361
261,2135261,17092,356,-348,17099.25,31.21,-1.00,-1.0,2436
264,2135264,16936,432,-308,16944.31,31.21,-1.00,-1.0,2365
267,2135267,17176,400,-376,17184.77,31.21,-1.00,-1.0,2431
269,2135269,17072,452,-452,17083.96,31.31,-1.00,-1.0,2370
274,2135274,17108,492,-160,17115.82,31.21,-1.00,-1.0,2446
277,2135277,17080,520,-140,17088.49,31.35,-1.00,-1.0,2360
279,2135279,17080,452,-192,17087.06,31.21,-1.00,-1.0,2360
282,2135282,17068,436,-380,17077.80,31.40,-1.00,-1.0,2434
285,2135285,17036,328,-420,17044.33,31.31,-1.00,-1.0,2366
288,2135288,17052,268,-132,17054.62,31.21,-1.00,-1.0,2439
290,2135290,17152,404,-348,17160.29,31.31,-1.00,-1.0,2360
293,2135293,17152,456,-212,17159.37,31.17,-1.00,-1.0,2446
296,2135296,17060,520,-228,17069.45,31.26,-1.00,-1.0,2367
301,2135301,17044,484,-212,17052.19,31.31,-1.00,-1.0,2447
304,2135304,17012,448,-340,17021.29,31.21,-1.00,-1.0,2360
307,2135307,17044,472,-344,17054.00,31.21,-1.00,-1.0,2444
309,2135309,17024,548,-320,17035.82,31.21,-1.00,-1.0,2362
312,2135312,17084,588,-332,17097.34,31.31,-1.00,-1.0,2362
315,2135315,17012,460,-364,17022.11,31.26,-1.00,-1.0,2443
317,2135317,17096,468,-404,17107.18,31.31,-1.00,-1.0,2348
320,2135320,17016,384,-304,17023.05,31.26,-1.00,-1.0,2444
323,2135323,17252,316,-316,17257.79,31.26,-1.00,-1.0,2373
328,2135328,17160,420,-380,17169.35,31.17,-1.00,-1.0,2445
331,2135331,17064,360,-256,17069.72,31.31,-1.00,-1.0,2361
334,2135334,17072,476,-312,17081.48,31.26,-1.00,-1.0,2444
336,2135336,17032,428,-376,17041.53,31.21,-1.00,-1.0,2362
339,2135339,17016,524,-396,17028.67,31.26,-1.00,-1.0,2440
342,2135342,17088,552,-316,17099.83,31.21,-1.00,-1.0,2362
345,2135345,17108,476,-336,17117.92,31.21,-1.00,-1.0,2361
347,2135347,17112,380,-440,17121.87,31.31,-1.00,-1.0,2433
350,2135350,17136,444,-152,17142.43,31.26,-1.00,-1.0,2375
355,2135355,17048,368,-192,17053.05,31.26,-1.00,-1.0,2453
358,2135358,16972,332,-224,16976.72,31.26,-1.00,-1.0,2362
361,2135361,17052,432,-252,17059.33,31.26,-1.00,-1.0,2446
364,2135364,17104,444,-364,17113.63,31.21,-1.00,-1.0,2362
