timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,17036,-348,1004,17069.11,30.04,-1.00,-1.0,2506
9,2135009,17196,-224,1088,17231.84,29.99,-1.00,-1.0,2473
11,2135011,17052,-548,1128,17098.05,30.08,-1.00,-1.0,2380
14,2135014,16888,-240,1612,16966.46,30.04,-1.00,-1.0,2445
17,2135017,17000,-260,1492,17067.33,30.04,-1.00,-1.0,2380
20,2135020,17356,124,1916,17461.88,29.94,-1.00,-1.0,2369
22,2135022,17004,-416,1912,17116.21,29.99,-1.00,-1.0,2436
25,2135025,17144,412,1576,17221.21,29.99,-1.00,-1.0,2376
28,2135028,16976,48,1600,17051.30,30.08,-1.00,-1.0,2435
31,2135031,16972,716,1640,17066.08,29.99,-1.00,-1.0,2372
35,2135035,17140,268,1312,17192.23,30.04,-1.00,-1.0,2448
38,2135038,16956,-352,1476,17023.76,29.99,-1.00,-1.0,2374
41,2135041,16952,-176,852,16974.31,29.99,-1.00,-1.0,2435
44,2135044,17068,-592,1284,17126.46,29.99,-1.00,-1.0,2375
46,2135046,16908,-744,968,16952.02,30.04,-1.00,-1.0,2374
49,2135049,17044,-868,1000,17095.36,29.94,-1.00,-1.0,2445
52,2135052,17200,-460,1056,17238.53,29.94,-1.00,-1.0,2381
55,2135055,17168,-644,1360,17233.82,29.99,-1.00,-1.0,2442
57,2135057,17124,-248,1392,17182.27,29.94,-1.00,-1.0,2381
62,2135062,16964,-256,1064,16999.26,29.94,-1.00,-1.0,2458
65,2135065,16948,-348,1216,16995.13,30.04,-1.00,-1.0,2367
68,2135068,16920,-624,1140,16969.84,29.99,-1.00,-1.0,2434
71,2135071,17012,-300,1344,17067.64,29.99,-1.00,-1.0,2369
73,2135073,17016,-324,1284,17067.45,29.99,-1.00,-1.0,2436
76,2135076,16940,-488,1140,16985.33,29.99,-1.00,-1.0,2375
79,2135079,17264,-700,1320,17328.53,29.94,-1.00,-1.0,2378
82,2135082,17220,-644,1256,17277.75,29.94,-1.00,-1.0,2444
84,2135084,17260,-692,1392,17329.86,29.94,-1.00,-1.0,2380
89,2135089,17036,-516,1488,17108.64,29.94,-1.00,-1.0,2451
92,2135092,16928,-488,1380,16991.17,29.94,-1.00,-1.0,2382
95,2135095,16880,-100,1268,16927.85,30.08,-1.00,-1.0,2439
98,2135098,16820,-44,1444,16881.93,29.99,-1.00,-1.0,2383
100,2135100,16860,172,1400,16918.90,29.99,-1.00,-1.0,2436
103,2135103,16888,132,1424,16948.44,29.99,-1.00,-1.0,2374
106,2135106,16972,276,1564,17046.14,29.94,-1.00,-1.0,2378
109,2135109,17096,376,1608,17175.57,29.94,-1.00,-1.0,2435
111,2135111,17188,92,1580,17260.71,30.04,-1.00,-1.0,2377
116,2135116,17044,-308,1448,17108.17,29.94,-1.00,-1.0,2450
119,2135119,17024,-308,1292,17075.73,29.94,-1.00,-1.0,2377
122,2135122,16988,-248,1400,17047.39,29.89,-1.00,-1.0,2440
125,2135125,17076,-408,1184,17121.86,29.94,-1.00,-1.0,2377
127,2135127,16928,16,1072,16961.92,29.99,-1.00,-1.0,2443
130,2135130,16960,-284,1132,17000.11,29.99,-1.00,-1.0,2392
133,2135133,17012,-56,972,17039.84,29.89,-1.00,-1.0,2432
136,2135136,17000,-68,1316,17051.00,29.89,-1.00,-1.0,2372
138,2135138,16968,-160,1416,17027.73,29.94,-1.00,-1.0,2370
143,2135143,16908,-212,1408,16967.85,29.99,-1.00,-1.0,2448
146,2135146,17044,-372,1504,17114.27,29.99,-1.00,-1.0,2377
149,2135149,17068,-564,1284,17125.52,30.04,-1.00,-1.0,2435
152,2135152,16984,-864,1304,17055.88,30.04,-1.00,-1.0,2374
154,2135154,17004,-748,1100,17055.95,30.04,-1.00,-1.0,2435
157,2135157,17008,-792,1060,17059.39,29.94,-1.00,-1.0,2374
160,2135160,16988,-840,1016,17039.07,29.99,-1.00,-1.0,2435
163,2135163,17108,-748,1080,17158.37,29.94,-1.00,-1.0,2382
168,2135168,17060,-436,1108,17101.50,29.94,-1.00,-1.0,2456
170,2135170,17156,-376,1332,17211.74,30.04,-1.00,-1.0,2377
173,2135173,17128,-248,1416,17188.22,29.94,-1.00,-1.0,2449
176,2135176,17060,-356,1576,17136.34,29.99,-1.00,-1.0,2380
179,2135179,16960,-332,1592,17037.79,30.08,-1.00,-1.0,2370
181,2135181,16856,-340,1588,16934.05,29.94,-1.00,-1.0,2436
184,2135184,16856,-188,1412,16916.08,29.94,-1.00,-1.0,2376
187,2135187,16956,-172,1356,17011.00,29.94,-1.00,-1.0,2434
190,2135190,17220,-64,1244,17264.99,30.04,-1.00,-1.0,2372
195,2135195,16988,-128,1300,17038.15,29.94,-1.00,-1.0,2447
197,2135197,17100,-188,1300,17150.38,30.04,-1.00,-1.0,2376
200,2135200,17048,-260,1556,17120.84,29.99,-1.00,-1.0,2484
203,2135203,17008,-132,1436,17069.02,29.89,-1.00,-1.0,2374
206,2135206,17080,44,1492,17145.10,30.04,-1.00,-1.0,2440
209,2135209,17084,196,1472,17148.42,29.94,-1.00,-1.0,2370
211,2135211,16948,236,1448,17011.38,29.99,-1.00,-1.0,2437
214,2135214,17020,200,1568,17093.24,30.04,-1.00,-1.0,2372
217,2135217,16972,-4,1536,17041.37,29.99,-1.00,-1.0,2376
222,2135222,16916,-228,1396,16975.04,30.04,-1.00,-1.0,2451
224,2135224,16956,-372,1212,17003.33,29.94,-1.00,-1.0,2381
227,2135227,17016,-408,1308,17071.07,29.94,-1.00,-1.0,2429
230,2135230,17056,-436,1180,17102.33,29.94,-1.00,-1.0,2370
233,2135233,17060,-556,1184,17110.07,30.04,-1.00,-1.0,2443
235,2135235,17116,-360,1164,17159.31,29.94,-1.00,-1.0,2371
238,2135238,17080,-376,1196,17125.95,30.04,-1.00,-1.0,2440
241,2135241,16956,-388,1264,17007.47,29.99,-1.00,-1.0,2370
246,2135246,16944,-424,1124,16986.53,30.04,-1.00,-1.0,2445
248,2135248,16956,-232,960,16984.74,29.85,-1.00,-1.0,2375
251,2135251,16964,-228,1132,17003.26,29.94,-1.00,-1.0,2370
254,2135254,16976,-288,1136,17016.40,29.89,-1.00,-1.0,2448
256,2135256,17052,-260,1152,17092.85,29.99,-1.00,-1.0,2373
259,2135259,17144,-424,1208,17191.74,30.04,-1.00,-1.0,2447
262,2135262,17020,-636,1080,17066.09,29.99,-1.00,-1.0,2387
265,2135265,17084,-484,1232,17135.20,29.94,-1.00,-1.0,2440
268,2135268,17200,-592,1184,17250.87,29.94,-1.00,-1.0,2374
273,2135273,17144,-500,1468,17214.00,29.94,-1.00,-1.0,2452
275,2135275,17076,-568,1524,17153.28,30.04,-1.00,-1.0,2383
278,2135278,16892,-340,1276,16943.54,29.94,-1.00,-1.0,2441
281,2135281,16828,-380,1424,16892.42,30.04,-1.00,-1.0,2373
284,2135284,16932,-308,1280,16983.11,30.08,-1.00,-1.0,2446
286,2135286,16984,-136,1440,17045.48,29.94,-1.00,-1.0,2374
289,2135289,16988,8,1372,17043.31,29.99,-1.00,-1.0,2371
292,2135292,16880,-24,1388,16936.99,29.94,-1.00,-1.0,2444
295,2135295,17036,-280,1464,17101.08,29.99,-1.00,-1.0,2371
299,2135299,17092,-280,1500,17159.98,29.89,-1.00,-1.0,2446
302,2135302,17096,-336,1560,17170.31,29.99,-1.00,-1.0,2373
305,2135305,17104,-432,1368,17164.06,29.94,-1.00,-1.0,2457
308,2135308,17092,-276,1420,17153.11,29.94,-1.00,-1.0,2374
311,2135311,17080,-452,1224,17129.77,29.94,-1.00,-1.0,2445
313,2135313,17024,-280,1364,17080.85,29.94,-1.00,-1.0,2377
316,2135316,16968,-296,1208,17013.52,29.94,-1.00,-1.0,2437
319,2135319,17056,-236,1404,17115.32,29.94,-1.00,-1.0,2372
324,2135324,17032,-152,1296,17081.91,29.94,-1.00,-1.0,2453
327,2135327,17128,-88,1400,17185.35,30.04,-1.00,-1.0,2376
329,2135329,17044,-220,1472,17108.86,30.04,-1.00,-1.0,2371
332,2135332,16932,-296,1332,16986.89,29.89,-1.00,-1.0,2442
335,2135335,16960,-268,1280,17010.34,29.99,-1.00,-1.0,2377
338,2135338,16992,-428,1304,17047.34,29.94,-1.00,-1.0,2439
340,2135340,16940,-384,1404,17002.42,29.94,-1.00,-1.0,2373
343,2135343,17024,-452,1332,17082.01,30.04,-1.00,-1.0,2447
346,2135346,17000,-304,1308,17052.96,29.94,-1.00,-1.0,2378
351,2135351,17100,-292,1288,17150.92,29.94,-1.00,-1.0,2453
354,2135354,17108,-340,1348,17164.39,29.94,-1.00,-1.0,2371
