timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,17028,-368,1460,17094.44,28.67,-1.00,-1.0,2497
9,2135009,16996,-420,1200,17043.49,28.72,-1.00,-1.0,2476
12,2135012,17096,-384,1308,17150.26,28.81,-1.00,-1.0,2392
14,2135014,17088,-276,1324,17141.44,28.77,-1.00,-1.0,2435
17,2135017,16996,-228,1264,17044.46,28.67,-1.00,-1.0,2375
20,2135020,17080,-308,1252,17128.60,28.77,-1.00,-1.0,2374
23,2135023,16900,-264,1100,16937.82,28.62,-1.00,-1.0,2445
25,2135025,16992,-136,1168,17032.64,28.72,-1.00,-1.0,2384
28,2135028,16932,-224,1104,16969.43,28.81,-1.00,-1.0,2444
31,2135031,17052,-228,1116,17090.00,28.81,-1.00,-1.0,2376
36,2135036,17016,-184,1264,17063.88,28.81,-1.00,-1.0,2448
38,2135038,17088,-224,1104,17125.09,28.77,-1.00,-1.0,2437
41,2135041,17072,-264,1228,17118.14,28.81,-1.00,-1.0,2441
44,2135044,17028,-120,1264,17075.27,28.72,-1.00,-1.0,2407
47,2135047,16960,-236,1052,16994.23,28.77,-1.00,-1.0,2370
49,2135049,17008,-164,1028,17039.83,28.77,-1.00,-1.0,2419
52,2135052,17000,-216,1120,17038.22,28.77,-1.00,-1.0,2390
55,2135055,17092,-248,912,17118.11,28.72,-1.00,-1.0,2420
58,2135058,17044,-292,1188,17087.85,28.77,-1.00,-1.0,2399
63,2135063,17112,-336,1232,17159.58,28.81,-1.00,-1.0,2446
65,2135065,17092,-280,1264,17140.96,28.67,-1.00,-1.0,2380
68,2135068,17084,-332,1280,17135.10,28.81,-1.00,-1.0,2444
71,2135071,17084,-208,1272,17132.55,28.81,-1.00,-1.0,2373
74,2135074,16968,-320,1332,17023.21,28.91,-1.00,-1.0,2440
77,2135077,17000,-252,1264,17048.79,28.72,-1.00,-1.0,2387
79,2135079,16912,-432,1196,16959.74,28.77,-1.00,-1.0,2371
82,2135082,16972,-108,1324,17023.91,28.72,-1.00,-1.0,2437
85,2135085,16988,-296,1252,17036.64,28.77,-1.00,-1.0,2373
90,2135090,17048,-288,1360,17104.59,28.67,-1.00,-1.0,2437
92,2135092,16984,-368,1364,17042.66,28.77,-1.00,-1.0,2382
95,2135095,17132,-200,1320,17183.94,28.81,-1.00,-1.0,2440
98,2135098,17056,-428,1496,17126.83,28.81,-1.00,-1.0,2375
101,2135101,17000,-404,1380,17060.70,28.81,-1.00,-1.0,2443
103,2135103,16956,-348,1268,17006.91,28.72,-1.00,-1.0,2374
106,2135106,16940,-288,1440,17003.53,28.77,-1.00,-1.0,2447
109,2135109,17016,-304,1256,17065.00,28.72,-1.00,-1.0,2384
112,2135112,17056,-300,1336,17110.88,28.77,-1.00,-1.0,2370
117,2135117,16888,-188,1212,16932.48,28.72,-1.00,-1.0,2480
119,2135119,17060,-232,1208,17104.29,28.72,-1.00,-1.0,2378
122,2135122,17124,-272,1140,17164.06,28.67,-1.00,-1.0,2448
125,2135125,17024,-276,1232,17070.75,28.77,-1.00,-1.0,2378
128,2135128,17092,-300,1116,17131.02,28.86,-1.00,-1.0,2438
131,2135131,17052,-276,1316,17104.93,28.77,-1.00,-1.0,2374
133,2135133,16928,-224,1144,16968.09,28.72,-1.00,-1.0,2437
136,2135136,17084,-296,1072,17120.16,28.81,-1.00,-1.0,2372
141,2135141,17028,-408,1096,17068.11,28.72,-1.00,-1.0,2450
144,2135144,17012,-332,1260,17061.83,28.77,-1.00,-1.0,2359
147,2135147,16976,-308,1100,17014.39,28.72,-1.00,-1.0,2440
149,2135149,17076,-304,1120,17115.39,28.72,-1.00,-1.0,2375
152,2135152,17052,-308,1228,17098.93,28.81,-1.00,-1.0,2378
155,2135155,17044,-284,1176,17086.88,28.77,-1.00,-1.0,2431
158,2135158,17028,-340,1292,17080.33,28.72,-1.00,-1.0,2377
160,2135160,17012,-232,1288,17062.27,28.77,-1.00,-1.0,2440
163,2135163,17020,-272,1232,17066.70,28.77,-1.00,-1.0,2375
168,2135168,17016,-172,1168,17056.91,28.77,-1.00,-1.0,2450
171,2135171,16988,-128,1216,17031.95,28.67,-1.00,-1.0,2375
174,2135174,17120,-284,1120,17158.95,28.86,-1.00,-1.0,2439
177,2135177,17004,-308,1316,17057.63,28.77,-1.00,-1.0,2380
179,2135179,16964,-248,1264,17012.83,28.77,-1.00,-1.0,2426
182,2135182,17060,-352,1220,17107.19,28.67,-1.00,-1.0,2376
185,2135185,17048,-220,1268,17096.51,28.72,-1.00,-1.0,2436
188,2135188,17088,-472,1276,17142.07,28.72,-1.00,-1.0,2369
190,2135190,16964,-324,1368,17022.15,28.72,-1.00,-1.0,2374
195,2135195,17064,-264,1152,17104.88,28.81,-1.00,-1.0,2450
198,2135198,17104,-200,1252,17150.93,28.81,-1.00,-1.0,2374
201,2135201,16976,-316,1228,17023.29,28.77,-1.00,-1.0,2439
203,2135203,16960,-240,1176,17002.42,28.62,-1.00,-1.0,2374
206,2135206,16888,-232,1300,16939.55,28.77,-1.00,-1.0,2443
209,2135209,17000,-304,1324,17054.19,28.86,-1.00,-1.0,2372
212,2135212,16972,-368,1424,17035.61,28.77,-1.00,-1.0,2444
215,2135215,17060,-320,1404,17120.67,28.77,-1.00,-1.0,2378
219,2135219,17072,-248,1372,17128.84,28.81,-1.00,-1.0,2457
222,2135222,17072,-320,1232,17119.39,28.81,-1.00,-1.0,2373
225,2135225,16976,-312,1288,17027.65,28.81,-1.00,-1.0,2437
228,2135228,17064,-352,1268,17114.67,28.72,-1.00,-1.0,2373
230,2135230,17088,-268,1164,17129.70,28.77,-1.00,-1.0,2372
233,2135233,16968,-200,1296,17018.60,28.72,-1.00,-1.0,2451
236,2135236,17052,-360,1248,17101.40,28.67,-1.00,-1.0,2376
239,2135239,16948,-328,1184,16992.47,28.72,-1.00,-1.0,2446
241,2135241,17012,-332,1148,17053.92,28.81,-1.00,-1.0,2381
246,2135246,17064,-444,1212,17112.75,28.86,-1.00,-1.0,2450
249,2135249,16932,-312,1172,16975.38,28.77,-1.00,-1.0,2382
252,2135252,16992,-252,1212,17037.03,28.91,-1.00,-1.0,2447
254,2135254,17028,-324,1256,17077.33,28.72,-1.00,-1.0,2379
257,2135257,16964,-268,1172,17006.55,28.72,-1.00,-1.0,2439
260,2135260,17088,-272,1240,17135.09,28.72,-1.00,-1.0,2374
263,2135263,16936,-240,1212,16981.01,28.77,-1.00,-1.0,2442
265,2135265,17004,-252,1340,17058.58,28.91,-1.00,-1.0,2372
268,2135268,17028,-312,1332,17082.87,28.67,-1.00,-1.0,2370
273,2135273,16996,-424,1328,17053.08,28.77,-1.00,-1.0,2450
276,2135276,16984,-192,1188,17026.58,28.77,-1.00,-1.0,2379
279,2135279,17044,-328,1192,17088.78,28.81,-1.00,-1.0,2438
281,2135281,17076,-192,1284,17125.28,28.77,-1.00,-1.0,2376
284,2135284,17132,-248,1144,17171.94,28.81,-1.00,-1.0,2447
287,2135287,16956,-280,1152,16997.39,28.72,-1.00,-1.0,2375
290,2135290,16984,-348,1300,17037.23,28.72,-1.00,-1.0,2449
292,2135292,17052,-372,1300,17105.53,28.72,-1.00,-1.0,2381
297,2135297,16944,-364,1224,16992.05,28.81,-1.00,-1.0,2460
300,2135300,16976,-248,1308,17028.12,28.81,-1.00,-1.0,2377
303,2135303,16988,-248,1536,17059.10,28.77,-1.00,-1.0,2436
306,2135306,17116,-320,1356,17172.61,28.72,-1.00,-1.0,2371
308,2135308,17032,-348,1352,17089.12,28.77,-1.00,-1.0,2370
311,2135311,17060,-380,1320,17115.21,28.72,-1.00,-1.0,2439
314,2135314,17044,-420,1372,17104.29,28.77,-1.00,-1.0,2376
317,2135317,17036,-340,1204,17081.88,28.72,-1.00,-1.0,2448
319,2135319,17080,-292,1172,17122.65,28.72,-1.00,-1.0,2377
324,2135324,17004,-456,1260,17056.71,28.81,-1.00,-1.0,2449
327,2135327,17044,-232,1312,17096.00,28.72,-1.00,-1.0,2373
330,2135330,17008,-284,1176,17050.97,28.81,-1.00,-1.0,2425
333,2135333,17020,-308,1244,17068.18,28.81,-1.00,-1.0,2379
335,2135335,16968,-148,992,16997.62,28.72,-1.00,-1.0,2441
338,2135338,16980,-236,1160,17021.21,28.72,-1.00,-1.0,2377
341,2135341,17108,-208,1152,17148.00,28.77,-1.00,-1.0,2435
344,2135344,17088,-184,1076,17122.83,28.86,-1.00,-1.0,2368
346,2135346,16924,-140,1140,16962.93,28.67,-1.00,-1.0,2375
351,2135351,16964,-308,1220,17010.60,28.77,-1.00,-1.0,2449
354,2135354,17020,-204,1288,17069.88,28.67,-1.00,-1.0,2376
357,2135357,17056,-268,1200,17100.26,28.72,-1.00,-1.0,2446
359,2135359,17052,-284,1296,17103.54,28.72,-1.00,-1.0,2376
362,2135362,17092,-308,1148,17133.28,28.62,-1.00,-1.0,2449
365,2135365,17016,-264,1296,17067.32,28.72,-1.00,-1.0,2379
368,2135368,16304,-1068,4744,17013.72,28.67,-1.00,-1.0,2439
371,2135371,22492,32767,-28812,nan,28.81,-1.00,-1.0,2378
376,2135376,11792,-3000,-872,12198.84,28.81,-1.00,-1.0,2447
378,2135378,25808,19488,13096,34890.40,28.72,-1.00,-1.0,2383
381,2135381,12452,-9900,-8632,18099.00,28.77,-1.00,-1.0,2443
384,2135384,28012,20968,14456,37859.02,28.67,-1.00,-1.0,2373
386,2135386,20596,-7020,15156,26517.54,28.86,-1.00,-1.0,2370
389,2135389,19368,-11580,-3140,22783.23,28.72,-1.00,-1.0,2437
392,2135392,19176,21188,10224,30350.96,28.72,-1.00,-1.0,2376
395,2135395,23524,-11052,5148,26495.79,28.72,-1.00,-1.0,2444
