timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,305003,17052,-524,652,17072.50,30.93,-1.00,-1.0,2495
9,305009,17076,-568,652,17097.88,31.02,-1.00,-1.0,2455
12,305012,17072,-636,804,17102.75,30.93,-1.00,-1.0,2370
15,305015,17008,-496,620,17026.52,30.88,-1.00,-1.0,2367
17,305017,17072,-680,608,17096.35,30.88,-1.00,-1.0,2424
20,305020,17024,-652,748,17052.89,30.98,-1.00,-1.0,2368
23,305023,17068,-588,772,17095.56,30.98,-1.00,-1.0,2425
26,305026,17076,-576,620,17096.96,30.88,-1.00,-1.0,2365
28,305028,17032,-544,620,17051.96,30.88,-1.00,-1.0,2413
31,305031,16992,-640,700,17018.45,30.98,-1.00,-1.0,2380
36,305036,17048,-720,796,17081.75,31.02,-1.00,-1.0,2451
38,305038,17040,-648,596,17062.73,30.93,-1.00,-1.0,2363
41,305041,17104,-696,644,17130.27,30.98,-1.00,-1.0,2373
44,305044,17072,-576,632,17093.40,31.02,-1.00,-1.0,2424
47,305047,17000,-664,660,17025.76,30.98,-1.00,-1.0,2365
49,305049,17048,-668,800,17079.83,30.84,-1.00,-1.0,2426
52,305052,17136,-544,716,17159.58,30.98,-1.00,-1.0,2371
55,305055,16992,-616,664,17016.12,30.93,-1.00,-1.0,2423
58,305058,17072,-600,704,17097.04,30.98,-1.00,-1.0,2366
60,305060,17044,-604,612,17065.68,30.93,-1.00,-1.0,2367
65,305065,17052,-668,796,17083.63,30.93,-1.00,-1.0,2441
68,305068,17180,-552,844,17209.57,30.98,-1.00,-1.0,2369
71,305071,17068,-560,628,17088.73,30.93,-1.00,-1.0,2426
73,305073,17076,-608,676,17100.19,31.02,-1.00,-1.0,2371
76,305076,17016,-600,564,17035.91,30.93,-1.00,-1.0,2422
79,305079,17076,-688,588,17099.97,30.93,-1.00,-1.0,2371
82,305082,17088,-704,588,17112.60,30.93,-1.00,-1.0,2423
84,305084,17040,-628,868,17073.65,30.93,-1.00,-1.0,2370
87,305087,17100,-632,656,17124.24,30.93,-1.00,-1.0,2366
92,305092,17056,-680,512,17077.23,30.93,-1.00,-1.0,2441
95,305095,17112,-676,664,17138.21,31.02,-1.00,-1.0,2367
97,305097,17092,-580,724,17117.16,30.93,-1.00,-1.0,2422
100,305100,16940,-660,676,16966.32,31.02,-1.00,-1.0,2370
103,305103,17048,-656,696,17074.81,30.98,-1.00,-1.0,2423
106,305106,17060,-612,572,17080.55,30.93,-1.00,-1.0,2371
108,305108,16908,-592,608,16929.28,30.98,-1.00,-1.0,2371
111,305111,16976,-764,712,17008.09,31.07,-1.00,-1.0,2436
114,305114,17060,-568,780,17087.27,30.98,-1.00,-1.0,2369
119,305119,17096,-596,616,17117.47,30.88,-1.00,-1.0,2448
121,305121,17060,-544,668,17081.74,30.98,-1.00,-1.0,2368
124,305124,17144,-580,676,17167.12,31.02,-1.00,-1.0,2431
127,305127,17008,-648,684,17034.08,30.98,-1.00,-1.0,2376
130,305130,17056,-680,684,17083.25,30.93,-1.00,-1.0,2413
132,305132,17000,-548,736,17024.75,30.88,-1.00,-1.0,2369
135,305135,17044,-608,632,17066.55,31.02,-1.00,-1.0,2367
138,305138,17060,-576,812,17089.02,30.93,-1.00,-1.0,2423
141,305141,17024,-676,548,17046.23,30.93,-1.00,-1.0,2368
146,305146,17068,-700,660,17095.09,30.93,-1.00,-1.0,2444
148,305148,17068,-604,708,17093.35,30.88,-1.00,-1.0,2371
151,305151,17060,-576,712,17084.56,30.93,-1.00,-1.0,2430
154,305154,17112,-560,652,17133.57,30.93,-1.00,-1.0,2376
157,305157,16936,-532,744,16960.68,30.93,-1.00,-1.0,2423
160,305160,17032,-700,656,17059.00,30.93,-1.00,-1.0,2370
162,305162,17112,-592,812,17141.48,30.93,-1.00,-1.0,2425
165,305165,16988,-680,664,17014.57,31.12,-1.00,-1.0,2371
168,305168,17036,-632,792,17066.11,31.02,-1.00,-1.0,2367
173,305173,17140,-676,632,17164.96,30.93,-1.00,-1.0,2445
176,305176,17112,-700,540,17134.82,31.02,-1.00,-1.0,2375
178,305178,17080,-588,788,17108.28,31.02,-1.00,-1.0,2423
181,305181,17060,-600,712,17085.39,30.93,-1.00,-1.0,2373
184,305184,17144,-704,756,17175.10,30.93,-1.00,-1.0,2423
187,305187,17140,-652,568,17161.80,30.93,-1.00,-1.0,2371
189,305189,17000,-660,672,17026.07,30.88,-1.00,-1.0,2422
192,305192,17004,-600,652,17027.07,30.93,-1.00,-1.0,2371
195,305195,17036,-668,668,17062.17,31.07,-1.00,-1.0,2367
200,305200,17052,-588,792,17080.51,31.02,-1.00,-1.0,2442
203,305203,16984,-748,656,17013.12,31.02,-1.00,-1.0,2368
205,305205,17080,-656,660,17105.33,30.98,-1.00,-1.0,2422
208,305208,16980,-544,716,17003.79,30.93,-1.00,-1.0,2370
211,305211,17044,-600,756,17071.30,30.88,-1.00,-1.0,2410
214,305214,17092,-604,716,17117.65,30.93,-1.00,-1.0,2368
216,305216,17036,-656,688,17062.50,30.88,-1.00,-1.0,2423
219,305219,17060,-576,696,17083.90,30.93,-1.00,-1.0,2368
222,305222,16952,-696,620,16977.61,30.88,-1.00,-1.0,2367
227,305227,16972,-724,676,17000.88,31.02,-1.00,-1.0,2450
229,305229,16964,-640,652,16988.58,30.98,-1.00,-1.0,2368
232,305232,17120,-588,624,17141.46,30.93,-1.00,-1.0,2435
235,305235,17084,-588,732,17109.78,30.93,-1.00,-1.0,2370
238,305238,17076,-604,768,17103.93,31.02,-1.00,-1.0,2432
240,305240,17108,-632,488,17126.62,31.02,-1.00,-1.0,2368
243,305243,17080,-464,720,17101.46,30.93,-1.00,-1.0,2434
246,305246,17128,-524,676,17149.34,30.93,-1.00,-1.0,2376
249,305249,16924,-632,632,16947.58,30.98,-1.00,-1.0,2367
254,305254,17060,-720,752,17091.74,31.12,-1.00,-1.0,2443
256,305256,17020,-568,668,17042.57,30.98,-1.00,-1.0,2374
259,305259,16996,-612,532,17015.33,30.88,-1.00,-1.0,2422
262,305262,17008,-704,812,17041.92,30.98,-1.00,-1.0,2371
265,305265,17116,-576,632,17137.35,30.98,-1.00,-1.0,2424
267,305267,17088,-656,640,17112.56,30.88,-1.00,-1.0,2369
270,305270,17092,-704,660,17119.22,30.98,-1.00,-1.0,2422
273,305273,17104,-520,636,17123.72,30.93,-1.00,-1.0,2368
276,305276,16936,-720,632,16963.07,30.93,-1.00,-1.0,2367
281,305281,17052,-560,580,17071.05,31.02,-1.00,-1.0,2441
284,305284,17092,-652,600,17114.95,30.88,-1.00,-1.0,2367
286,305286,17072,-616,688,17096.96,31.02,-1.00,-1.0,2422
289,305289,16940,-576,708,16964.57,30.93,-1.00,-1.0,2370
292,305292,16984,-600,616,17005.76,30.93,-1.00,-1.0,2422
295,305295,17020,-548,732,17044.54,30.84,-1.00,-1.0,2376
297,305297,17052,-560,660,17073.95,30.93,-1.00,-1.0,2423
300,305300,17024,-564,552,17042.28,30.93,-1.00,-1.0,2370
303,305303,17140,-668,684,17166.64,30.93,-1.00,-1.0,2375
308,305308,16944,-592,660,16967.18,30.84,-1.00,-1.0,2442
311,305311,17088,-636,648,17112.11,30.93,-1.00,-1.0,2375
314,305314,17196,-624,568,17216.69,30.84,-1.00,-1.0,2423
316,305316,17084,-556,632,17104.72,31.02,-1.00,-1.0,2371
319,305319,17188,-632,696,17213.69,30.98,-1.00,-1.0,2439
322,305322,17080,-572,728,17105.07,30.93,-1.00,-1.0,2364
325,305325,17004,-620,616,17026.45,31.02,-1.00,-1.0,2426
327,305327,17060,-628,656,17084.15,30.93,-1.00,-1.0,2372
330,305330,17060,-644,628,17083.70,30.98,-1.00,-1.0,2383
337,305337,17072,-684,700,17100.03,31.02,-1.00,-1.0,2441
340,305340,17072,-652,624,17095.84,30.93,-1.00,-1.0,2367
343,305343,17036,-656,612,17059.61,31.02,-1.00,-1.0,2422
346,305346,17092,-588,776,17119.71,30.93,-1.00,-1.0,2377
348,305348,17100,-680,712,17128.32,30.93,-1.00,-1.0,2423
351,305351,17088,-632,696,17113.84,30.93,-1.00,-1.0,2371
354,305354,17036,-620,784,17065.30,31.02,-1.00,-1.0,2423
357,305357,17000,-644,612,17023.20,31.02,-1.00,-1.0,2379
359,305359,17144,-644,660,17168.78,30.88,-1.00,-1.0,2381
364,305364,17000,-584,544,17018.72,30.98,-1.00,-1.0,2450
367,305367,17156,-648,732,17183.83,30.98,-1.00,-1.0,2382
370,305370,17100,-644,668,17125.16,30.98,-1.00,-1.0,2422
373,305373,16980,-744,752,17012.92,30.98,-1.00,-1.0,2374
375,305375,16932,-632,588,16953.99,30.98,-1.00,-1.0,2410
378,305378,17064,-608,676,17088.21,30.98,-1.00,-1.0,2383
381,305381,17036,-604,752,17063.28,30.93,-1.00,-1.0,2424
384,305384,17116,-632,576,17137.35,30.98,-1.00,-1.0,2372
386,305386,17084,-588,660,17106.85,31.02,-1.00,-1.0,2367
391,305391,17044,-572,612,17064.57,30.88,-1.00,-1.0,2450
394,305394,17076,-644,864,17109.97,30.98,-1.00,-1.0,2370
397,305397,17204,-660,696,17230.72,30.93,-1.00,-1.0,2424
400,305400,17104,-732,608,17130.45,30.98,-1.00,-1.0,2368
402,305402,17160,-588,728,17185.50,30.93,-1.00,-1.0,2422
405,305405,17080,-572,672,17102.78,30.88,-1.00,-1.0,2359
408,305408,17064,-632,620,17086.95,30.93,-1.00,-1.0,2423
411,305411,17008,-560,668,17030.32,30.98,-1.00,-1.0,2370
413,305413,17032,-656,628,17056.19,31.02,-1.00,-1.0,2367
418,305418,17080,-424,712,17100.09,31.02,-1.00,-1.0,2441
421,305421,17104,-608,684,17128.46,30.93,-1.00,-1.0,2369
424,305424,17048,-676,576,17071.12,31.02,-1.00,-1.0,2430
426,305426,16984,-524,608,17002.96,30.93,-1.00,-1.0,2370
429,305429,17000,-768,648,17029.67,31.02,-1.00,-1.0,2422
432,305432,16992,-592,624,17013.76,31.02,-1.00,-1.0,2369
435,305435,17096,-664,664,17121.77,30.93,-1.00,-1.0,2430
