timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,610002,17072,-672,940,17111.06,31.35,-1.00,-1.0,2493
9,610009,17072,-572,748,17097.95,31.31,-1.00,-1.0,2453
11,610011,17028,-576,800,17056.51,31.40,-1.00,-1.0,2370
14,610014,17028,-708,756,17059.47,31.35,-1.00,-1.0,2373
17,610017,16984,-644,824,17016.17,31.35,-1.00,-1.0,2433
19,610019,17136,-712,816,17170.19,31.35,-1.00,-1.0,2377
22,610022,17056,-704,768,17087.79,31.35,-1.00,-1.0,2422
25,610025,16936,-632,732,16963.59,31.45,-1.00,-1.0,2371
28,610028,17096,-608,776,17124.40,31.35,-1.00,-1.0,2429
30,610030,17112,-600,656,17135.08,31.35,-1.00,-1.0,2375
35,610035,16960,-648,612,16983.40,31.35,-1.00,-1.0,2441
38,610038,17024,-596,708,17049.14,31.31,-1.00,-1.0,2376
40,610040,16948,-652,660,16973.37,31.45,-1.00,-1.0,2370
43,610043,16964,-660,632,16988.59,31.40,-1.00,-1.0,2420
46,610046,17080,-616,704,17105.60,31.35,-1.00,-1.0,2356
49,610049,16980,-604,840,17011.49,31.31,-1.00,-1.0,2421
51,610051,17068,-632,828,17099.76,31.26,-1.00,-1.0,2375
54,610054,17068,-592,712,17093.10,31.40,-1.00,-1.0,2421
57,610057,16992,-592,864,17024.25,31.26,-1.00,-1.0,2377
60,610060,17052,-668,620,17076.34,31.40,-1.00,-1.0,2367
65,610065,16992,-608,932,17028.40,31.31,-1.00,-1.0,2441
67,610067,17088,-604,696,17112.83,31.31,-1.00,-1.0,2372
70,610070,17028,-552,864,17058.84,31.31,-1.00,-1.0,2421
73,610073,17112,-576,764,17138.73,31.40,-1.00,-1.0,2367
76,610076,17072,-636,692,17097.85,31.31,-1.00,-1.0,2421
78,610078,17020,-644,724,17047.56,31.31,-1.00,-1.0,2370
81,610081,17036,-568,784,17063.49,31.40,-1.00,-1.0,2425
84,610084,17036,-604,832,17067.00,31.31,-1.00,-1.0,2367
86,610086,17024,-640,712,17050.90,31.35,-1.00,-1.0,2373
91,610091,17096,-592,828,17126.27,31.35,-1.00,-1.0,2443
94,610094,17004,-584,696,17028.26,31.31,-1.00,-1.0,2370
97,610097,17000,-680,640,17025.63,31.45,-1.00,-1.0,2428
100,610100,17056,-588,748,17082.52,31.31,-1.00,-1.0,2367
102,610102,17092,-620,860,17124.85,31.26,-1.00,-1.0,2422
105,610105,17032,-572,696,17055.81,31.40,-1.00,-1.0,2369
108,610108,17060,-580,820,17089.54,31.35,-1.00,-1.0,2370
111,610111,17068,-540,652,17088.98,31.31,-1.00,-1.0,2429
113,610113,17040,-632,764,17068.82,31.35,-1.00,-1.0,2385
118,610118,17028,-716,728,17058.59,31.26,-1.00,-1.0,2444
121,610121,17152,-548,696,17174.86,31.35,-1.00,-1.0,2369
124,610124,17036,-644,768,17065.46,31.35,-1.00,-1.0,2428
127,610127,17036,-652,732,17064.18,31.40,-1.00,-1.0,2369
129,610129,16996,-588,664,17019.13,31.26,-1.00,-1.0,2424
132,610132,17060,-660,852,17094.01,31.35,-1.00,-1.0,2371
135,610135,17032,-540,644,17052.72,31.26,-1.00,-1.0,2368
138,610138,17072,-568,832,17101.70,31.31,-1.00,-1.0,2428
140,610140,17112,-616,580,17132.90,31.31,-1.00,-1.0,2388
145,610145,17024,-612,708,17049.70,31.31,-1.00,-1.0,2455
148,610148,17112,-664,660,17137.59,31.26,-1.00,-1.0,2375
151,610151,17120,-540,824,17148.32,31.31,-1.00,-1.0,2433
153,610153,17100,-692,868,17135.99,31.26,-1.00,-1.0,2373
156,610156,17128,-560,732,17152.78,31.31,-1.00,-1.0,2415
159,610159,17124,-504,752,17147.91,31.26,-1.00,-1.0,2375
162,610162,17084,-628,680,17109.06,31.31,-1.00,-1.0,2431
164,610164,16984,-616,752,17011.80,31.26,-1.00,-1.0,2372
167,610167,17056,-664,756,17085.65,31.26,-1.00,-1.0,2371
172,610172,17092,-620,796,17121.75,31.40,-1.00,-1.0,2443
175,610175,17048,-636,896,17083.37,31.31,-1.00,-1.0,2370
178,610178,17012,-688,788,17044.13,31.31,-1.00,-1.0,2421
180,610180,17012,-660,620,17036.08,31.21,-1.00,-1.0,2371
183,610183,17120,-632,692,17145.63,31.45,-1.00,-1.0,2420
186,610186,17012,-572,740,17037.69,31.40,-1.00,-1.0,2368
189,610189,17052,-576,544,17070.40,31.31,-1.00,-1.0,2420
191,610191,16996,-596,756,17023.24,31.40,-1.00,-1.0,2375
194,610194,16972,-524,728,16995.69,31.35,-1.00,-1.0,2367
199,610199,17064,-616,776,17092.74,31.26,-1.00,-1.0,2441
202,610202,17040,-728,856,17077.01,31.31,-1.00,-1.0,2369
205,610205,17052,-568,764,17078.55,31.35,-1.00,-1.0,2421
207,610207,17160,-704,708,17189.02,31.35,-1.00,-1.0,2369
210,610210,17012,-720,728,17042.79,31.35,-1.00,-1.0,2421
213,610213,17028,-672,756,17058.02,31.31,-1.00,-1.0,2369
216,610216,17012,-564,844,17042.26,31.35,-1.00,-1.0,2421
218,610218,17084,-652,792,17114.77,31.31,-1.00,-1.0,2368
221,610221,17092,-624,668,17116.43,31.35,-1.00,-1.0,2367
226,610226,17016,-632,696,17041.95,31.31,-1.00,-1.0,2448
229,610229,17060,-712,796,17093.39,31.31,-1.00,-1.0,2369
231,610231,17068,-548,692,17090.81,31.40,-1.00,-1.0,2434
234,610234,17024,-544,844,17053.59,31.31,-1.00,-1.0,2369
237,610237,16984,-660,628,17008.42,31.31,-1.00,-1.0,2428
240,610240,17044,-644,868,17078.23,31.31,-1.00,-1.0,2370
242,610242,17112,-704,876,17148.86,31.40,-1.00,-1.0,2436
245,610245,17096,-652,876,17130.84,31.40,-1.00,-1.0,2368
248,610248,17048,-600,764,17075.65,31.31,-1.00,-1.0,2367
253,610253,17040,-568,824,17069.37,31.35,-1.00,-1.0,2441
256,610256,17116,-644,696,17142.25,31.21,-1.00,-1.0,2371
258,610258,16988,-608,768,17016.22,31.35,-1.00,-1.0,2421
261,610261,16940,-588,844,16971.20,31.26,-1.00,-1.0,2371
264,610264,16984,-584,880,17016.81,31.35,-1.00,-1.0,2421
267,610267,17060,-556,748,17085.44,31.35,-1.00,-1.0,2372
269,610269,16984,-612,756,17011.83,31.35,-1.00,-1.0,2408
272,610272,16960,-636,780,16989.84,31.31,-1.00,-1.0,2377
275,610275,17032,-708,764,17063.82,31.40,-1.00,-1.0,2374
280,610280,17004,-656,768,17033.97,31.31,-1.00,-1.0,2441
283,610283,17132,-604,816,17162.05,31.40,-1.00,-1.0,2377
286,610286,17096,-584,700,17120.29,31.31,-1.00,-1.0,2421
288,610288,17064,-640,784,17093.99,31.31,-1.00,-1.0,2368
291,610291,17140,-696,812,17173.33,31.31,-1.00,-1.0,2421
294,610294,17076,-652,776,17106.05,31.40,-1.00,-1.0,2376
297,610297,17044,-632,740,17071.76,31.40,-1.00,-1.0,2421
299,610299,17076,-568,724,17100.78,31.21,-1.00,-1.0,2368
302,610302,17032,-612,808,17062.13,31.35,-1.00,-1.0,2382
307,610307,17124,-720,624,17150.49,31.31,-1.00,-1.0,2441
310,610310,17024,-676,764,17054.54,31.40,-1.00,-1.0,2372
313,610313,17128,-600,624,17149.86,31.35,-1.00,-1.0,2430
315,610315,17096,-668,728,17124.53,31.21,-1.00,-1.0,2371
318,610318,17076,-572,848,17106.61,31.26,-1.00,-1.0,2437
321,610321,17140,-616,760,17167.90,31.31,-1.00,-1.0,2376
324,610324,17116,-644,752,17144.61,31.35,-1.00,-1.0,2433
326,610326,17064,-576,764,17090.80,31.31,-1.00,-1.0,2371
329,610329,16984,-636,888,17019.09,31.26,-1.00,-1.0,2375
334,610334,17188,-652,784,17218.22,31.26,-1.00,-1.0,2457
337,610337,17052,-560,740,17077.23,31.35,-1.00,-1.0,2376
340,610340,17092,-688,696,17119.99,31.35,-1.00,-1.0,2435
342,610342,17092,-556,844,17121.86,31.31,-1.00,-1.0,2378
345,610345,17052,-588,768,17079.41,31.35,-1.00,-1.0,2427
348,610348,17116,-632,796,17146.15,31.35,-1.00,-1.0,2373
351,610351,17072,-628,860,17105.18,31.26,-1.00,-1.0,2431
353,610353,17044,-624,844,17076.29,31.35,-1.00,-1.0,2376
356,610356,17056,-736,780,17089.68,31.35,-1.00,-1.0,2353
361,610361,17008,-536,780,17034.31,31.26,-1.00,-1.0,2456
364,610364,17032,-492,716,17054.14,31.35,-1.00,-1.0,2369
367,610367,17032,-604,624,17054.13,31.35,-1.00,-1.0,2431
369,610369,16992,-632,728,17019.33,31.35,-1.00,-1.0,2374
372,610372,17108,-600,820,17138.15,31.45,-1.00,-1.0,2430
375,610375,16960,-624,708,16986.24,31.35,-1.00,-1.0,2369
378,610378,17160,-668,736,17188.76,31.35,-1.00,-1.0,2436
380,610380,17104,-656,672,17129.76,31.26,-1.00,-1.0,2367
383,610383,17012,-644,596,17034.62,31.31,-1.00,-1.0,2366
388,610388,16956,-584,796,16984.72,31.31,-1.00,-1.0,2448
391,610391,17012,-568,704,17036.03,31.35,-1.00,-1.0,2367
394,610394,17080,-704,716,17109.49,31.31,-1.00,-1.0,2422
396,610396,17080,-616,936,17116.71,31.26,-1.00,-1.0,2376
399,610399,17004,-560,784,17031.27,31.31,-1.00,-1.0,2421
402,610402,17028,-628,704,17054.11,31.35,-1.00,-1.0,2370
405,610405,17084,-612,596,17105.34,31.31,-1.00,-1.0,2423
407,610407,17036,-640,600,17058.57,31.35,-1.00,-1.0,2376
410,610410,17012,-600,884,17045.52,31.40,-1.00,-1.0,2366
415,610415,17008,-680,692,17035.65,31.31,-1.00,-1.0,2441
418,610418,17044,-652,692,17070.50,31.31,-1.00,-1.0,2371
421,610421,17048,-576,776,17075.37,31.49,-1.00,-1.0,2421
423,610423,17064,-548,828,17092.86,31.31,-1.00,-1.0,2370
426,610426,17112,-704,1016,17156.59,31.31,-1.00,-1.0,2420
429,610429,17076,-588,680,17099.65,31.31,-1.00,-1.0,2372
432,610432,17068,-564,764,17094.40,31.31,-1.00,-1.0,2422
434,610434,17032,-676,764,17062.52,31.31,-1.00,-1.0,2379
437,610437,17044,-544,740,17068.73,31.31,-1.00,-1.0,2366
442,610442,17064,-620,812,17094.56,31.35,-1.00,-1.0,2441
445,610445,16976,-580,924,17011.02,31.35,-1.00,-1.0,2378
448,610448,17100,-580,712,17124.64,31.45,-1.00,-1.0,2421
450,610450,17052,-596,540,17070.96,31.40,-1.00,-1.0,2369
453,610453,17124,-700,816,17157.72,31.26,-1.00,-1.0,2421
456,610456,17084,-624,756,17112.10,31.35,-1.00,-1.0,2377
459,610459,17052,-628,712,17078.41,31.26,-1.00,-1.0,2421
461,610461,17140,-652,812,17171.61,31.31,-1.00,-1.0,2368
464,610464,17068,-676,864,17103.22,31.31,-1.00,-1.0,2367
469,610469,17088,-620,828,17119.28,31.31,-1.00,-1.0,2444
472,610472,17044,-624,800,17074.17,31.31,-1.00,-1.0,2369
475,610475,17088,-696,816,17121.62,31.35,-1.00,-1.0,2421
477,610477,17100,-664,812,17132.14,31.35,-1.00,-1.0,2434
480,610480,17096,-672,700,17123.52,31.31,-1.00,-1.0,2415
483,610483,16984,-656,940,17022.64,31.31,-1.00,-1.0,2364
486,610486,17132,-488,800,17157.61,31.31,-1.00,-1.0,2415
488,610488,17080,-592,848,17111.28,31.31,-1.00,-1.0,2380
491,610491,17060,-672,732,17088.91,31.35,-1.00,-1.0,2367
496,610496,17088,-572,768,17114.81,31.35,-1.00,-1.0,2441
499,610499,17164,-560,884,17195.87,31.35,-1.00,-1.0,2368
502,610502,17152,-576,684,17175.29,31.35,-1.00,-1.0,2423
505,610505,17072,-636,904,17107.74,31.26,-1.00,-1.0,2366
507,610507,17096,-664,804,17127.77,31.35,-1.00,-1.0,2422
510,610510,17036,-556,780,17062.91,31.45,-1.00,-1.0,2369
513,610513,17096,-636,640,17119.79,31.26,-1.00,-1.0,2423
516,610516,17032,-632,748,17060.13,31.35,-1.00,-1.0,2366
521,610521,17020,-660,828,17052.91,31.26,-1.00,-1.0,2440
523,610523,16968,-660,620,16992.15,31.31,-1.00,-1.0,2368
526,610526,17080,-684,856,17115.11,31.35,-1.00,-1.0,2367
529,610529,17084,-592,748,17110.61,31.40,-1.00,-1.0,2432
531,610531,17076,-640,792,17106.33,31.31,-1.00,-1.0,2372
534,610534,17104,-520,632,17123.57,31.40,-1.00,-1.0,2435
537,610537,17056,-588,740,17082.17,31.31,-1.00,-1.0,2375
540,610540,17096,-580,752,17122.36,31.31,-1.00,-1.0,2430
542,610542,17032,-648,780,17062.16,31.31,-1.00,-1.0,2372
548,610548,17072,-660,700,17099.09,31.26,-1.00,-1.0,2439
550,610550,17172,-572,780,17199.22,31.26,-1.00,-1.0,2366
553,610553,17136,-652,652,17160.79,31.40,-1.00,-1.0,2372
556,610556,17080,-544,820,17108.32,31.26,-1.00,-1.0,2429
558,610558,17060,-620,768,17088.53,31.31,-1.00,-1.0,2375
561,610561,17028,-680,764,17058.69,31.31,-1.00,-1.0,2420
564,610564,17048,-616,768,17076.40,31.31,-1.00,-1.0,2362
567,610567,17076,-712,756,17107.55,31.35,-1.00,-1.0,2432
569,610569,17044,-692,800,17076.79,31.31,-1.00,-1.0,2378
576,610576,17020,-544,724,17044.08,31.45,-1.00,-1.0,2440
579,610579,16952,-576,732,16977.57,31.26,-1.00,-1.0,2363
582,610582,17164,-620,752,17191.65,31.31,-1.00,-1.0,2365
584,610584,17020,-656,772,17050.12,31.40,-1.00,-1.0,2432
587,610587,17060,-580,844,17090.71,31.31,-1.00,-1.0,2369
590,610590,17124,-620,720,17150.34,31.31,-1.00,-1.0,2427
593,610593,17104,-568,664,17126.30,31.31,-1.00,-1.0,2370
595,610595,17056,-568,652,17077.91,31.40,-1.00,-1.0,2433
598,610598,17008,-672,704,17035.82,31.40,-1.00,-1.0,2367
603,610603,17116,-592,760,17143.09,31.31,-1.00,-1.0,2443
606,610606,16904,-608,700,16929.41,31.45,-1.00,-1.0,2368
608,610608,17092,-620,700,17117.56,31.31,-1.00,-1.0,2371
611,610611,16884,-656,844,16917.80,31.40,-1.00,-1.0,2414
614,610614,17044,-600,664,17067.48,31.31,-1.00,-1.0,2377
617,610617,17092,-692,772,17123.41,31.26,-1.00,-1.0,2436
619,610619,17152,-640,804,17182.76,31.31,-1.00,-1.0,2371
622,610622,17020,-692,768,17051.37,31.35,-1.00,-1.0,2430
625,610625,17096,-636,660,17120.55,31.31,-1.00,-1.0,2378
630,610630,17168,-652,620,17191.56,31.31,-1.00,-1.0,2447
633,610633,16992,-624,956,17030.31,31.40,-1.00,-1.0,2368
635,610635,17112,-600,716,17137.48,31.26,-1.00,-1.0,2368
638,610638,17044,-620,668,17068.35,31.35,-1.00,-1.0,2420
641,610641,17004,-628,756,17032.38,31.35,-1.00,-1.0,2367
644,610644,16996,-680,948,17035.99,31.26,-1.00,-1.0,2421
646,610646,17076,-668,680,17102.58,31.26,-1.00,-1.0,2369
649,610649,17116,-716,764,17148.00,31.35,-1.00,-1.0,2420
652,610652,17088,-676,840,17121.98,31.35,-1.00,-1.0,2373
657,610657,17008,-632,816,17039.29,31.21,-1.00,-1.0,2439
659,610659,16992,-688,792,17024.36,31.45,-1.00,-1.0,2366
662,610662,16896,-524,820,16924.00,31.31,-1.00,-1.0,2372
665,610665,17004,-568,776,17031.17,31.35,-1.00,-1.0,2422
667,610667,17108,-684,696,17135.81,31.21,-1.00,-1.0,2370
670,610670,17064,-524,800,17090.78,31.31,-1.00,-1.0,2436
673,610673,17056,-556,780,17082.88,31.31,-1.00,-1.0,2370
676,610676,17064,-584,732,17089.67,31.35,-1.00,-1.0,2421
678,610678,17140,-608,712,17165.55,31.21,-1.00,-1.0,2370
683,610683,16968,-556,956,17004.00,31.40,-1.00,-1.0,2440
686,610686,17116,-536,808,17143.44,31.35,-1.00,-1.0,2367
688,610688,17016,-580,812,17045.23,31.49,-1.00,-1.0,2365
691,610691,17128,-592,836,17158.61,31.31,-1.00,-1.0,2426
694,610694,17116,-692,768,17147.19,31.40,-1.00,-1.0,2376
697,610697,17060,-632,924,17096.69,31.35,-1.00,-1.0,2420
699,610699,17036,-644,760,17065.10,31.40,-1.00,-1.0,2370
702,610702,16996,-596,788,17024.69,31.35,-1.00,-1.0,2428
705,610705,17068,-644,812,17099.44,31.31,-1.00,-1.0,2372
710,610710,17076,-668,768,17106.31,31.31,-1.00,-1.0,2445
713,610713,17052,-612,800,17081.72,31.40,-1.00,-1.0,2367
715,610715,16992,-592,884,17025.28,31.31,-1.00,-1.0,2373
718,610718,17020,-532,784,17046.35,31.35,-1.00,-1.0,2423
721,610721,17032,-644,716,17059.20,31.45,-1.00,-1.0,2368
723,610723,17072,-564,812,17100.60,31.35,-1.00,-1.0,2430
726,610726,16984,-604,724,17010.15,31.35,-1.00,-1.0,2374
729,610729,17100,-612,700,17125.26,31.35,-1.00,-1.0,2423
732,610732,17176,-656,696,17202.61,31.35,-1.00,-1.0,2370
737,610737,17092,-656,636,17116.40,31.35,-1.00,-1.0,2440
739,610739,17020,-592,668,17043.39,31.35,-1.00,-1.0,2367
742,610742,17096,-580,760,17122.71,31.45,-1.00,-1.0,2353
745,610745,16984,-564,812,17012.75,31.31,-1.00,-1.0,2429
747,610747,17008,-640,768,17037.36,31.45,-1.00,-1.0,2377
750,610750,17088,-660,716,17115.72,31.40,-1.00,-1.0,2420
753,610753,17068,-624,660,17092.15,31.35,-1.00,-1.0,2371
756,610756,17008,-728,756,17040.35,31.40,-1.00,-1.0,2423
759,610759,17072,-616,676,17096.48,31.35,-1.00,-1.0,2368
764,610764,17052,-596,904,17086.34,31.26,-1.00,-1.0,2440
766,610766,17028,-692,728,17057.60,31.35,-1.00,-1.0,2367
769,610769,17060,-648,780,17090.11,31.35,-1.00,-1.0,2376
772,610772,17080,-580,764,17106.91,31.31,-1.00,-1.0,2423
774,610774,16976,-564,728,17000.96,31.40,-1.00,-1.0,2376
777,610777,17032,-620,740,17059.34,31.31,-1.00,-1.0,2420
780,610780,17088,-468,856,17115.83,31.31,-1.00,-1.0,2372
783,610783,17076,-596,816,17105.87,31.31,-1.00,-1.0,2420
786,610786,17064,-648,864,17098.14,31.35,-1.00,-1.0,2375
791,610791,17148,-564,780,17174.99,31.35,-1.00,-1.0,2439
793,610793,17036,-624,896,17070.96,31.26,-1.00,-1.0,2368
796,610796,17028,-556,720,17052.28,31.40,-1.00,-1.0,2351
799,610799,17064,-588,720,17089.30,31.31,-1.00,-1.0,2420
801,610801,17060,-604,852,17091.94,31.31,-1.00,-1.0,2376
804,610804,17036,-620,808,17066.42,31.40,-1.00,-1.0,2420
807,610807,17040,-580,764,17066.98,31.31,-1.00,-1.0,2368
810,610810,16996,-660,844,17029.74,31.31,-1.00,-1.0,2420
813,610813,17208,-624,876,17241.58,31.31,-1.00,-1.0,2372
818,610818,17016,-684,756,17046.51,31.31,-1.00,-1.0,2443
820,610820,17104,-668,716,17132.01,31.26,-1.00,-1.0,2367
823,610823,17032,-652,832,17064.77,31.40,-1.00,-1.0,2367
826,610826,17092,-640,868,17125.99,31.35,-1.00,-1.0,2420
828,610828,17112,-640,756,17140.64,31.21,-1.00,-1.0,2355
831,610831,17040,-580,724,17065.23,31.26,-1.00,-1.0,2420
834,610834,17124,-616,764,17152.10,31.31,-1.00,-1.0,2370
837,610837,16996,-592,868,17028.44,31.35,-1.00,-1.0,2419
840,610840,17072,-692,856,17107.45,31.31,-1.00,-1.0,2368
845,610845,17128,-636,664,17152.66,31.40,-1.00,-1.0,2444
847,610847,17072,-668,696,17099.23,31.31,-1.00,-1.0,2377
850,610850,17048,-672,856,17082.70,31.31,-1.00,-1.0,2365
853,610853,16996,-656,1008,17038.50,31.35,-1.00,-1.0,2428
856,610856,17052,-676,744,17081.61,31.26,-1.00,-1.0,2372
858,610858,16952,-640,696,16978.35,31.35,-1.00,-1.0,2424
861,610861,17120,-668,724,17148.32,31.26,-1.00,-1.0,2368
864,610864,16976,-624,932,17013.01,31.26,-1.00,-1.0,2427
867,610867,17040,-644,812,17071.49,31.35,-1.00,-1.0,2368
872,610872,16992,-584,784,17020.10,31.35,-1.00,-1.0,2440
874,610874,17048,-576,688,17071.60,31.26,-1.00,-1.0,2370
877,610877,17040,-608,736,17066.72,31.26,-1.00,-1.0,2420
880,610880,16972,-740,800,17006.95,31.35,-1.00,-1.0,2368
882,610882,17028,-524,712,17050.93,31.40,-1.00,-1.0,2369
885,610885,17112,-652,768,17141.63,31.40,-1.00,-1.0,2429
888,610888,16956,-552,808,16984.21,31.21,-1.00,-1.0,2377
891,610891,17080,-556,888,17112.10,31.35,-1.00,-1.0,2420
894,610894,17076,-536,832,17104.66,31.35,-1.00,-1.0,2366
898,610898,17056,-512,700,17078.04,31.40,-1.00,-1.0,2448
901,610901,17004,-540,796,17031.18,31.31,-1.00,-1.0,2375
904,610904,17052,-584,744,17078.21,31.40,-1.00,-1.0,2420
907,610907,17160,-528,868,17190.05,31.40,-1.00,-1.0,2373
909,610909,17136,-580,876,17168.18,31.35,-1.00,-1.0,2365
912,610912,17204,-544,816,17231.93,31.31,-1.00,-1.0,2420
915,610915,17028,-624,760,17056.37,31.26,-1.00,-1.0,2368
918,610918,17048,-592,700,17072.63,31.21,-1.00,-1.0,2427
921,610921,17112,-592,640,17134.19,31.35,-1.00,-1.0,2366
926,610926,16964,-660,708,16991.59,31.45,-1.00,-1.0,2439
928,610928,17084,-580,816,17113.31,31.35,-1.00,-1.0,2356
931,610931,17056,-588,728,17081.65,31.35,-1.00,-1.0,2420
934,610934,16996,-644,848,17029.32,31.35,-1.00,-1.0,2372
937,610937,17164,-636,756,17192.41,31.40,-1.00,-1.0,2366
939,610939,17048,-652,736,17076.33,31.31,-1.00,-1.0,2421
942,610942,17008,-680,708,17036.31,31.40,-1.00,-1.0,2369
945,610945,16984,-624,752,17012.09,31.31,-1.00,-1.0,2427
948,610948,17056,-564,712,17080.17,31.40,-1.00,-1.0,2366
953,610953,17044,-644,712,17071.02,31.40,-1.00,-1.0,2446
956,610956,17132,-532,728,17155.71,31.35,-1.00,-1.0,2368
958,610958,17040,-652,772,17069.94,31.31,-1.00,-1.0,2420
961,610961,17100,-584,816,17129.42,31.45,-1.00,-1.0,2367
964,610964,17016,-624,776,17045.11,31.21,-1.00,-1.0,2366
966,610966,17104,-580,644,17125.94,31.26,-1.00,-1.0,2430
969,610969,17044,-668,752,17073.65,31.31,-1.00,-1.0,2377
972,610972,17024,-728,744,17055.79,31.35,-1.00,-1.0,2423
975,610975,17076,-620,780,17105.04,31.40,-1.00,-1.0,2375
980,610980,17156,-600,716,17181.41,31.40,-1.00,-1.0,2439
983,610983,16976,-632,740,17003.87,31.35,-1.00,-1.0,2367
986,610986,17096,-580,684,17119.51,31.40,-1.00,-1.0,2420
988,610988,16964,-612,872,16997.42,31.35,-1.00,-1.0,2369
991,610991,17116,-672,764,17146.22,31.31,-1.00,-1.0,2373
994,610994,17028,-616,696,17053.35,31.45,-1.00,-1.0,2423
996,610996,17068,-552,816,17096.41,31.31,-1.00,-1.0,2370
999,610999,17076,-632,696,17101.86,31.35,-1.00,-1.0,2436
1002,611002,17052,-600,736,17078.42,31.21,-1.00,-1.0,2363
1007,611007,16980,-704,796,17013.22,31.31,-1.00,-1.0,2447
1010,611010,17016,-532,692,17038.37,31.40,-1.00,-1.0,2368
1012,611012,16988,-604,732,17014.49,31.31,-1.00,-1.0,2422
1015,611015,17020,-620,776,17048.96,31.31,-1.00,-1.0,2368
1018,611018,17120,-636,928,17156.93,31.45,-1.00,-1.0,2368
1020,611020,17084,-644,676,17109.49,31.26,-1.00,-1.0,2430
1023,611023,17024,-636,692,17049.93,31.35,-1.00,-1.0,2375
1026,611026,17072,-520,888,17102.99,31.26,-1.00,-1.0,2421
1029,611029,17080,-632,752,17108.22,31.40,-1.00,-1.0,2374
1034,611034,16984,-756,728,17016.40,31.40,-1.00,-1.0,2442
1037,611037,17008,-748,792,17042.85,31.31,-1.00,-1.0,2357
1039,611039,17092,-556,680,17114.55,31.26,-1.00,-1.0,2421
1042,611042,17072,-556,772,17098.49,31.31,-1.00,-1.0,2369
1045,611045,17104,-668,824,17136.86,31.35,-1.00,-1.0,2428
1048,611048,17048,-776,772,17083.11,31.31,-1.00,-1.0,2366
1050,611050,17116,-604,804,17145.52,31.35,-1.00,-1.0,2379
1053,611053,17112,-636,768,17141.03,31.31,-1.00,-1.0,2421
1056,611056,17072,-528,720,17095.33,31.35,-1.00,-1.0,2371
1061,611061,17000,-552,860,17030.69,31.35,-1.00,-1.0,2447
1064,611064,17052,-656,744,17080.82,31.35,-1.00,-1.0,2366
1066,611066,17032,-632,868,17065.81,31.35,-1.00,-1.0,2432
1069,611069,16928,-640,724,16955.56,31.35,-1.00,-1.0,2377
1072,611072,17080,-664,744,17109.09,31.26,-1.00,-1.0,2423
