timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,15344,20,1204,-1.00,-1.0
4,15732,212,1560,-1.00,-1.0
6,17072,308,-680,-1.00,-1.0
11,16732,-752,6948,-1.00,-1.0
13,16148,-588,-2536,-1.00,-1.0
15,17860,620,488,-1.00,-1.0
17,19332,-804,-492,-1.00,-1.0
19,18208,500,1328,-1.00,-1.0
21,16440,-4,-4516,-1.00,-1.0
23,15996,-872,1712,-1.00,-1.0
25,17052,-660,6416,-1.00,-1.0
27,16304,-1108,-936,-1.00,-1.0
29,16632,1284,-732,-1.00,-1.0
31,17580,-1532,-1584,-1.00,-1.0
33,18848,-676,4328,-1.00,-1.0
35,16440,-196,-4504,-1.00,-1.0
37,15280,108,900,-1.00,-1.0
39,16576,-1792,4952,-1.00,-1.0
41,16980,-208,3768,-1.00,-1.0
43,17020,2104,-1376,-1.00,-1.0
49,18068,-1360,224,-1.00,-1.0
51,14860,-304,2696,-1.00,-1.0
53,14380,-1108,2752,-1.00,-1.0
55,16472,776,3440,-1.00,-1.0
57,18632,2224,-3980,-1.00,-1.0
59,19552,388,-1156,-1.00,-1.0
61,19436,-1088,176,-1.00,-1.0
63,16184,-1444,1776,-1.00,-1.0
65,14652,952,3116,-1.00,-1.0
67,15360,880,312,-1.00,-1.0
69,18252,536,1048,-1.00,-1.0
71,19044,836,-1316,-1.00,-1.0
73,18120,224,-108,-1.00,-1.0
75,17464,-508,-16,-1.00,-1.0
77,16220,-3336,3932,-1.00,-1.0
78,14432,-2012,2084,-1.00,-1.0
80,18880,1488,-524,-1.00,-1.0
85,19608,488,-1136,-1.00,-1.0
87,18296,848,-1148,-1.00,-1.0
88,16608,-272,952,-1.00,-1.0
90,18476,1384,1524,-1.00,-1.0
92,19124,3556,-6972,-1.00,-1.0
94,18292,1644,-2680,-1.00,-1.0
96,19092,-1952,5624,-1.00,-1.0
98,14604,-1096,3064,-1.00,-1.0
100,13492,728,1616,-1.00,-1.0
102,16468,1084,116,-1.00,-1.0
104,20552,212,-3100,-1.00,-1.0
106,20252,832,-3608,-1.00,-1.0
108,16940,744,-512,-1.00,-1.0
110,16432,340,5016,-1.00,-1.0
112,14968,24,1136,-1.00,-1.0
114,15000,616,1872,-1.00,-1.0
116,17728,1864,176,-1.00,-1.0
120,19372,372,-2740,-1.00,-1.0
122,16620,-420,512,-1.00,-1.0
124,15904,344,4168,-1.00,-1.0
126,15432,376,-256,-1.00,-1.0
128,16152,792,2636,-1.00,-1.0
130,17560,2784,496,-1.00,-1.0
132,20196,-60,-4660,-1.00,-1.0
134,19164,788,-1456,-1.00,-1.0
135,17328,-1400,1132,-1.00,-1.0
137,14792,-812,3580,-1.00,-1.0
139,14868,-1112,2464,-1.00,-1.0
141,19644,-152,-3596,-1.00,-1.0
143,16948,104,496,-1.00,-1.0
145,15780,-524,5856,-1.00,-1.0
147,14228,-1584,312,-1.00,-1.0
149,15368,-536,1984,-1.00,-1.0
151,17208,316,-312,-1.00,-1.0
155,19516,1580,-4020,-1.00,-1.0
157,16876,-680,-400,-1.00,-1.0
159,16652,-4004,5888,-1.00,-1.0
161,13460,-2260,3804,-1.00,-1.0
163,13084,488,1444,-1.00,-1.0
165,17260,248,-2344,-1.00,-1.0
167,21236,-704,-2448,-1.00,-1.0
169,20476,300,-760,-1.00,-1.0
171,15736,-928,-352,-1.00,-1.0
173,14592,-2576,4752,-1.00,-1.0
175,13240,-1572,4088,-1.00,-1.0
177,14716,-452,1532,-1.00,-1.0
179,18220,1048,-1620,-1.00,-1.0
181,20612,-1244,-2620,-1.00,-1.0
183,18848,-440,208,-1.00,-1.0
184,15404,-32,408,-1.00,-1.0
189,14920,-964,2340,-1.00,-1.0
191,15352,132,1396,-1.00,-1.0
193,17336,1576,448,-1.00,-1.0
194,19600,1076,-1036,-1.00,-1.0
196,18516,816,-1308,-1.00,-1.0
198,17168,1200,-168,-1.00,-1.0
200,17536,-1556,3688,-1.00,-1.0
202,18056,1016,-5392,-1.00,-1.0
204,18880,828,-2300,-1.00,-1.0
206,18176,-692,432,-1.00,-1.0
208,16908,168,3504,-1.00,-1.0
210,15556,-164,-2024,-1.00,-1.0
212,16096,-488,2256,-1.00,-1.0
214,17224,-180,3168,-1.00,-1.0
216,17412,972,-624,-1.00,-1.0
218,18140,2108,-3980,-1.00,-1.0
220,18124,872,-548,-1.00,-1.0
224,16160,92,-676,-1.00,-1.0
226,15720,1540,1024,-1.00,-1.0
228,16824,232,2396,-1.00,-1.0
230,17820,416,1392,-1.00,-1.0
232,17820,1700,-4496,-1.00,-1.0
234,17960,748,-408,-1.00,-1.0
236,18488,-168,2968,-1.00,-1.0
238,15972,-888,188,-1.00,-1.0
240,15940,1324,688,-1.00,-1.0
242,16984,836,1888,-1.00,-1.0
244,18296,-176,1000,-1.00,-1.0
245,17456,592,-472,-1.00,-1.0
247,16556,960,-664,-1.00,-1.0
249,17624,-236,468,-1.00,-1.0
251,18092,-3980,232,-1.00,-1.0
253,17184,2068,-3552,-1.00,-1.0
255,17700,2168,156,-1.00,-1.0
259,18248,256,120,-1.00,-1.0
261,16940,888,200,-1.00,-1.0
263,16100,-148,2144,-1.00,-1.0
265,17676,-652,-360,-1.00,-1.0
267,17660,2348,708,-1.00,-1.0
269,16436,2496,-2916,-1.00,-1.0
271,18852,-716,972,-1.00,-1.0
273,18128,-684,1008,-1.00,-1.0
275,15860,-968,1324,-1.00,-1.0
277,15620,600,2228,-1.00,-1.0
279,16728,360,-444,-1.00,-1.0
281,17540,1772,-1148,-1.00,-1.0
283,18372,1504,-492,-1.00,-1.0
285,18564,-1388,1808,-1.00,-1.0
287,16800,-1172,212,-1.00,-1.0
289,15212,152,592,-1.00,-1.0
290,16140,408,1772,-1.00,-1.0
294,17548,1120,420,-1.00,-1.0
296,17052,1400,-1092,-1.00,-1.0
298,17612,-1704,972,-1.00,-1.0
300,16736,-2420,1940,-1.00,-1.0
302,16128,-692,2260,-1.00,-1.0
304,15176,576,-1232,-1.00,-1.0
306,18140,-1776,2296,-1.00,-1.0
308,15996,-556,-1780,-1.00,-1.0
310,15968,-1556,592,-1.00,-1.0
312,16180,-804,3556,-1.00,-1.0
314,16840,-388,1024,-1.00,-1.0
316,16716,2236,-1292,-1.00,-1.0
318,17444,2256,-1560,-1.00,-1.0
320,19132,-844,3120,-1.00,-1.0
322,17260,-1304,20,-1.00,-1.0
324,15280,1136,400,-1.00,-1.0
328,17932,-948,956,-1.00,-1.0
330,17508,1012,728,-1.00,-1.0
332,17520,1188,-1268,-1.00,-1.0
334,18160,-204,312,-1.00,-1.0
336,17668,-1240,-188,-1.00,-1.0
338,15756,-308,2028,-1.00,-1.0
340,16096,736,1168,-1.00,-1.0
342,17624,600,876,-1.00,-1.0
344,17652,1236,-100,-1.00,-1.0
346,17452,1044,100,-1.00,-1.0
347,18100,-444,1712,-1.00,-1.0
349,16904,-1036,464,-1.00,-1.0
351,17620,408,-344,-1.00,-1.0
353,16288,792,1872,-1.00,-1.0
355,17860,-980,-100,-1.00,-1.0
357,16908,-204,-736,-1.00,-1.0
359,15704,24,312,-1.00,-1.0
363,17464,-804,328,-1.00,-1.0
365,17492,696,1960,-1.00,-1.0
