timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,17012,-92,1604,17087.70,29.85,-1.00,-1.0,2498
9,2135009,16900,-128,1164,16940.52,29.71,-1.00,-1.0,2474
11,2135011,17020,-252,1088,17056.60,29.71,-1.00,-1.0,2384
14,2135014,17112,-208,1072,17146.81,29.85,-1.00,-1.0,2434
17,2135017,17112,-372,1080,17150.08,29.75,-1.00,-1.0,2373
19,2135019,17116,-404,1092,17155.56,29.75,-1.00,-1.0,2370
22,2135022,17024,-268,1200,17068.35,29.71,-1.00,-1.0,2453
25,2135025,17036,-512,1300,17093.20,29.71,-1.00,-1.0,2385
28,2135028,16988,-380,1356,17046.27,29.80,-1.00,-1.0,2434
31,2135031,17120,-424,1368,17179.80,29.80,-1.00,-1.0,2381
35,2135035,17072,-184,1556,17143.75,29.80,-1.00,-1.0,2450
38,2135038,17060,-228,1440,17122.18,29.80,-1.00,-1.0,2381
41,2135041,17016,-228,1584,17091.09,29.85,-1.00,-1.0,2437
44,2135044,17080,-464,1676,17168.30,29.80,-1.00,-1.0,2385
46,2135046,17028,-516,1696,17120.03,29.75,-1.00,-1.0,2370
49,2135049,16908,-684,1420,16981.30,29.71,-1.00,-1.0,2433
52,2135052,17068,-612,1352,17132.40,29.75,-1.00,-1.0,2373
55,2135055,17112,-372,1388,17172.23,29.80,-1.00,-1.0,2434
57,2135057,17096,-444,1384,17157.68,29.71,-1.00,-1.0,2376
62,2135062,17020,-348,1304,17073.43,29.80,-1.00,-1.0,2450
65,2135065,17124,-364,1312,17178.04,29.75,-1.00,-1.0,2376
68,2135068,17080,-456,1488,17150.76,29.80,-1.00,-1.0,2439
70,2135070,16924,-424,1424,16989.09,29.80,-1.00,-1.0,2373
73,2135073,17028,-456,1224,17078.02,29.80,-1.00,-1.0,2447
76,2135076,17004,-372,1096,17043.35,29.80,-1.00,-1.0,2385
79,2135079,16980,-540,1036,17020.14,29.66,-1.00,-1.0,2371
81,2135081,17000,-396,1032,17035.90,29.75,-1.00,-1.0,2432
84,2135084,17052,-620,1112,17099.46,29.85,-1.00,-1.0,2374
89,2135089,17008,-420,704,17027.74,29.85,-1.00,-1.0,2447
92,2135092,16960,-296,872,16984.98,29.75,-1.00,-1.0,2376
95,2135095,17096,-236,1052,17129.96,29.75,-1.00,-1.0,2440
97,2135097,17192,-212,948,17219.42,29.85,-1.00,-1.0,2377
100,2135100,17028,60,1080,17062.32,29.89,-1.00,-1.0,2435
103,2135103,17020,-124,1024,17051.23,29.80,-1.00,-1.0,2376
106,2135106,16948,8,1044,16980.13,29.71,-1.00,-1.0,2440
108,2135108,16924,-32,1068,16957.70,29.80,-1.00,-1.0,2376
111,2135111,16856,-120,1092,16891.76,29.75,-1.00,-1.0,2377
116,2135116,17020,-108,1256,17066.62,29.66,-1.00,-1.0,2463
119,2135119,17020,-276,1328,17073.96,29.75,-1.00,-1.0,2378
122,2135122,17004,-236,1364,17060.25,29.75,-1.00,-1.0,2432
124,2135124,17112,-272,1352,17167.48,29.85,-1.00,-1.0,2376
127,2135127,16992,-360,1424,17055.36,29.80,-1.00,-1.0,2436
130,2135130,17136,-264,1456,17199.77,29.75,-1.00,-1.0,2363
133,2135133,17080,-152,1448,17141.94,29.89,-1.00,-1.0,2438
135,2135135,17072,-264,1488,17138.76,29.71,-1.00,-1.0,2373
140,2135140,17040,-292,1348,17095.73,29.71,-1.00,-1.0,2448
143,2135143,17024,-204,1328,17076.94,29.71,-1.00,-1.0,2375
146,2135146,17068,-344,1396,17128.45,29.71,-1.00,-1.0,2381
149,2135149,16928,-388,1432,16992.89,29.85,-1.00,-1.0,2442
151,2135151,17056,-444,1436,17122.10,29.75,-1.00,-1.0,2387
154,2135154,17056,-468,1344,17115.27,29.85,-1.00,-1.0,2434
157,2135157,17112,-620,1440,17183.67,29.75,-1.00,-1.0,2373
160,2135160,17044,-432,1252,17095.38,29.85,-1.00,-1.0,2432
162,2135162,17144,-480,1348,17203.61,29.75,-1.00,-1.0,2379
167,2135167,17056,-456,1172,17102.30,29.75,-1.00,-1.0,2438
170,2135170,16964,-284,1276,17014.29,29.75,-1.00,-1.0,2378
173,2135173,17020,-308,1404,17080.59,29.71,-1.00,-1.0,2433
176,2135176,17024,-264,1180,17066.89,29.75,-1.00,-1.0,2372
178,2135178,17040,-320,1344,17095.92,29.80,-1.00,-1.0,2436
181,2135181,17056,-456,1236,17106.80,29.80,-1.00,-1.0,2376
184,2135184,17076,-504,1276,17131.02,29.75,-1.00,-1.0,2379
187,2135187,17072,-340,1372,17130.42,29.75,-1.00,-1.0,2445
189,2135189,16940,-452,1312,16996.74,29.75,-1.00,-1.0,2383
194,2135194,17036,-260,1192,17079.63,29.75,-1.00,-1.0,2458
197,2135197,16956,-80,1060,16989.29,29.85,-1.00,-1.0,2380
200,2135200,17020,-332,1040,17054.98,29.80,-1.00,-1.0,2434
203,2135203,16964,-252,1268,17013.19,29.66,-1.00,-1.0,2372
205,2135205,16964,-300,1088,17001.50,29.80,-1.00,-1.0,2434
208,2135208,16948,-340,1112,16987.84,29.80,-1.00,-1.0,2374
211,2135211,17016,-236,1068,17051.12,29.66,-1.00,-1.0,2435
214,2135214,17052,-224,1100,17088.91,29.80,-1.00,-1.0,2374
219,2135219,16992,-196,1272,17040.67,29.85,-1.00,-1.0,2450
221,2135221,17020,-100,960,17047.35,29.75,-1.00,-1.0,2381
224,2135224,16964,-244,1012,16995.91,29.80,-1.00,-1.0,2375
227,2135227,16960,-72,956,16987.07,29.80,-1.00,-1.0,2432
229,2135229,16940,-256,968,16969.57,29.71,-1.00,-1.0,2373
232,2135232,17108,-284,1028,17141.21,29.75,-1.00,-1.0,2434
235,2135235,17064,-304,1152,17105.54,29.71,-1.00,-1.0,2375
238,2135238,17120,-520,1156,17166.86,29.75,-1.00,-1.0,2426
240,2135240,17152,-380,1372,17210.98,29.75,-1.00,-1.0,2373
245,2135245,17180,-524,1332,17239.52,29.80,-1.00,-1.0,2447
248,2135248,17068,-356,1332,17123.60,29.71,-1.00,-1.0,2374
251,2135251,17064,-356,1360,17121.81,29.75,-1.00,-1.0,2440
253,2135253,16944,-260,1364,17000.80,29.75,-1.00,-1.0,2375
256,2135256,16888,-192,1340,16942.17,29.75,-1.00,-1.0,2435
259,2135259,16952,-240,1340,17006.57,29.75,-1.00,-1.0,2374
262,2135262,17020,-316,1456,17085.09,29.75,-1.00,-1.0,2375
264,2135264,16984,-300,1380,17042.61,29.71,-1.00,-1.0,2422
267,2135267,17080,-404,1400,17142.04,29.80,-1.00,-1.0,2382
272,2135272,17052,-344,1580,17128.50,29.89,-1.00,-1.0,2458
275,2135275,17128,-452,1428,17193.37,29.71,-1.00,-1.0,2375
278,2135278,17052,-428,1256,17103.55,29.66,-1.00,-1.0,2433
280,2135280,17060,-344,1260,17109.93,29.80,-1.00,-1.0,2362
283,2135283,16996,-428,1252,17047.43,29.66,-1.00,-1.0,2422
286,2135286,17044,-272,1092,17081.11,29.71,-1.00,-1.0,2378
289,2135289,17052,-312,1096,17090.03,29.75,-1.00,-1.0,2438
291,2135291,17028,-296,1144,17068.95,29.75,-1.00,-1.0,2373
294,2135294,16992,-256,1104,17029.75,29.94,-1.00,-1.0,2370
299,2135299,17020,-308,1092,17057.78,29.75,-1.00,-1.0,2448
302,2135302,17072,-352,1080,17109.75,29.75,-1.00,-1.0,2375
305,2135305,17044,-236,1192,17087.26,29.85,-1.00,-1.0,2443
307,2135307,17080,-160,1180,17121.46,29.85,-1.00,-1.0,2374
310,2135310,17088,-236,980,17117.71,29.80,-1.00,-1.0,2449
313,2135313,17016,-244,1076,17051.73,29.80,-1.00,-1.0,2380
316,2135316,17012,-248,1092,17048.82,29.61,-1.00,-1.0,2436
319,2135319,17052,-276,1176,17094.73,29.80,-1.00,-1.0,2385
324,2135324,17088,-384,1204,17134.67,29.75,-1.00,-1.0,2447
326,2135326,17032,-324,1336,17087.39,29.89,-1.00,-1.0,2380
329,2135329,17108,-392,1188,17153.68,29.85,-1.00,-1.0,2440
332,2135332,17072,-228,1276,17121.14,29.80,-1.00,-1.0,2375
334,2135334,16996,-348,1488,17064.56,29.75,-1.00,-1.0,2370
337,2135337,17108,-228,1360,17163.49,29.85,-1.00,-1.0,2437
340,2135340,17028,-96,1360,17082.49,29.75,-1.00,-1.0,2374
343,2135343,16984,-140,1344,17037.67,29.71,-1.00,-1.0,2441
345,2135345,16936,-176,1308,16987.35,29.75,-1.00,-1.0,2377
350,2135350,17092,-164,1244,17138.00,29.75,-1.00,-1.0,2448
353,2135353,17152,-264,1320,17204.74,29.75,-1.00,-1.0,2379
356,2135356,17156,-504,1396,17220.08,29.80,-1.00,-1.0,2432
359,2135359,17104,-428,1332,17161.12,29.80,-1.00,-1.0,2381
362,2135362,17128,-456,1276,17181.52,29.75,-1.00,-1.0,2484
364,2135364,17008,-340,1212,17054.52,29.75,-1.00,-1.0,2358
367,2135367,17064,-280,1256,17112.45,29.80,-1.00,-1.0,2442
370,2135370,17052,-344,1200,17097.63,29.80,-1.00,-1.0,2370
373,2135373,17032,-324,1016,17065.35,29.75,-1.00,-1.0,2373
378,2135378,16992,-280,1212,17037.47,29.80,-1.00,-1.0,2453
380,2135380,17016,-168,1188,17058.25,29.75,-1.00,-1.0,2381
383,2135383,16976,-252,1348,17031.30,29.85,-1.00,-1.0,2438
386,2135386,17064,-248,1228,17109.93,29.85,-1.00,-1.0,2371
389,2135389,17148,-304,1200,17192.62,29.75,-1.00,-1.0,2435
391,2135391,16940,-304,1276,16990.71,29.66,-1.00,-1.0,2370
394,2135394,17036,-384,1236,17085.09,29.61,-1.00,-1.0,2440
397,2135397,17008,-316,1168,17050.99,29.80,-1.00,-1.0,2372
402,2135402,17068,-332,1268,17118.26,29.75,-1.00,-1.0,2451
405,2135405,17052,-436,1196,17099.45,29.75,-1.00,-1.0,2375
407,2135407,16968,-208,1176,17009.97,29.71,-1.00,-1.0,2434
410,2135410,16880,-372,1200,16926.69,29.80,-1.00,-1.0,2372
413,2135413,16984,-268,1252,17032.19,29.80,-1.00,-1.0,2377
416,2135416,16980,-236,1088,17016.46,29.75,-1.00,-1.0,2447
418,2135418,17052,-360,1180,17096.57,29.75,-1.00,-1.0,2381
421,2135421,17128,-200,1104,17164.71,29.94,-1.00,-1.0,2435
424,2135424,17088,-308,1100,17126.14,29.75,-1.00,-1.0,2372
429,2135429,17092,-140,1156,17131.62,29.80,-1.00,-1.0,2457
431,2135431,16980,-272,1248,17027.97,29.85,-1.00,-1.0,2371
434,2135434,16980,-324,1156,17022.39,29.80,-1.00,-1.0,2439
437,2135437,17028,-288,1132,17068.02,29.80,-1.00,-1.0,2373
440,2135440,16988,-312,1024,17021.69,29.75,-1.00,-1.0,2443
443,2135443,16980,-236,1376,17037.30,29.71,-1.00,-1.0,2372
445,2135445,17040,-340,1272,17090.79,29.75,-1.00,-1.0,2445
