timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,16924,-252,1124,16963.16,30.18,-1.00,-1.0,2510
9,2135009,17004,-340,1224,17051.39,30.08,-1.00,-1.0,2466
11,2135011,17060,-292,1324,17113.79,30.08,-1.00,-1.0,2380
14,2135014,17060,-308,1504,17128.94,30.13,-1.00,-1.0,2435
17,2135017,16976,-284,1444,17039.67,30.13,-1.00,-1.0,2374
20,2135020,17052,-248,1260,17100.29,30.08,-1.00,-1.0,2377
22,2135022,17080,-188,1400,17138.31,30.18,-1.00,-1.0,2437
25,2135025,16924,-236,1408,16984.11,30.18,-1.00,-1.0,2377
28,2135028,16972,-268,1240,17019.35,30.18,-1.00,-1.0,2423
31,2135031,16944,-328,1276,16995.14,30.08,-1.00,-1.0,2374
35,2135035,16964,-332,1376,17022.95,30.18,-1.00,-1.0,2457
38,2135038,17072,-296,1156,17113.65,30.08,-1.00,-1.0,2377
41,2135041,16976,-284,1168,17018.50,30.18,-1.00,-1.0,2436
44,2135044,17100,-316,1332,17154.71,30.08,-1.00,-1.0,2375
46,2135046,17008,-192,1068,17042.58,30.13,-1.00,-1.0,2371
49,2135049,17008,-248,1252,17055.82,30.13,-1.00,-1.0,2435
52,2135052,17028,-272,1244,17075.55,30.13,-1.00,-1.0,2380
55,2135055,17088,-356,1376,17147.01,30.08,-1.00,-1.0,2443
57,2135057,17204,-272,1396,17262.69,30.13,-1.00,-1.0,2380
62,2135062,17108,-300,1372,17165.55,30.13,-1.00,-1.0,2447
65,2135065,17004,-308,1320,17057.94,30.13,-1.00,-1.0,2376
68,2135068,16940,-316,1080,16977.33,30.08,-1.00,-1.0,2441
71,2135071,16988,-368,1368,17046.96,30.18,-1.00,-1.0,2380
73,2135073,17020,-332,1324,17074.65,30.18,-1.00,-1.0,2441
76,2135076,16996,-304,1132,17036.37,30.08,-1.00,-1.0,2383
79,2135079,17132,-416,1224,17180.71,30.22,-1.00,-1.0,2369
81,2135081,14544,-8992,-27116,32057.16,30.13,-1.00,-1.0,2434
84,2135084,23356,7724,17800,30364.50,30.13,-1.00,-1.0,2375
89,2135089,17696,16136,11920,26750.80,30.13,-1.00,-1.0,2434
92,2135092,10396,-5148,15204,19124.34,30.13,-1.00,-1.0,2377
95,2135095,21216,6240,348,22117.35,30.18,-1.00,-1.0,2438
97,2135097,13936,-2016,5340,15059.61,30.13,-1.00,-1.0,2364
100,2135100,21816,-11508,2432,24784.80,30.13,-1.00,-1.0,2435
103,2135103,14664,14120,3968,20740.11,30.13,-1.00,-1.0,2374
106,2135106,22848,-8280,-660,24311.01,30.08,-1.00,-1.0,2442
109,2135109,18432,7804,4440,20502.55,30.18,-1.00,-1.0,2378
114,2135114,18392,-12188,-1612,22122.65,30.18,-1.00,-1.0,2447
116,2135116,14420,11820,-1552,18709.82,30.22,-1.00,-1.0,2380
119,2135119,22844,-11652,3740,25915.34,30.08,-1.00,-1.0,2448
122,2135122,13864,9756,1468,17016.02,30.08,-1.00,-1.0,2376
124,2135124,15828,-1136,2704,16097.44,30.13,-1.00,-1.0,2371
127,2135127,18256,2748,1516,18523.80,30.04,-1.00,-1.0,2437
130,2135130,17072,7724,1016,18765.54,30.22,-1.00,-1.0,2375
133,2135133,19760,-9736,2116,22129.72,30.08,-1.00,-1.0,2442
135,2135135,16156,4516,140,16775.88,30.13,-1.00,-1.0,2374
140,2135140,17668,2984,-868,17939.23,30.04,-1.00,-1.0,2447
143,2135143,14620,-2756,-2128,15028.92,30.13,-1.00,-1.0,2375
146,2135146,17820,2232,312,17961.95,30.08,-1.00,-1.0,2436
149,2135149,16356,1660,-1036,16472.63,30.08,-1.00,-1.0,2384
152,2135152,18244,-3860,-120,18648.26,30.08,-1.00,-1.0,2439
154,2135154,18064,3200,1680,18422.01,30.08,-1.00,-1.0,2379
157,2135157,17616,-4224,1696,18194.56,30.22,-1.00,-1.0,2446
160,2135160,16704,2080,1032,16864.61,30.18,-1.00,-1.0,2363
165,2135165,17992,-3408,1980,18418.66,30.08,-1.00,-1.0,2456
168,2135168,16220,2656,1024,16467.89,30.08,-1.00,-1.0,2378
