timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,16912,-1852,-16,17013.11,23.78,-1.00,-1.0,2495
9,2135009,17004,-296,-116,17006.97,23.73,-1.00,-1.0,2466
12,2135012,17000,960,-932,17052.57,23.73,-1.00,-1.0,2368
15,2135015,17068,-736,504,17091.29,23.82,-1.00,-1.0,2428
17,2135017,16616,-1960,1488,16797.24,23.73,-1.00,-1.0,2360
20,2135020,17832,-1468,1756,17978.29,23.73,-1.00,-1.0,2369
23,2135023,16552,60,-764,16569.73,23.82,-1.00,-1.0,2437
26,2135026,17208,1108,416,17248.65,23.73,-1.00,-1.0,2365
28,2135028,16452,-1360,-684,16522.28,23.78,-1.00,-1.0,2445
31,2135031,17232,-1444,864,17313.97,23.82,-1.00,-1.0,2375
36,2135036,15960,-780,-796,15998.86,23.73,-1.00,-1.0,2448
39,2135039,17280,388,1816,17379.49,23.73,-1.00,-1.0,2361
41,2135041,16332,-636,180,16345.37,23.78,-1.00,-1.0,2441
44,2135044,16868,-800,984,16915.61,23.73,-1.00,-1.0,2370
47,2135047,17388,164,896,17411.84,23.78,-1.00,-1.0,2362
49,2135049,15992,-544,308,16004.21,23.78,-1.00,-1.0,2431
52,2135052,18232,-1236,888,18295.41,23.78,-1.00,-1.0,2366
55,2135055,16024,-396,512,16037.07,23.68,-1.00,-1.0,2431
58,2135058,17564,356,180,17568.53,23.78,-1.00,-1.0,2367
63,2135063,16352,-1188,-68,16395.24,23.73,-1.00,-1.0,2447
65,2135065,17888,-2256,832,18048.89,23.73,-1.00,-1.0,2363
68,2135068,16476,512,820,16504.34,23.78,-1.00,-1.0,2451
71,2135071,17264,632,-932,17300.69,23.73,-1.00,-1.0,2371
73,2135073,17804,112,732,17819.39,23.68,-1.00,-1.0,2369
76,2135076,16360,-1820,1988,16580.54,23.68,-1.00,-1.0,2439
79,2135079,17388,-1776,1320,17528.24,23.82,-1.00,-1.0,2371
82,2135082,16844,1308,24,16894.73,23.78,-1.00,-1.0,2440
84,2135084,16328,1608,84,16407.20,23.78,-1.00,-1.0,2376
89,2135089,16464,-1712,1924,16664.21,23.73,-1.00,-1.0,2447
92,2135092,17264,-972,1136,17328.62,23.82,-1.00,-1.0,2362
95,2135095,16740,796,444,16764.79,23.73,-1.00,-1.0,2445
97,2135097,16440,908,544,16474.04,23.82,-1.00,-1.0,2361
100,2135100,17320,-968,1176,17386.85,23.73,-1.00,-1.0,2369
103,2135103,16228,-1376,852,16308.50,23.73,-1.00,-1.0,2441
105,2135105,17524,-436,1004,17558.15,23.73,-1.00,-1.0,2362
108,2135108,16880,580,1584,16964.08,23.68,-1.00,-1.0,2450
111,2135111,17024,-236,44,17025.69,23.82,-1.00,-1.0,2361
116,2135116,16656,-580,960,16693.72,23.64,-1.00,-1.0,2448
119,2135119,17420,-1156,980,17485.80,23.73,-1.00,-1.0,2366
121,2135121,17004,-924,760,17046.04,23.82,-1.00,-1.0,2431
124,2135124,17356,240,768,17374.64,23.82,-1.00,-1.0,2366
127,2135127,16864,-604,-140,16875.39,23.73,-1.00,-1.0,2432
130,2135130,17176,-512,-188,17184.66,23.78,-1.00,-1.0,2366
132,2135132,17532,-620,1712,17626.30,23.73,-1.00,-1.0,2433
135,2135135,16364,-1660,448,16454.08,23.78,-1.00,-1.0,2366
138,2135138,17732,104,1596,17803.98,23.82,-1.00,-1.0,2363
143,2135143,17200,52,-420,17205.21,23.73,-1.00,-1.0,2446
145,2135145,17612,-576,1484,17683.79,23.78,-1.00,-1.0,2348
148,2135148,16244,-2060,1564,16448.62,23.73,-1.00,-1.0,2438
151,2135151,17556,12,712,17570.44,23.78,-1.00,-1.0,2347
154,2135154,16544,1068,-12,16578.44,23.82,-1.00,-1.0,2446
156,2135156,17236,88,-152,17236.89,23.78,-1.00,-1.0,2371
