timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,7684,-2316,-636,8050.60,24.01,-1.00,-1.0,2482
10,2135010,24340,2464,64,24464.48,24.06,-1.00,-1.0,2470
12,2135012,16388,-224,1036,16422.24,24.06,-1.00,-1.0,2363
15,2135015,27036,3080,928,27226.69,24.06,-1.00,-1.0,2361
18,2135018,2148,-2356,-464,3221.79,23.97,-1.00,-1.0,2446
20,2135020,29820,2720,1940,30006.57,23.97,-1.00,-1.0,2359
23,2135023,3104,-1860,1156,3798.78,24.11,-1.00,-1.0,2455
26,2135026,23584,2432,372,23711.98,24.06,-1.00,-1.0,2360
29,2135029,19664,1840,-320,19752.49,24.06,-1.00,-1.0,2446
31,2135031,22076,1200,-1268,22144.92,24.06,-1.00,-1.0,2358
36,2135036,21448,2788,-1828,21705.56,24.01,-1.00,-1.0,2457
39,2135039,22636,2368,1936,22841.72,24.01,-1.00,-1.0,2375
42,2135042,3780,-1024,2060,4424.99,24.01,-1.00,-1.0,2438
45,2135045,29772,3812,556,30020.20,24.01,-1.00,-1.0,2385
47,2135047,3184,-1964,-280,3751.47,24.06,-1.00,-1.0,2368
50,2135050,27168,3596,-588,27411.26,23.97,-1.00,-1.0,2432
53,2135053,14628,-1492,2828,14973.38,23.97,-1.00,-1.0,2366
55,2135055,25084,3292,-1276,25331.26,23.97,-1.00,-1.0,2430
58,2135058,13960,-632,-44,13974.37,24.06,-1.00,-1.0,2374
63,2135063,17360,1916,2724,17676.56,24.11,-1.00,-1.0,2455
66,2135066,6016,-476,716,6077.13,23.92,-1.00,-1.0,2362
69,2135069,32767,4960,-2064,33204.49,23.97,-1.00,-1.0,2450
71,2135071,1548,-3404,1784,4143.21,24.01,-1.00,-1.0,2365
74,2135074,32767,3668,-668,32978.43,24.01,-1.00,-1.0,2448
77,2135077,9528,-1076,-436,9598.47,24.11,-1.00,-1.0,2372
79,2135079,31200,3832,-356,31436.46,24.06,-1.00,-1.0,2350
82,2135082,16836,908,2184,17001.33,23.97,-1.00,-1.0,2436
85,2135085,7880,36,1592,8039.29,24.06,-1.00,-1.0,2364
90,2135090,6972,-712,-1240,7117.12,24.01,-1.00,-1.0,2440
93,2135093,30048,2684,2716,30289.65,24.01,-1.00,-1.0,2372
95,2135095,7180,-308,392,7197.29,24.06,-1.00,-1.0,2452
98,2135098,30984,4132,-1028,31275.21,24.11,-1.00,-1.0,2366
101,2135101,6312,-2896,1504,7105.64,24.06,-1.00,-1.0,2440
104,2135104,17788,1428,-740,17860.56,24.11,-1.00,-1.0,2376
106,2135106,8452,-1296,1292,8647.84,23.97,-1.00,-1.0,2368
109,2135109,12652,556,-688,12682.89,24.06,-1.00,-1.0,2433
112,2135112,29556,2636,1180,29696.77,23.97,-1.00,-1.0,2384
117,2135117,28940,3776,1068,29204.84,23.97,-1.00,-1.0,2453
119,2135119,9860,132,580,9877.93,23.97,-1.00,-1.0,2367
122,2135122,29136,4544,1968,29553.81,23.97,-1.00,-1.0,2437
125,2135125,2780,-3024,1148,4265.08,24.06,-1.00,-1.0,2364
128,2135128,24000,1160,-2244,24132.57,24.06,-1.00,-1.0,2438
130,2135130,2672,-2720,2004,4307.44,24.06,-1.00,-1.0,2360
133,2135133,17676,884,-688,17711.46,23.97,-1.00,-1.0,2439
136,2135136,29664,2572,-192,29775.91,24.06,-1.00,-1.0,2354
138,2135138,11776,232,-376,11784.29,23.97,-1.00,-1.0,2368
143,2135143,6600,-120,-376,6611.79,24.06,-1.00,-1.0,2445
146,2135146,32044,3088,-488,32196.15,24.06,-1.00,-1.0,2360
149,2135149,5972,-2992,1036,6759.45,24.06,-1.00,-1.0,2441
152,2135152,19580,1476,-1020,19662.03,23.97,-1.00,-1.0,2377
154,2135154,7684,-2588,392,8117.59,24.06,-1.00,-1.0,2442
157,2135157,21424,2300,-1304,21586.53,24.06,-1.00,-1.0,2360
160,2135160,22508,3472,4144,23148.17,24.06,-1.00,-1.0,2446
163,2135163,1468,-156,792,1675.30,24.06,-1.00,-1.0,2363
168,2135168,-1296,-3076,2952,4455.97,24.06,-1.00,-1.0,2458
170,2135170,32767,2996,456,32906.84,23.97,-1.00,-1.0,2369
173,2135173,4516,-2036,1040,5061.73,23.97,-1.00,-1.0,2365
176,2135176,22168,2956,-1456,22411.56,24.06,-1.00,-1.0,2440
178,2135178,5880,-2276,-24,6305.17,24.06,-1.00,-1.0,2360
181,2135181,21328,476,540,21340.14,24.11,-1.00,-1.0,2439
