timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,17000,816,1404,17077.38,24.15,-1.00,-1.0,2486
9,2135009,16960,168,1404,17018.84,24.29,-1.00,-1.0,2458
12,2135012,16756,60,1488,16822.05,24.20,-1.00,-1.0,2371
15,2135015,17088,1856,1352,17241.59,24.29,-1.00,-1.0,2365
18,2135018,16888,1780,1564,17053.42,24.25,-1.00,-1.0,2447
20,2135020,17028,-136,1332,17080.56,24.15,-1.00,-1.0,2372
23,2135023,17044,12,1564,17115.61,24.34,-1.00,-1.0,2447
26,2135026,16988,868,1928,17119.08,24.25,-1.00,-1.0,2373
29,2135029,17084,-200,1872,17187.42,24.25,-1.00,-1.0,2448
31,2135031,17100,-1424,1636,17237.00,24.25,-1.00,-1.0,2373
36,2135036,17208,1320,1700,17342.08,24.25,-1.00,-1.0,2452
39,2135039,17136,4,1208,17178.53,24.25,-1.00,-1.0,2364
42,2135042,16856,-788,1060,16907.67,24.15,-1.00,-1.0,2447
44,2135044,16808,288,1256,16857.32,24.15,-1.00,-1.0,2373
47,2135047,16724,1536,1180,16835.79,24.25,-1.00,-1.0,2351
50,2135050,16768,1376,1032,16855.98,24.20,-1.00,-1.0,2435
52,2135052,16792,1204,1088,16870.23,24.25,-1.00,-1.0,2353
55,2135055,16820,1416,1340,16932.60,24.20,-1.00,-1.0,2438
58,2135058,16976,552,1436,17045.57,24.25,-1.00,-1.0,2367
63,2135063,17132,-1312,1636,17259.88,24.25,-1.00,-1.0,2448
66,2135066,17200,156,1828,17297.57,24.29,-1.00,-1.0,2422
69,2135069,17344,896,1988,17480.54,24.25,-1.00,-1.0,2448
71,2135071,17056,620,1836,17165.73,24.25,-1.00,-1.0,2378
74,2135074,16972,196,1996,17090.09,24.25,-1.00,-1.0,2362
77,2135077,16888,292,1792,16985.32,24.20,-1.00,-1.0,2420
79,2135079,16876,176,1688,16961.12,24.25,-1.00,-1.0,2383
82,2135082,16920,40,1092,16955.25,24.29,-1.00,-1.0,2429
85,2135085,17028,1260,1096,17109.69,24.15,-1.00,-1.0,2372
90,2135090,17108,1460,1312,17220.24,24.25,-1.00,-1.0,2448
93,2135093,17000,588,1336,17062.55,24.15,-1.00,-1.0,2371
95,2135095,16980,-92,1340,17033.04,24.20,-1.00,-1.0,2447
98,2135098,16960,-220,1540,17031.20,24.25,-1.00,-1.0,2374
101,2135101,16956,-496,1760,17054.31,24.20,-1.00,-1.0,2360
103,2135103,16980,-516,1668,17069.53,24.29,-1.00,-1.0,2435
106,2135106,17208,260,1836,17307.62,24.29,-1.00,-1.0,2355
109,2135109,17168,764,1852,17284.50,24.20,-1.00,-1.0,2432
112,2135112,16984,-164,1688,17068.46,24.20,-1.00,-1.0,2373
117,2135117,16900,-308,1252,16949.11,24.25,-1.00,-1.0,2441
119,2135119,17112,576,1292,17170.37,24.25,-1.00,-1.0,2367
122,2135122,16948,1288,1428,17056.75,24.25,-1.00,-1.0,2438
125,2135125,16900,884,1640,17002.38,24.25,-1.00,-1.0,2366
128,2135128,16844,764,1708,16947.60,24.15,-1.00,-1.0,2443
130,2135130,16952,664,1756,17055.64,24.25,-1.00,-1.0,2367
133,2135133,17080,240,1676,17163.71,24.25,-1.00,-1.0,2435
136,2135136,17128,-168,1520,17196.13,24.25,-1.00,-1.0,2366
138,2135138,17092,76,1708,17177.30,24.15,-1.00,-1.0,2359
143,2135143,17052,528,1776,17152.37,24.15,-1.00,-1.0,2439
146,2135146,16920,460,1824,17024.25,24.20,-1.00,-1.0,2367
149,2135149,16816,512,1648,16904.32,24.25,-1.00,-1.0,2436
152,2135152,16948,272,1368,17005.30,24.20,-1.00,-1.0,2368
154,2135154,16904,-168,1260,16951.73,24.25,-1.00,-1.0,2421
157,2135157,16964,-328,1048,16999.51,24.29,-1.00,-1.0,2367
160,2135160,17052,276,1304,17104.01,24.25,-1.00,-1.0,2432
163,2135163,17096,564,1372,17160.24,24.20,-1.00,-1.0,2366
168,2135168,16976,400,1324,17032.25,24.29,-1.00,-1.0,2443
170,2135170,16976,600,1396,17043.87,24.20,-1.00,-1.0,2373
173,2135173,16992,592,1716,17088.69,24.20,-1.00,-1.0,2360
176,2135176,16908,-88,1528,16977.13,24.15,-1.00,-1.0,2435
178,2135178,16912,-300,1444,16976.19,24.20,-1.00,-1.0,2374
181,2135181,16992,220,1540,17063.06,24.25,-1.00,-1.0,2433
184,2135184,17148,760,1592,17238.50,24.20,-1.00,-1.0,2371
187,2135187,17096,512,1460,17165.87,24.15,-1.00,-1.0,2432
189,2135189,17228,304,1436,17290.42,24.20,-1.00,-1.0,2375
194,2135194,17092,568,1304,17151.08,24.11,-1.00,-1.0,2449
197,2135197,16936,236,1104,16973.59,24.20,-1.00,-1.0,2375
200,2135200,16744,-36,1052,16777.05,24.20,-1.00,-1.0,2437
203,2135203,16868,320,1240,16916.54,24.20,-1.00,-1.0,2372
205,2135205,16860,616,1392,16928.58,24.25,-1.00,-1.0,2361
208,2135208,16936,344,1492,17005.07,24.25,-1.00,-1.0,2434
211,2135211,17012,192,1380,17068.96,24.20,-1.00,-1.0,2369
213,2135213,17044,160,1508,17111.33,24.25,-1.00,-1.0,2434
216,2135216,17120,220,1676,17203.25,24.20,-1.00,-1.0,2374
221,2135221,17120,-120,1468,17183.24,24.25,-1.00,-1.0,2438
224,2135224,16996,104,1608,17072.21,24.15,-1.00,-1.0,2368
226,2135226,16968,520,1724,17063.28,24.25,-1.00,-1.0,2436
229,2135229,16880,544,1772,16981.47,24.25,-1.00,-1.0,2354
232,2135232,17048,660,1400,17118.12,24.25,-1.00,-1.0,2436
235,2135235,17008,744,1640,17103.08,24.20,-1.00,-1.0,2373
237,2135237,16948,604,1644,17038.26,24.25,-1.00,-1.0,2360
240,2135240,17116,300,1416,17177.09,24.15,-1.00,-1.0,2447
243,2135243,17020,72,1348,17073.45,24.20,-1.00,-1.0,2367
248,2135248,16960,-468,1676,17049.04,24.20,-1.00,-1.0,2443
250,2135250,16988,-208,1748,17078.96,24.29,-1.00,-1.0,2367
253,2135253,17060,232,1608,17137.18,24.25,-1.00,-1.0,2450
256,2135256,16976,536,1780,17077.48,24.11,-1.00,-1.0,2367
259,2135259,17020,340,1716,17109.67,24.15,-1.00,-1.0,2438
261,2135261,16996,344,1528,17068.02,24.20,-1.00,-1.0,2367
264,2135264,17072,428,1424,17136.63,24.15,-1.00,-1.0,2374
267,2135267,16944,348,1188,16989.16,24.25,-1.00,-1.0,2428
270,2135270,16988,212,1432,17049.57,24.20,-1.00,-1.0,2375
275,2135275,16956,1128,1564,17065.30,24.20,-1.00,-1.0,2437
