timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,16984,680,-332,17000.85,31.40,-1.00,-1.0,2497
9,2135009,17020,636,-376,17036.03,31.40,-1.00,-1.0,2461
12,2135012,17088,640,-172,17100.85,31.40,-1.00,-1.0,2362
15,2135015,17112,596,-96,17122.64,31.40,-1.00,-1.0,2368
18,2135018,16972,460,-60,16978.34,31.35,-1.00,-1.0,2436
20,2135020,17124,348,-200,17128.70,31.31,-1.00,-1.0,2363
23,2135023,16964,408,-616,16980.08,31.35,-1.00,-1.0,2435
26,2135026,17060,400,-368,17068.66,31.31,-1.00,-1.0,2362
28,2135028,17116,424,-320,17124.24,31.31,-1.00,-1.0,2436
31,2135031,17092,404,-108,17097.12,31.40,-1.00,-1.0,2364
36,2135036,17040,348,-384,17047.88,31.40,-1.00,-1.0,2445
39,2135039,17008,448,-528,17022.09,31.31,-1.00,-1.0,2364
41,2135041,17100,444,-344,17109.22,31.40,-1.00,-1.0,2360
44,2135044,17116,488,-388,17127.35,31.45,-1.00,-1.0,2435
47,2135047,17060,432,-284,17067.83,31.40,-1.00,-1.0,2351
50,2135050,17036,436,-356,17045.30,31.26,-1.00,-1.0,2437
52,2135052,17132,364,-344,17139.32,31.40,-1.00,-1.0,2361
55,2135055,17092,392,-440,17102.16,31.40,-1.00,-1.0,2440
58,2135058,17008,376,-268,17014.27,31.40,-1.00,-1.0,2346
63,2135063,17052,416,-348,17060.62,31.35,-1.00,-1.0,2456
65,2135065,17000,388,-192,17005.51,31.35,-1.00,-1.0,2361
68,2135068,17052,436,-372,17061.63,31.40,-1.00,-1.0,2367
71,2135071,17060,292,-320,17065.50,31.40,-1.00,-1.0,2429
74,2135074,17072,344,-172,17076.33,31.35,-1.00,-1.0,2359
76,2135076,17140,488,-260,17148.92,31.49,-1.00,-1.0,2457
79,2135079,17060,332,-220,17064.65,31.35,-1.00,-1.0,2359
82,2135082,17072,408,-460,17083.07,31.40,-1.00,-1.0,2449
84,2135084,17048,316,-368,17054.90,31.35,-1.00,-1.0,2358
89,2135089,17192,400,-300,17199.27,31.40,-1.00,-1.0,2444
92,2135092,17128,480,-312,17137.56,31.49,-1.00,-1.0,2361
95,2135095,17136,420,-224,17142.61,31.35,-1.00,-1.0,2361
98,2135098,17140,632,-140,17152.22,31.35,-1.00,-1.0,2437
100,2135100,16992,484,-328,17002.06,31.35,-1.00,-1.0,2365
103,2135103,17004,652,-504,17023.96,31.35,-1.00,-1.0,2435
