timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,16352,5240,1964,17283.02,29.42,-1.00,-1.0,2508
9,2135009,16220,2600,1404,16486.95,29.33,-1.00,-1.0,2458
12,2135012,18000,-3968,912,18454.72,29.33,-1.00,-1.0,2390
15,2135015,16972,3068,1296,17295.69,29.38,-1.00,-1.0,2435
17,2135017,17080,-2460,-352,17259.84,29.38,-1.00,-1.0,2377
20,2135020,16592,1328,1524,16714.68,29.33,-1.00,-1.0,2373
23,2135023,16920,1460,1336,17035.34,29.33,-1.00,-1.0,2441
25,2135025,17252,-2456,1120,17461.90,29.42,-1.00,-1.0,2380
28,2135028,17568,1208,828,17628.94,29.38,-1.00,-1.0,2434
31,2135031,17936,-1944,2084,18161.01,29.33,-1.00,-1.0,2375
36,2135036,17468,1408,1972,17635.26,29.33,-1.00,-1.0,2444
38,2135038,17040,-608,640,17062.85,29.42,-1.00,-1.0,2388
41,2135041,17036,-16,188,17037.04,29.38,-1.00,-1.0,2433
44,2135044,17580,-916,1620,17678.23,29.42,-1.00,-1.0,2376
46,2135046,16760,-396,2512,16951.83,29.38,-1.00,-1.0,2369
49,2135049,17568,-436,1744,17659.74,29.33,-1.00,-1.0,2450
52,2135052,17444,-1732,1332,17580.31,29.38,-1.00,-1.0,2376
55,2135055,17076,-224,1860,17178.46,29.33,-1.00,-1.0,2437
58,2135058,16856,-732,1288,16920.98,29.42,-1.00,-1.0,2379
63,2135063,17280,-76,1496,17344.80,29.42,-1.00,-1.0,2442
65,2135065,17076,-672,900,17112.90,29.38,-1.00,-1.0,2377
68,2135068,17192,1184,268,17234.81,29.33,-1.00,-1.0,2448
71,2135071,16888,-1344,1932,17051.20,29.42,-1.00,-1.0,2383
74,2135074,17072,-516,1140,17117.80,29.28,-1.00,-1.0,2443
76,2135076,17124,-148,936,17150.20,29.33,-1.00,-1.0,2381
79,2135079,16816,-808,1112,16872.09,29.28,-1.00,-1.0,2371
82,2135082,17148,-268,2172,17287.09,29.33,-1.00,-1.0,2435
84,2135084,17108,-360,1440,17172.27,29.28,-1.00,-1.0,2372
