timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,17056,-64,1220,17099.70,26.46,-1.00,-1.0,2481
9,2135009,16924,-88,1080,16958.65,26.51,-1.00,-1.0,2462
12,2135012,16984,-56,980,17012.34,26.41,-1.00,-1.0,2362
14,2135014,17036,36,1008,17065.83,26.46,-1.00,-1.0,2361
17,2135017,16924,-12,1092,16959.20,26.55,-1.00,-1.0,2437
20,2135020,17124,-112,948,17150.59,26.55,-1.00,-1.0,2363
23,2135023,16956,-112,1096,16991.75,26.46,-1.00,-1.0,2450
25,2135025,17056,-80,1092,17091.11,26.51,-1.00,-1.0,2356
28,2135028,16936,16,1056,16968.90,26.46,-1.00,-1.0,2441
31,2135031,16888,68,996,16917.48,26.51,-1.00,-1.0,2357
36,2135036,17020,32,940,17045.97,26.46,-1.00,-1.0,2449
38,2135038,16952,-68,1028,16983.28,26.55,-1.00,-1.0,2358
41,2135041,16972,48,972,16999.88,26.46,-1.00,-1.0,2368
44,2135044,17016,-68,1016,17046.44,26.51,-1.00,-1.0,2449
46,2135046,17068,-136,1012,17098.52,26.46,-1.00,-1.0,2358
49,2135049,16944,-64,1136,16982.16,26.46,-1.00,-1.0,2453
52,2135052,16952,-52,1196,16994.22,26.46,-1.00,-1.0,2357
55,2135055,16968,-52,1140,17006.33,26.55,-1.00,-1.0,2448
57,2135057,17020,-52,1200,17062.33,26.55,-1.00,-1.0,2359
62,2135062,17000,-140,996,17029.73,26.46,-1.00,-1.0,2447
65,2135065,17060,-72,1064,17093.30,26.60,-1.00,-1.0,2357
68,2135068,16984,-88,1088,17019.04,26.46,-1.00,-1.0,2367
71,2135071,17048,-20,1064,17081.18,26.46,-1.00,-1.0,2434
73,2135073,17012,-24,1072,17045.76,26.46,-1.00,-1.0,2364
76,2135076,16988,-48,1116,17024.69,26.55,-1.00,-1.0,2434
79,2135079,17076,-72,1052,17108.53,26.46,-1.00,-1.0,2363
81,2135081,17028,-36,1032,17059.28,26.55,-1.00,-1.0,2434
84,2135084,17020,-76,1148,17058.84,26.55,-1.00,-1.0,2364
89,2135089,16964,-36,1120,17000.97,26.51,-1.00,-1.0,2457
92,2135092,16928,-56,944,16954.39,26.46,-1.00,-1.0,2373
95,2135095,16952,-4,1140,16990.29,26.51,-1.00,-1.0,2360
97,2135097,17048,20,1120,17084.76,26.55,-1.00,-1.0,2435
100,2135100,17076,-108,1080,17110.46,26.51,-1.00,-1.0,2367
103,2135103,17000,-28,1124,17037.14,26.46,-1.00,-1.0,2433
106,2135106,17096,-64,1128,17133.29,26.51,-1.00,-1.0,2366
108,2135108,17000,-28,1192,17041.76,26.55,-1.00,-1.0,2436
111,2135111,17004,-76,1056,17036.93,26.51,-1.00,-1.0,2371
116,2135116,16972,-40,1024,17002.91,26.51,-1.00,-1.0,2463
119,2135119,17004,-28,1052,17036.54,26.51,-1.00,-1.0,2364
122,2135122,17056,-108,1096,17091.52,26.51,-1.00,-1.0,2453
124,2135124,17044,-16,1064,17077.19,26.60,-1.00,-1.0,2361
127,2135127,17032,-52,1128,17069.39,26.51,-1.00,-1.0,2361
130,2135130,17044,-68,1076,17078.07,26.46,-1.00,-1.0,2445
132,2135132,16904,-56,956,16931.10,26.51,-1.00,-1.0,2374
135,2135135,17072,-92,1028,17103.17,26.37,-1.00,-1.0,2441
138,2135138,17040,-100,1044,17072.24,26.41,-1.00,-1.0,2365
143,2135143,17040,56,992,17068.94,26.60,-1.00,-1.0,2459
145,2135145,17036,-36,1120,17072.81,26.51,-1.00,-1.0,2362
148,2135148,17040,-192,856,17062.57,26.51,-1.00,-1.0,2447
151,2135151,17040,48,1040,17071.78,26.55,-1.00,-1.0,2357
154,2135154,16984,20,928,17009.35,26.51,-1.00,-1.0,2367
156,2135156,17036,-112,920,17061.19,26.41,-1.00,-1.0,2443
