timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,16948,884,1352,17024.81,25.28,-1.00,-1.0,2491
9,2135009,17040,920,1272,17112.16,25.24,-1.00,-1.0,2472
12,2135012,16988,900,1156,17051.05,25.14,-1.00,-1.0,2380
15,2135015,16980,836,1112,17036.90,25.19,-1.00,-1.0,2363
17,2135017,16932,828,1312,17002.93,25.09,-1.00,-1.0,2430
20,2135020,16916,848,1096,16972.67,25.09,-1.00,-1.0,2383
23,2135023,17044,912,1276,17116.01,25.05,-1.00,-1.0,2436
26,2135026,17060,924,1088,17119.61,25.19,-1.00,-1.0,2372
28,2135028,17016,924,1140,17079.16,25.14,-1.00,-1.0,2438
31,2135031,17020,888,1204,17085.62,25.09,-1.00,-1.0,2362
36,2135036,16920,792,1200,16980.98,25.09,-1.00,-1.0,2473
39,2135039,16912,892,1172,16976.01,25.19,-1.00,-1.0,2369
41,2135041,16968,888,1184,17032.42,25.14,-1.00,-1.0,2371
44,2135044,16956,868,1304,17028.21,25.14,-1.00,-1.0,2460
47,2135047,16844,864,1120,16903.29,25.24,-1.00,-1.0,2380
50,2135050,16952,884,1268,17022.33,25.24,-1.00,-1.0,2433
52,2135052,16932,836,1260,16999.39,25.14,-1.00,-1.0,2367
55,2135055,17016,816,1208,17078.33,25.19,-1.00,-1.0,2454
58,2135058,16904,928,1244,16975.10,25.19,-1.00,-1.0,2380
63,2135063,16892,916,1216,16960.46,25.24,-1.00,-1.0,2455
66,2135066,17076,808,1220,17138.58,25.24,-1.00,-1.0,2377
69,2135069,16960,876,1188,17024.11,25.19,-1.00,-1.0,2458
71,2135071,17024,860,1240,17090.75,25.19,-1.00,-1.0,2368
74,2135074,17040,824,1188,17101.23,25.19,-1.00,-1.0,2372
77,2135077,17012,848,1344,17086.06,25.24,-1.00,-1.0,2453
79,2135079,17016,892,1076,17073.30,25.19,-1.00,-1.0,2365
82,2135082,16920,824,1208,16983.07,25.14,-1.00,-1.0,2449
85,2135085,17008,872,1288,17078.97,25.14,-1.00,-1.0,2365
90,2135090,17072,844,1320,17143.74,25.19,-1.00,-1.0,2458
93,2135093,17032,896,1212,17098.56,25.09,-1.00,-1.0,2372
95,2135095,16944,884,1200,17009.43,25.14,-1.00,-1.0,2441
98,2135098,16940,840,1084,16995.42,25.19,-1.00,-1.0,2371
101,2135101,16944,840,1200,17007.20,25.14,-1.00,-1.0,2371
103,2135103,16996,848,1104,17052.92,25.09,-1.00,-1.0,2446
106,2135106,16960,792,1292,17027.57,25.14,-1.00,-1.0,2368
109,2135109,16924,872,1088,16981.34,25.19,-1.00,-1.0,2462
112,2135112,16956,844,1300,17026.69,25.24,-1.00,-1.0,2373
117,2135117,16960,888,1040,17015.04,25.24,-1.00,-1.0,2459
119,2135119,16940,884,1144,17001.58,25.24,-1.00,-1.0,2354
122,2135122,16972,880,1228,17039.11,25.00,-1.00,-1.0,2451
125,2135125,16864,788,1168,16922.76,25.14,-1.00,-1.0,2365
127,2135127,16936,832,1104,16992.33,25.19,-1.00,-1.0,2374
130,2135130,16992,892,1192,17057.10,25.24,-1.00,-1.0,2451
133,2135133,16904,848,1184,16966.62,25.09,-1.00,-1.0,2374
136,2135136,16972,924,1080,17031.41,25.14,-1.00,-1.0,2446
139,2135139,17016,816,1216,17078.90,25.14,-1.00,-1.0,2370
144,2135144,17080,860,1140,17139.59,25.24,-1.00,-1.0,2462
146,2135146,17004,796,1200,17064.87,25.19,-1.00,-1.0,2375
149,2135149,17000,884,1252,17068.95,25.24,-1.00,-1.0,2448
152,2135152,17060,896,1160,17122.85,25.14,-1.00,-1.0,2365
155,2135155,16952,768,1288,17018.20,25.14,-1.00,-1.0,2447
157,2135157,16984,804,1128,17040.39,25.24,-1.00,-1.0,2368
160,2135160,17024,776,1168,17081.66,25.19,-1.00,-1.0,2372
163,2135163,16984,912,1160,17047.98,25.19,-1.00,-1.0,2453
165,2135165,16944,820,1164,17003.72,25.19,-1.00,-1.0,2364
