timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,16956,-68,524,-1.00,-1.0
4,17004,-32,632,-1.00,-1.0
6,17000,-4,656,-1.00,-1.0
11,17020,-68,580,-1.00,-1.0
13,17016,-80,636,-1.00,-1.0
15,16864,0,568,-1.00,-1.0
17,16980,-8,464,-1.00,-1.0
19,17036,12,656,-1.00,-1.0
21,17012,-52,612,-1.00,-1.0
23,17000,-88,484,-1.00,-1.0
25,17044,-60,544,-1.00,-1.0
27,17072,-104,684,-1.00,-1.0
29,16940,52,544,-1.00,-1.0
31,17028,-4,528,-1.00,-1.0
33,16964,-112,380,-1.00,-1.0
35,17028,-32,584,-1.00,-1.0
37,16964,-56,456,-1.00,-1.0
39,16960,-28,564,-1.00,-1.0
41,17000,-52,444,-1.00,-1.0
42,17112,-48,720,-1.00,-1.0
44,16980,48,640,-1.00,-1.0
46,17008,-44,484,-1.00,-1.0
50,17080,44,612,-1.00,-1.0
52,16904,-20,592,-1.00,-1.0
54,16944,16,540,-1.00,-1.0
56,16992,-56,464,-1.00,-1.0
58,17052,-4,716,-1.00,-1.0
60,16976,4,448,-1.00,-1.0
62,17048,-72,484,-1.00,-1.0
64,17112,-16,616,-1.00,-1.0
66,17020,-16,624,-1.00,-1.0
68,16860,-28,512,-1.00,-1.0
70,16976,-52,484,-1.00,-1.0
72,17088,-12,564,-1.00,-1.0
74,17008,-16,668,-1.00,-1.0
75,17012,-88,656,-1.00,-1.0
78,16960,32,584,-1.00,-1.0
79,17120,-76,480,-1.00,-1.0
81,17036,-8,480,-1.00,-1.0
83,16992,20,644,-1.00,-1.0
87,17024,-88,620,-1.00,-1.0
89,16968,4,656,-1.00,-1.0
91,17044,64,540,-1.00,-1.0
93,17012,-12,684,-1.00,-1.0
95,17092,-76,576,-1.00,-1.0
97,16948,28,540,-1.00,-1.0
99,17048,-32,532,-1.00,-1.0
101,16996,-96,624,-1.00,-1.0
103,16936,-140,472,-1.00,-1.0
105,17008,-64,588,-1.00,-1.0
107,17068,4,632,-1.00,-1.0
109,17000,36,608,-1.00,-1.0
111,17036,32,548,-1.00,-1.0
113,17080,60,696,-1.00,-1.0
115,17044,-136,612,-1.00,-1.0
117,16976,-88,680,-1.00,-1.0
119,17028,-76,620,-1.00,-1.0
120,17000,12,496,-1.00,-1.0
122,16964,40,556,-1.00,-1.0
127,17088,4,672,-1.00,-1.0
129,17012,48,788,-1.00,-1.0
130,17000,-56,592,-1.00,-1.0
132,17032,-20,544,-1.00,-1.0
134,17028,-40,724,-1.00,-1.0
136,17092,-84,584,-1.00,-1.0
138,17064,-112,656,-1.00,-1.0
140,16968,8,704,-1.00,-1.0
142,17000,28,608,-1.00,-1.0
144,17040,4,544,-1.00,-1.0
146,17044,-72,372,-1.00,-1.0
148,17040,-16,492,-1.00,-1.0
150,16992,-96,564,-1.00,-1.0
152,17056,-16,424,-1.00,-1.0
154,16976,-40,696,-1.00,-1.0
156,17024,-44,700,-1.00,-1.0
158,17012,-56,556,-1.00,-1.0
159,17032,12,608,-1.00,-1.0
164,16956,4,644,-1.00,-1.0
166,16960,0,608,-1.00,-1.0
168,17044,-120,604,-1.00,-1.0
169,17056,-20,552,-1.00,-1.0
172,16972,-52,472,-1.00,-1.0
173,17056,-20,664,-1.00,-1.0
175,17000,-120,480,-1.00,-1.0
177,16964,-36,500,-1.00,-1.0
179,17044,44,516,-1.00,-1.0
181,17036,-80,668,-1.00,-1.0
183,16900,60,600,-1.00,-1.0
185,17008,-136,496,-1.00,-1.0
187,16984,-84,460,-1.00,-1.0
189,17060,-104,712,-1.00,-1.0
191,16980,4,624,-1.00,-1.0
193,17004,-44,588,-1.00,-1.0
195,16992,36,460,-1.00,-1.0
199,16924,-12,540,-1.00,-1.0
201,17016,-24,536,-1.00,-1.0
203,17036,-40,492,-1.00,-1.0
205,17024,-12,496,-1.00,-1.0
207,17068,-76,464,-1.00,-1.0
209,17008,-24,416,-1.00,-1.0
211,17096,0,608,-1.00,-1.0
212,17032,-68,500,-1.00,-1.0
214,16960,12,492,-1.00,-1.0
216,17012,-12,608,-1.00,-1.0
218,16932,-52,588,-1.00,-1.0
220,16996,32,560,-1.00,-1.0
222,17056,0,648,-1.00,-1.0
224,16956,24,544,-1.00,-1.0
226,16924,0,656,-1.00,-1.0
228,17000,-52,412,-1.00,-1.0
230,17000,16,556,-1.00,-1.0
232,17052,-68,584,-1.00,-1.0
236,17024,-32,596,-1.00,-1.0
238,16932,8,560,-1.00,-1.0
240,16984,-4,728,-1.00,-1.0
242,16984,0,728,-1.00,-1.0
244,17036,-116,548,-1.00,-1.0
246,16904,-12,712,-1.00,-1.0
248,16928,-72,808,-1.00,-1.0
250,17032,-76,576,-1.00,-1.0
252,17016,4,608,-1.00,-1.0
254,17012,-20,628,-1.00,-1.0
256,17040,60,504,-1.00,-1.0
257,17016,-24,564,-1.00,-1.0
259,17012,-176,460,-1.00,-1.0
261,17008,-164,596,-1.00,-1.0
