timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
1,17052,-24,568,-1.00,-1.0
3,17020,-16,624,-1.00,-1.0
5,16996,28,624,-1.00,-1.0
11,16924,76,608,-1.00,-1.0
13,16992,52,676,-1.00,-1.0
15,16972,28,676,-1.00,-1.0
17,17104,20,744,-1.00,-1.0
19,17068,56,740,-1.00,-1.0
21,16968,28,644,-1.00,-1.0
23,16992,4,696,-1.00,-1.0
25,17016,-28,600,-1.00,-1.0
26,16956,-48,732,-1.00,-1.0
28,17012,-68,544,-1.00,-1.0
30,16988,36,508,-1.00,-1.0
32,16896,-12,612,-1.00,-1.0
34,16976,-4,696,-1.00,-1.0
36,16956,76,684,-1.00,-1.0
38,17040,56,712,-1.00,-1.0
40,16976,60,572,-1.00,-1.0
42,16936,76,708,-1.00,-1.0
44,16892,56,500,-1.00,-1.0
46,17008,24,628,-1.00,-1.0
50,16992,84,572,-1.00,-1.0
52,17040,-16,680,-1.00,-1.0
54,16936,-96,728,-1.00,-1.0
56,17036,-68,604,-1.00,-1.0
57,16992,-40,596,-1.00,-1.0
60,16992,-88,636,-1.00,-1.0
62,17124,-48,728,-1.00,-1.0
63,17044,60,516,-1.00,-1.0
65,16948,-76,576,-1.00,-1.0
67,16972,4,776,-1.00,-1.0
69,17036,-36,608,-1.00,-1.0
71,16988,12,732,-1.00,-1.0
73,17068,-8,620,-1.00,-1.0
75,17024,44,712,-1.00,-1.0
77,16992,-32,648,-1.00,-1.0
79,16976,12,572,-1.00,-1.0
81,16964,12,684,-1.00,-1.0
83,16988,-128,672,-1.00,-1.0
85,16972,60,676,-1.00,-1.0
89,16956,32,604,-1.00,-1.0
91,17036,-44,600,-1.00,-1.0
93,16972,-40,640,-1.00,-1.0
95,16964,4,688,-1.00,-1.0
97,16968,88,764,-1.00,-1.0
99,17036,8,680,-1.00,-1.0
101,16940,-28,868,-1.00,-1.0
102,17036,12,720,-1.00,-1.0
104,17036,-68,644,-1.00,-1.0
106,16988,104,696,-1.00,-1.0
108,16924,0,716,-1.00,-1.0
110,16956,-4,500,-1.00,-1.0
112,16888,0,816,-1.00,-1.0
114,17000,140,548,-1.00,-1.0
116,16984,32,700,-1.00,-1.0
118,16940,60,660,-1.00,-1.0
120,17024,-84,608,-1.00,-1.0
122,17076,-108,652,-1.00,-1.0
126,16956,-16,712,-1.00,-1.0
128,17036,28,484,-1.00,-1.0
130,16948,-28,512,-1.00,-1.0
132,17028,-76,712,-1.00,-1.0
134,17036,-8,712,-1.00,-1.0
136,16892,-20,596,-1.00,-1.0
138,17072,32,536,-1.00,-1.0
140,16992,-8,616,-1.00,-1.0
142,16992,72,592,-1.00,-1.0
144,17000,-76,716,-1.00,-1.0
146,17064,-100,652,-1.00,-1.0
147,16988,-20,680,-1.00,-1.0
149,17008,-44,648,-1.00,-1.0
151,16948,4,612,-1.00,-1.0
153,16992,72,604,-1.00,-1.0
155,17044,-100,692,-1.00,-1.0
157,16948,-76,588,-1.00,-1.0
159,16960,12,544,-1.00,-1.0
163,17084,44,724,-1.00,-1.0
165,16924,-8,628,-1.00,-1.0
167,17016,-64,684,-1.00,-1.0
169,17028,100,692,-1.00,-1.0
171,16992,-112,552,-1.00,-1.0
173,16992,0,704,-1.00,-1.0
175,16996,-76,592,-1.00,-1.0
177,16864,-60,632,-1.00,-1.0
179,17052,0,604,-1.00,-1.0
181,16964,48,660,-1.00,-1.0
183,17092,32,644,-1.00,-1.0
185,17048,-100,612,-1.00,-1.0
186,16920,8,624,-1.00,-1.0
188,16984,-56,564,-1.00,-1.0
190,17040,-76,696,-1.00,-1.0
192,16964,-20,692,-1.00,-1.0
194,17000,-8,692,-1.00,-1.0
196,16940,8,760,-1.00,-1.0
200,17036,36,636,-1.00,-1.0
202,17036,40,620,-1.00,-1.0
204,17040,-44,644,-1.00,-1.0
206,17028,-36,580,-1.00,-1.0
208,16932,48,736,-1.00,-1.0
210,17044,-96,668,-1.00,-1.0
212,17032,-8,652,-1.00,-1.0
214,16968,-44,600,-1.00,-1.0
216,17056,-72,724,-1.00,-1.0
218,16984,60,652,-1.00,-1.0
220,17020,12,752,-1.00,-1.0
222,16980,-60,608,-1.00,-1.0
224,16952,20,696,-1.00,-1.0
226,17044,8,776,-1.00,-1.0
228,17004,-100,556,-1.00,-1.0
230,16988,108,452,-1.00,-1.0
231,16936,-4,612,-1.00,-1.0
233,17032,-40,720,-1.00,-1.0
238,17024,-28,624,-1.00,-1.0
240,16932,76,632,-1.00,-1.0
241,16936,-40,724,-1.00,-1.0
243,17012,0,604,-1.00,-1.0
245,16968,16,668,-1.00,-1.0
247,16980,-40,696,-1.00,-1.0
249,17000,-20,624,-1.00,-1.0
251,16900,-36,608,-1.00,-1.0
253,16960,-52,580,-1.00,-1.0
255,16956,-80,596,-1.00,-1.0
257,17008,52,692,-1.00,-1.0
259,16832,20,696,-1.00,-1.0
261,16952,-64,548,-1.00,-1.0
263,16948,32,844,-1.00,-1.0
265,17092,20,604,-1.00,-1.0
267,16968,-36,676,-1.00,-1.0
269,16908,52,632,-1.00,-1.0
270,17020,-76,520,-1.00,-1.0
275,16904,52,620,-1.00,-1.0
277,16980,24,656,-1.00,-1.0
279,16916,-36,560,-1.00,-1.0
281,16972,-104,812,-1.00,-1.0
282,16928,48,704,-1.00,-1.0
284,16924,8,648,-1.00,-1.0
286,16976,4,644,-1.00,-1.0
288,17016,56,736,-1.00,-1.0
290,17012,4,684,-1.00,-1.0
292,16924,20,684,-1.00,-1.0
294,17044,-12,512,-1.00,-1.0
296,16916,-152,592,-1.00,-1.0
298,17120,-32,708,-1.00,-1.0
300,16992,52,748,-1.00,-1.0
302,16976,-64,716,-1.00,-1.0
304,16944,4,636,-1.00,-1.0
306,16912,60,536,-1.00,-1.0
308,16988,-68,620,-1.00,-1.0
312,16932,-40,736,-1.00,-1.0
314,16868,48,580,-1.00,-1.0
316,16964,-108,516,-1.00,-1.0
318,16984,36,552,-1.00,-1.0
319,16996,-40,464,-1.00,-1.0
321,16944,-24,664,-1.00,-1.0
323,16940,36,652,-1.00,-1.0
325,17000,96,616,-1.00,-1.0
327,17020,0,676,-1.00,-1.0
329,17000,-64,660,-1.00,-1.0
331,17012,-44,568,-1.00,-1.0
333,16964,24,660,-1.00,-1.0
335,17000,44,596,-1.00,-1.0
337,17052,-20,776,-1.00,-1.0
339,17000,60,536,-1.00,-1.0
341,17068,-28,560,-1.00,-1.0
343,16992,88,628,-1.00,-1.0
345,16988,24,580,-1.00,-1.0
349,16948,0,656,-1.00,-1.0
351,17040,-8,516,-1.00,-1.0
353,16928,-112,632,-1.00,-1.0
355,17072,16,576,-1.00,-1.0
357,17000,12,712,-1.00,-1.0
359,17004,168,680,-1.00,-1.0
361,17040,40,608,-1.00,-1.0
362,16944,28,556,-1.00,-1.0
364,17052,-32,564,-1.00,-1.0
366,17000,52,684,-1.00,-1.0
368,16984,16,616,-1.00,-1.0
370,16944,-16,756,-1.00,-1.0
372,16956,40,516,-1.00,-1.0
374,16976,20,680,-1.00,-1.0
