timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
3,2000,-180,17816,4.12,91.3
6,1976,-196,17752,4.12,91.3
9,1944,-92,17900,4.12,91.3
16,2068,-176,17916,4.12,91.3
19,2028,-152,17820,4.12,91.3
22,2020,-104,17772,4.12,91.3
25,1984,-52,17956,4.12,91.3
28,2084,-60,17912,4.12,91.3
31,2020,-96,17848,4.12,91.3
34,1988,-128,17624,4.12,91.3
37,2116,-108,17632,4.12,91.3
40,1920,-164,17748,4.12,91.3
43,1992,-76,17768,4.12,91.3
47,2088,-196,17852,4.12,91.3
50,1956,-112,17680,4.12,91.3
53,1972,-68,17628,4.12,91.3
56,2004,-160,17716,4.12,91.3
59,2020,-160,17672,4.12,91.3
62,2012,-116,17780,4.12,91.3
65,1984,-128,17796,4.12,91.3
68,2064,-160,17816,4.12,91.3
73,1992,-188,17704,4.12,91.3
76,2132,-124,17880,4.12,91.3
79,2052,-100,17816,4.12,91.3
82,2016,-172,17792,4.12,91.3
85,1976,-156,17748,4.12,91.3
89,1936,0,17912,4.12,91.3
92,2012,-100,17800,4.12,91.3
95,1984,-56,17836,4.12,91.3
98,2108,-116,17748,4.12,91.3
101,1948,-104,17984,4.12,91.3
104,1900,-216,17784,4.12,91.3
107,2108,-220,17844,4.12,91.3
110,2000,-144,17892,4.12,91.3
113,2076,-124,17868,4.12,91.3
116,2016,-168,17732,4.12,91.3
119,1912,-84,17620,4.12,91.3
122,1984,-100,17708,4.12,91.3
125,2116,-204,17792,4.12,91.3
131,1980,-64,17780,4.12,91.3
134,2004,-156,17824,4.12,91.3
137,1932,-72,17840,4.12,91.3
140,1944,-132,17728,4.12,91.3
143,2084,-132,17812,4.12,91.3
146,1980,-252,17748,4.12,91.3
149,1928,-112,17592,4.12,91.3
152,1988,-92,17896,4.12,91.3
156,2004,-64,17824,4.12,91.3
159,2072,-120,17860,4.12,91.3
162,2012,-164,17828,4.12,91.3
165,1920,-160,17824,4.12,91.3
168,2080,-204,17732,4.12,91.3
171,2096,-124,17888,4.12,91.3
174,2020,-168,17828,4.12,91.3
177,1980,-188,17868,4.12,91.3
180,2016,-204,17720,4.12,91.3
185,1944,-192,17740,4.12,91.3
189,2000,-132,17948,4.12,91.3
192,1964,-128,17824,4.12,91.3
195,1944,-116,17796,4.12,91.3
198,1992,-216,17804,4.12,91.3
201,2020,-132,17812,4.12,91.3
204,1936,-124,17680,4.12,91.3
207,1988,-168,17844,4.12,91.3
210,1992,-156,17864,4.12,91.3
213,2020,-200,17848,4.12,91.3
216,1940,-112,17744,4.12,91.3
219,2100,-108,17800,4.12,91.3
222,1924,-40,17808,4.12,91.3
226,1980,-52,17764,4.12,91.3
229,1992,-12,17780,4.12,91.3
232,1992,-160,17792,4.12,91.3
235,1992,-100,17788,4.12,91.3
240,1908,-92,17904,4.12,91.3
243,1956,-96,17740,4.12,91.3
246,2024,-88,17940,4.12,91.3
249,2016,-188,17864,4.12,91.3
252,2028,-108,17776,4.12,91.3
256,1944,24,17820,4.12,91.3
259,1980,-28,17856,4.12,91.3
262,1932,-64,17812,4.12,91.3
265,1920,-104,17944,4.12,91.3
268,2052,-132,17796,4.12,91.3
271,1980,-144,17808,4.12,91.3
274,2076,-164,17812,4.12,91.3
277,1972,-124,17724,4.12,91.3
280,2032,-108,17620,4.12,91.3
283,1984,-124,17804,4.12,91.3
286,2088,-96,17736,4.12,91.3
289,1992,-100,17796,4.12,91.3
295,2000,-196,17792,4.12,91.3
298,2032,-96,17788,4.12,91.3
301,2080,-148,17772,4.12,91.3
304,2052,-64,17832,4.12,91.3
307,2012,-128,17748,4.12,91.3
310,2000,-144,17884,4.12,91.3
313,1968,-124,17764,4.12,91.3
316,2064,-180,17764,4.12,91.3
319,2028,-144,17740,4.12,91.3
322,2028,-164,17904,4.12,91.3
326,2028,-220,17740,4.12,91.3
329,2084,-128,17736,4.12,91.3
332,2028,-80,17764,4.12,91.3
335,1960,-132,17832,4.12,91.3
338,2020,-244,17856,4.12,91.3
341,1996,-196,17712,4.12,91.3
344,2004,-60,17800,4.12,91.3
347,2000,-116,17816,4.12,91.3
352,1980,-120,17968,4.12,91.3
355,2036,-160,17756,4.12,91.3
358,1920,-164,17720,4.12,91.3
361,2016,-92,17668,4.12,91.3
365,2116,-184,17692,4.12,91.3
368,2072,-108,17900,4.12,91.3
371,2032,-160,17812,4.12,91.3
