timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
3,2135003,17064,-96,1092,17099.17,25.94,-1.00,-1.0,2485
9,2135009,16992,4,1024,17022.83,25.89,-1.00,-1.0,2461
12,2135012,17024,-16,1168,17064.03,25.89,-1.00,-1.0,2352
15,2135015,17032,-132,1096,17067.74,25.85,-1.00,-1.0,2364
18,2135018,17032,-116,1084,17066.86,25.85,-1.00,-1.0,2433
20,2135020,17012,-124,1060,17045.44,25.85,-1.00,-1.0,2367
23,2135023,17168,32,1140,17205.84,25.94,-1.00,-1.0,2431
26,2135026,17012,4,1088,17046.76,25.80,-1.00,-1.0,2371
29,2135029,17072,-44,928,17097.26,25.94,-1.00,-1.0,2431
31,2135031,17040,-112,1148,17078.99,25.89,-1.00,-1.0,2366
36,2135036,16964,16,1052,16996.60,25.94,-1.00,-1.0,2446
39,2135039,17076,-56,996,17105.11,25.85,-1.00,-1.0,2372
41,2135041,16908,-104,1140,16946.71,25.85,-1.00,-1.0,2357
44,2135044,17028,-20,1172,17068.30,25.89,-1.00,-1.0,2446
47,2135047,17040,-16,1092,17074.96,25.94,-1.00,-1.0,2367
50,2135050,16980,68,1044,17012.20,25.89,-1.00,-1.0,2451
52,2135052,17040,84,984,17068.59,25.94,-1.00,-1.0,2364
55,2135055,16872,-28,1060,16905.29,25.89,-1.00,-1.0,2453
58,2135058,16940,-64,1072,16974.01,25.94,-1.00,-1.0,2356
63,2135063,17076,-112,1104,17112.02,26.04,-1.00,-1.0,2454
65,2135065,16972,-4,1056,17004.82,25.99,-1.00,-1.0,2359
68,2135068,16948,-16,1040,16979.89,25.89,-1.00,-1.0,2360
71,2135071,17020,-124,1076,17054.43,25.94,-1.00,-1.0,2445
73,2135073,16956,-80,1052,16988.79,25.85,-1.00,-1.0,2361
76,2135076,16996,-84,1020,17026.79,25.85,-1.00,-1.0,2440
79,2135079,16940,-88,1312,16990.96,25.89,-1.00,-1.0,2359
82,2135082,17040,-88,1092,17075.18,25.94,-1.00,-1.0,2446
84,2135084,17036,12,1088,17070.71,25.89,-1.00,-1.0,2360
89,2135089,16976,-72,1036,17007.73,25.80,-1.00,-1.0,2448
92,2135092,17040,12,1152,17078.90,25.99,-1.00,-1.0,2367
95,2135095,17016,44,1092,17051.06,25.89,-1.00,-1.0,2360
97,2135097,16952,-124,1028,16983.59,25.85,-1.00,-1.0,2433
100,2135100,17044,-40,1116,17080.54,25.89,-1.00,-1.0,2365
103,2135103,17080,-48,1052,17112.43,25.89,-1.00,-1.0,2418
106,2135106,16948,-104,1088,16983.21,25.89,-1.00,-1.0,2366
108,2135108,16980,-16,1184,17021.24,25.89,-1.00,-1.0,2434
111,2135111,17012,-68,1104,17047.92,25.99,-1.00,-1.0,2373
116,2135116,16948,-44,1112,16984.50,25.80,-1.00,-1.0,2461
119,2135119,17056,-100,1104,17091.98,25.89,-1.00,-1.0,2370
122,2135122,17116,-88,968,17143.58,25.89,-1.00,-1.0,2447
124,2135124,17084,-48,1124,17121.00,25.89,-1.00,-1.0,2364
127,2135127,17020,-100,1268,17067.46,25.89,-1.00,-1.0,2361
130,2135130,17020,-124,1104,17056.22,25.94,-1.00,-1.0,2445
132,2135132,16952,-124,1064,16985.81,25.80,-1.00,-1.0,2374
135,2135135,16952,-116,1072,16986.26,25.94,-1.00,-1.0,2440
138,2135138,16976,-20,1128,17013.45,25.89,-1.00,-1.0,2367
143,2135143,17016,-16,1080,17050.25,25.89,-1.00,-1.0,2435
146,2135146,16840,-40,1088,16875.16,25.99,-1.00,-1.0,2371
148,2135148,17080,-112,1200,17122.47,25.85,-1.00,-1.0,2450
151,2135151,16972,-20,1068,17005.58,25.80,-1.00,-1.0,2366
154,2135154,17044,-24,1060,17076.95,25.80,-1.00,-1.0,2432
156,2135156,17132,-4,1124,17168.83,25.99,-1.00,-1.0,2360
159,2135159,16956,-132,1044,16988.62,25.89,-1.00,-1.0,2369
162,2135162,16984,-52,1084,17018.64,25.94,-1.00,-1.0,2437
165,2135165,16992,0,1268,17039.25,25.94,-1.00,-1.0,2352
170,2135170,17020,-72,1088,17054.89,25.99,-1.00,-1.0,2451
173,2135173,16868,-88,1080,16902.77,25.80,-1.00,-1.0,2372
175,2135175,17032,-40,1024,17062.80,25.94,-1.00,-1.0,2440
178,2135178,16992,-4,1184,17033.20,25.80,-1.00,-1.0,2374
181,2135181,17088,-40,1120,17124.71,25.89,-1.00,-1.0,2441
184,2135184,17008,-96,1136,17046.17,25.89,-1.00,-1.0,2372
186,2135186,16924,-16,1156,16963.44,25.94,-1.00,-1.0,2447
189,2135189,16968,-156,1028,16999.83,25.89,-1.00,-1.0,2366
192,2135192,17072,60,1072,17105.73,25.94,-1.00,-1.0,2361
197,2135197,17004,60,1108,17040.17,25.85,-1.00,-1.0,2449
200,2135200,17100,-40,1008,17129.73,25.85,-1.00,-1.0,2367
202,2135202,17012,-52,1080,17046.33,25.94,-1.00,-1.0,2431
205,2135205,17064,-76,1076,17098.06,25.94,-1.00,-1.0,2367
208,2135208,16988,-40,1100,17023.62,25.94,-1.00,-1.0,2438
211,2135211,17048,-16,1032,17079.21,25.85,-1.00,-1.0,2368
213,2135213,17048,-56,1156,17087.24,25.94,-1.00,-1.0,2426
216,2135216,17024,-24,996,17053.13,25.85,-1.00,-1.0,2367
