timestamp_ms,global_ms,accel_x,accel_y,accel_z,accel_mag,temp_c,voltage,soc,loop_us
2,2135002,16912,912,1276,16984.57,25.47,-1.00,-1.0,2490
9,2135009,16924,856,1060,16978.75,25.57,-1.00,-1.0,2460
11,2135011,16964,848,1252,17031.26,25.47,-1.00,-1.0,2357
14,2135014,17008,884,1168,17070.96,25.47,-1.00,-1.0,2369
17,2135017,16976,868,1200,17040.48,25.42,-1.00,-1.0,2427
19,2135019,17020,876,1144,17080.88,25.38,-1.00,-1.0,2372
22,2135022,16996,840,1120,17053.56,25.52,-1.00,-1.0,2449
25,2135025,16984,796,1244,17048.09,25.47,-1.00,-1.0,2375
28,2135028,17008,784,1144,17064.45,25.33,-1.00,-1.0,2422
30,2135030,16876,840,1200,16939.45,25.47,-1.00,-1.0,2381
35,2135035,17000,812,1260,17065.96,25.38,-1.00,-1.0,2458
38,2135038,16912,856,1268,16981.06,25.33,-1.00,-1.0,2378
41,2135041,16972,832,1176,17033.03,25.38,-1.00,-1.0,2383
44,2135044,16984,848,1144,17043.59,25.42,-1.00,-1.0,2451
46,2135046,16856,796,1000,16904.39,25.52,-1.00,-1.0,2385
49,2135049,16944,872,1136,17004.41,25.42,-1.00,-1.0,2439
52,2135052,17000,876,1200,17064.80,25.52,-1.00,-1.0,2374
55,2135055,16944,904,1272,17015.71,25.47,-1.00,-1.0,2450
57,2135057,17032,844,1252,17098.80,25.52,-1.00,-1.0,2355
62,2135062,17036,868,1144,17096.42,25.52,-1.00,-1.0,2448
65,2135065,16876,744,1244,16938.14,25.52,-1.00,-1.0,2376
68,2135068,16948,744,1132,17002.05,25.47,-1.00,-1.0,2456
71,2135071,16988,784,1148,17044.79,25.52,-1.00,-1.0,2379
73,2135073,17020,912,1176,17084.94,25.47,-1.00,-1.0,2366
76,2135076,17088,860,1372,17164.55,25.42,-1.00,-1.0,2464
79,2135079,17008,960,1212,17078.13,25.42,-1.00,-1.0,2363
82,2135082,16964,908,1296,17037.65,25.42,-1.00,-1.0,2458
84,2135084,16960,804,1052,17011.61,25.52,-1.00,-1.0,2374
89,2135089,17076,820,1088,17130.26,25.47,-1.00,-1.0,2454
92,2135092,17036,844,1136,17094.68,25.47,-1.00,-1.0,2373
95,2135095,16912,884,1240,16980.42,25.42,-1.00,-1.0,2468
98,2135098,17032,852,1196,17095.19,25.52,-1.00,-1.0,2376
100,2135100,17016,852,1192,17078.96,25.38,-1.00,-1.0,2374
103,2135103,16940,872,1216,17005.96,25.38,-1.00,-1.0,2444
106,2135106,16956,832,1144,17014.90,25.47,-1.00,-1.0,2378
109,2135109,17016,892,1272,17086.78,25.47,-1.00,-1.0,2455
111,2135111,17056,800,1100,17110.15,25.47,-1.00,-1.0,2368
116,2135116,16916,760,1148,16971.93,25.38,-1.00,-1.0,2450
119,2135119,16996,844,1248,17062.64,25.42,-1.00,-1.0,2376
122,2135122,16936,872,1048,16990.79,25.42,-1.00,-1.0,2457
125,2135125,16940,836,1300,17010.37,25.47,-1.00,-1.0,2377
127,2135127,17004,872,1260,17072.90,25.52,-1.00,-1.0,2366
130,2135130,16976,896,1092,17034.67,25.52,-1.00,-1.0,2457
133,2135133,16972,880,1220,17038.53,25.42,-1.00,-1.0,2375
