timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
2,16972,-32,644,-1.00,-1.0
4,17080,-60,636,-1.00,-1.0
6,16932,-56,616,-1.00,-1.0
11,17088,4,656,-1.00,-1.0
13,16940,-16,612,-1.00,-1.0
15,16956,-68,592,-1.00,-1.0
17,17016,-16,780,-1.00,-1.0
19,16972,-32,572,-1.00,-1.0
21,17036,48,516,-1.00,-1.0
23,17060,-56,616,-1.00,-1.0
25,17116,-4,496,-1.00,-1.0
27,17004,64,668,-1.00,-1.0
29,16916,-4,548,-1.00,-1.0
31,17060,-20,600,-1.00,-1.0
33,16976,-24,588,-1.00,-1.0
35,17028,16,612,-1.00,-1.0
36,16984,-60,712,-1.00,-1.0
38,16976,-48,536,-1.00,-1.0
40,17008,52,648,-1.00,-1.0
42,16888,-24,568,-1.00,-1.0
44,16932,-36,528,-1.00,-1.0
46,17068,12,512,-1.00,-1.0
50,17020,-16,592,-1.00,-1.0
52,17160,-48,684,-1.00,-1.0
54,16924,40,604,-1.00,-1.0
56,16916,-8,676,-1.00,-1.0
58,16988,-12,556,-1.00,-1.0
60,17032,-80,548,-1.00,-1.0
62,16932,-12,724,-1.00,-1.0
64,16936,-112,768,-1.00,-1.0
66,16932,52,668,-1.00,-1.0
68,17024,28,592,-1.00,-1.0
70,16844,-16,744,-1.00,-1.0
72,16928,-88,528,-1.00,-1.0
74,16900,40,628,-1.00,-1.0
75,16800,-84,644,-1.00,-1.0
78,17068,-32,668,-1.00,-1.0
79,17008,36,632,-1.00,-1.0
81,16908,84,756,-1.00,-1.0
83,16948,-20,808,-1.00,-1.0
87,16928,-40,640,-1.00,-1.0
89,16976,-20,668,-1.00,-1.0
91,16988,-40,620,-1.00,-1.0
93,17000,-52,616,-1.00,-1.0
95,16992,84,676,-1.00,-1.0
97,16928,20,652,-1.00,-1.0
99,17052,12,596,-1.00,-1.0
101,17032,-4,520,-1.00,-1.0
103,17020,8,536,-1.00,-1.0
105,17008,-20,564,-1.00,-1.0
107,16964,4,596,-1.00,-1.0
109,17016,-24,636,-1.00,-1.0
111,17040,12,712,-1.00,-1.0
113,17048,32,580,-1.00,-1.0
115,16932,48,600,-1.00,-1.0
117,17048,-20,688,-1.00,-1.0
119,17020,-48,612,-1.00,-1.0
120,17064,24,576,-1.00,-1.0
122,17032,-32,636,-1.00,-1.0
127,17080,-56,692,-1.00,-1.0
128,17036,60,716,-1.00,-1.0
130,16912,64,496,-1.00,-1.0
132,16984,32,680,-1.00,-1.0
134,17028,-40,628,-1.00,-1.0
136,16952,-16,608,-1.00,-1.0
138,16836,4,588,-1.00,-1.0
140,16988,28,764,-1.00,-1.0
142,17000,-20,496,-1.00,-1.0
144,16948,-100,564,-1.00,-1.0
146,17036,-64,636,-1.00,-1.0
148,16992,-32,504,-1.00,-1.0
150,17064,-36,512,-1.00,-1.0
152,17088,-40,544,-1.00,-1.0
154,17112,-176,624,-1.00,-1.0
156,17076,20,676,-1.00,-1.0
