timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
1,17036,92,644,-1.00,-1.0
3,16980,56,516,-1.00,-1.0
5,16944,52,664,-1.00,-1.0
7,16940,-4,740,-1.00,-1.0
9,16940,16,728,-1.00,-1.0
11,16948,16,592,-1.00,-1.0
13,16896,-68,712,-1.00,-1.0
15,17048,28,744,-1.00,-1.0
16,17004,116,484,-1.00,-1.0
18,17012,-92,500,-1.00,-1.0
20,16992,-20,588,-1.00,-1.0
22,16888,-52,688,-1.00,-1.0
24,16936,-48,712,-1.00,-1.0
26,17052,-36,688,-1.00,-1.0
28,16964,-68,788,-1.00,-1.0
30,16872,-24,600,-1.00,-1.0
31,16972,-108,800,-1.00,-1.0
33,16952,-32,784,-1.00,-1.0
35,16980,48,608,-1.00,-1.0
37,17120,64,560,-1.00,-1.0
39,16976,-60,716,-1.00,-1.0
41,16968,-12,632,-1.00,-1.0
43,17048,4,536,-1.00,-1.0
45,17020,-4,740,-1.00,-1.0
46,16992,16,668,-1.00,-1.0
48,16896,-24,616,-1.00,-1.0
50,16988,-44,648,-1.00,-1.0
52,16952,-8,632,-1.00,-1.0
54,17012,-88,608,-1.00,-1.0
56,16956,-16,604,-1.00,-1.0
58,16984,-8,664,-1.00,-1.0
59,16948,24,528,-1.00,-1.0
61,16936,-12,520,-1.00,-1.0
63,16920,-4,636,-1.00,-1.0
65,16972,-40,488,-1.00,-1.0
67,17036,-32,568,-1.00,-1.0
69,16924,-52,620,-1.00,-1.0
71,17016,72,596,-1.00,-1.0
73,17008,-116,584,-1.00,-1.0
74,17048,-8,688,-1.00,-1.0
76,17116,28,708,-1.00,-1.0
78,16940,20,540,-1.00,-1.0
80,16936,-8,640,-1.00,-1.0
82,17032,-8,616,-1.00,-1.0
84,17080,-24,652,-1.00,-1.0
86,16904,-52,728,-1.00,-1.0
87,17012,60,536,-1.00,-1.0
89,16956,4,568,-1.00,-1.0
91,16972,92,692,-1.00,-1.0
93,16968,92,484,-1.00,-1.0
95,16956,-48,556,-1.00,-1.0
97,16980,-16,720,-1.00,-1.0
99,16976,-88,540,-1.00,-1.0
101,16996,-60,588,-1.00,-1.0
102,16952,-28,652,-1.00,-1.0
104,17024,88,696,-1.00,-1.0
106,16920,32,604,-1.00,-1.0
108,16964,-4,536,-1.00,-1.0
110,16980,12,704,-1.00,-1.0
112,16992,48,728,-1.00,-1.0
114,16948,56,740,-1.00,-1.0
116,17092,36,724,-1.00,-1.0
117,17012,4,624,-1.00,-1.0
119,17036,60,632,-1.00,-1.0
121,16960,48,576,-1.00,-1.0
123,17028,-136,608,-1.00,-1.0
125,16976,-28,596,-1.00,-1.0
127,16980,-52,832,-1.00,-1.0
129,16948,-72,676,-1.00,-1.0
130,17004,0,748,-1.00,-1.0
132,16980,-52,672,-1.00,-1.0
134,17092,-52,684,-1.00,-1.0
136,16884,-8,664,-1.00,-1.0
138,16952,-28,684,-1.00,-1.0
140,17088,-100,736,-1.00,-1.0
142,16984,-64,632,-1.00,-1.0
144,16924,56,592,-1.00,-1.0
145,17052,88,624,-1.00,-1.0
147,16988,52,412,-1.00,-1.0
149,17048,60,476,-1.00,-1.0
151,16996,-24,620,-1.00,-1.0
153,16940,24,568,-1.00,-1.0
155,17012,-64,664,-1.00,-1.0
157,17040,120,776,-1.00,-1.0
159,16912,-64,660,-1.00,-1.0
160,16964,-76,660,-1.00,-1.0
162,16956,-52,728,-1.00,-1.0
164,16988,-36,596,-1.00,-1.0
166,17120,-52,552,-1.00,-1.0
